id,context,question,answer,answer_start,difficulty
19,Fatima Suzuki joined Coastal Insurance Co. as a research scientist in 2001 and later moved to the Nairobi office in 2006.,In what year did Fatima Suzuki join Coastal Insurance Co.?,2001,70,Advanced
20,"The robotics championship took place in Helsinki on January 25, 2015, drawing an audience of about 96000 people from around Malaysia.",When did the robotics championship take place?,"January 25, 2015",52,Beginner
21,Olivia Osei joined Oakwood Publishing House as a senior analyst in 2008 and later moved to the Austin office in 2013.,In what year did Olivia Osei join Oakwood Publishing House?,2008,67,Intermediate
22,The Riverside Museum was completed in 2021 and is located in Prague. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2021,38,Advanced
23,Brightline Technologies was founded in Cairo in 2014 by David Yamamoto. The company now employs more than 500000 people across India.,In what year was Brightline Technologies founded?,2014,48,Intermediate
24,Kevin Young published a research paper on genetic markers in 2010 while working at Falcon Logistics in Prague.,What topic did Kevin Young research?,genetic markers,42,Intermediate
25,"The annual jazz festival took place in Copenhagen on November 21, 2017, drawing an audience of about 96000 people from around Ireland.",Where did the annual jazz festival take place?,Copenhagen,39,Advanced
26,The Riverside Museum was completed in 2008 and is located in Stockholm. It attracts roughly 250000 visitors every year.,When was the Riverside Museum completed?,2008,38,Beginner
27,Lakeside Medical Center was founded in Dublin in 1990 by Emma Silva. The company now employs more than 500000 people across Chile.,In which city was Lakeside Medical Center founded?,Dublin,39,Intermediate
28,Felix Anderson published a research paper on machine translation in 2021 while working at Quantum Innovations in Bangkok.,What topic did Felix Anderson research?,machine translation,45,Beginner
29,Jack Garcia published a research paper on urban air quality in 2013 while working at Vertex Analytics in Denver.,What topic did Jack Garcia research?,urban air quality,42,Intermediate
30,"The global health conference took place in Dublin on June 19, 2018, drawing an audience of about 96000 people from around Denmark.",Where did the global health conference take place?,Dublin,43,Intermediate
31,Nadia Johansson published a research paper on genetic markers in 1992 while working at Northfield University in Wellington.,Where was Nadia Johansson working when the paper was published?,Northfield University,87,Beginner
32,"The science and innovation fair took place in Stockholm on March 27, 2022, drawing an audience of about 250000 people from around Finland.",Where did the science and innovation fair take place?,Stockholm,46,Advanced
33,The Old Town Hall was completed in 2002 and is located in Amsterdam. It attracts roughly 3400 visitors every year.,Where is the Old Town Hall located?,Amsterdam,58,Beginner
34,Coastal Insurance Co. was founded in Toronto in 2022 by Mei Larsen. The company now employs more than 45000 people across Germany.,Who founded Coastal Insurance Co.?,Mei Larsen,56,Intermediate
35,"The annual jazz festival took place in Melbourne on June 2, 2020, drawing an audience of about 1200 people from around Poland.",When did the annual jazz festival take place?,"June 2, 2020",52,Advanced
36,The Harborview Bridge was completed in 1995 and is located in Mumbai. It attracts roughly 3400 visitors every year.,When was the Harborview Bridge completed?,1995,39,Intermediate
37,The Old Town Hall was completed in 2010 and is located in Wellington. It attracts roughly 1200 visitors every year.,Where is the Old Town Hall located?,Wellington,58,Intermediate
38,The Riverside Museum was completed in 2015 and is located in Berlin. It attracts roughly 22000 visitors every year.,Where is the Riverside Museum located?,Berlin,61,Beginner
39,Emma Khan published a research paper on urban air quality in 2002 while working at Evergreen Energy Co. in Lisbon.,In what year did Emma Khan publish the paper?,2002,61,Intermediate
40,The Riverside Museum was completed in 1999 and is located in Nairobi. It attracts roughly 22000 visitors every year.,When was the Riverside Museum completed?,1999,38,Beginner
41,The National Science Center was completed in 1990 and is located in Manila. It attracts roughly 500000 visitors every year.,Where is the National Science Center located?,Manila,68,Advanced
42,"The global health conference took place in Dublin on October 14, 2024, drawing an audience of about 15000 people from around South Korea.",When did the global health conference take place?,"October 14, 2024",53,Beginner
43,Kevin Brown joined Harborview College as a marketing director in 1994 and later moved to the Mumbai office in 1998.,In what year did Kevin Brown join Harborview College?,1994,65,Advanced
44,"The science and innovation fair took place in Lisbon on November 14, 2018, drawing an audience of about 3400 people from around Finland.",Where did the science and innovation fair take place?,Lisbon,46,Intermediate
45,Peter Novak joined Silverline Motors as a project manager in 2007 and later moved to the Jakarta office in 2010.,What role did Peter Novak join Silverline Motors as?,project manager,42,Intermediate
46,The Harborview Bridge was completed in 1996 and is located in Buenos Aires. It attracts roughly 96000 visitors every year.,Where is the Harborview Bridge located?,Buenos Aires,62,Intermediate
47,The National Science Center was completed in 2005 and is located in Kuala Lumpur. It attracts roughly 45000 visitors every year.,When was the National Science Center completed?,2005,45,Intermediate
48,"The international film festival took place in Helsinki on February 24, 2016, drawing an audience of about 250000 people from around Egypt.",Where did the international film festival take place?,Helsinki,46,Beginner
49,The Riverside Museum was completed in 2004 and is located in Santiago. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2004,38,Intermediate
50,Ironwood Steel Works was founded in Wellington in 2000 by Leila Petrov. The company now employs more than 22000 people across Poland.,Who founded Ironwood Steel Works?,Leila Petrov,58,Intermediate
51,Ironwood Steel Works was founded in Manila in 2006 by Peter Petrov. The company now employs more than 250000 people across Japan.,In what year was Ironwood Steel Works founded?,2006,46,Beginner
52,Elena Hall joined Pioneer Research Institute as a operations coordinator in 1995 and later moved to the Amsterdam office in 1997.,In what year did Elena Hall join Pioneer Research Institute?,1995,76,Intermediate
53,The Grand Observatory was completed in 2012 and is located in Nairobi. It attracts roughly 15000 visitors every year.,Where is the Grand Observatory located?,Nairobi,62,Beginner
54,Redstone Consulting was founded in Helsinki in 2007 by Charlotte Okafor. The company now employs more than 22000 people across Japan.,Who founded Redstone Consulting?,Charlotte Okafor,55,Intermediate
55,Silverline Motors was founded in Austin in 1993 by Hassan Kowalski. The company now employs more than 96000 people across Malaysia.,In which city was Silverline Motors founded?,Austin,33,Beginner
56,"The international film festival took place in Nairobi on October 3, 2020, drawing an audience of about 96000 people from around the Philippines.",Where did the international film festival take place?,Nairobi,46,Intermediate
57,The Old Town Hall was completed in 1994 and is located in Jakarta. It attracts roughly 45000 visitors every year.,When was the Old Town Hall completed?,1994,35,Intermediate
58,Union Manufacturing Corp. was founded in Jakarta in 2007 by Ahmed King. The company now employs more than 1200 people across Germany.,In which city was Union Manufacturing Corp. founded?,Jakarta,41,Beginner
59,"The science and innovation fair took place in Warsaw on May 23, 2021, drawing an audience of about 22000 people from around the United States.",Where did the science and innovation fair take place?,Warsaw,46,Advanced
60,The Harborview Bridge was completed in 1993 and is located in Seoul. It attracts roughly 45000 visitors every year.,Where is the Harborview Bridge located?,Seoul,62,Beginner
61,Kevin Johansson joined BrightFuture Foundation as a marketing director in 2001 and later moved to the Edinburgh office in 2003.,In what year did Kevin Johansson join BrightFuture Foundation?,2001,74,Advanced
62,Julia Kim joined Quantum Innovations as a research scientist in 2011 and later moved to the Seoul office in 2013.,What role did Julia Kim join Quantum Innovations as?,research scientist,42,Beginner
63,Pioneer Research Institute was founded in Austin in 1999 by Mei Johansson. The company now employs more than 500000 people across Chile.,In what year was Pioneer Research Institute founded?,1999,52,Intermediate
64,The National Science Center was completed in 2013 and is located in Berlin. It attracts roughly 22000 visitors every year.,When was the National Science Center completed?,2013,45,Beginner
65,"The global health conference took place in Manila on December 14, 2017, drawing an audience of about 15000 people from around the Philippines.",Where did the global health conference take place?,Manila,43,Advanced
66,BrightFuture Foundation was founded in Dublin in 2016 by Amara Khan. The company now employs more than 250000 people across Ireland.,In which city was BrightFuture Foundation founded?,Dublin,39,Advanced
67,"The robotics championship took place in Copenhagen on July 2, 2023, drawing an audience of about 96000 people from around Thailand.",Where did the robotics championship take place?,Copenhagen,40,Beginner
68,Wei Fernandez joined Redstone Consulting as a project manager in 2003 and later moved to the Prague office in 2005.,What role did Wei Fernandez join Redstone Consulting as?,project manager,46,Intermediate
69,Sara Silva published a research paper on urban air quality in 1993 while working at Northfield University in Manila.,What topic did Sara Silva research?,urban air quality,41,Advanced
70,The National Science Center was completed in 1991 and is located in Nairobi. It attracts roughly 500000 visitors every year.,When was the National Science Center completed?,1991,45,Beginner
71,The Old Town Hall was completed in 1995 and is located in Warsaw. It attracts roughly 250000 visitors every year.,When was the Old Town Hall completed?,1995,35,Advanced
72,Pioneer Research Institute was founded in Toronto in 2008 by Tom Petrov. The company now employs more than 3400 people across Australia.,In which city was Pioneer Research Institute founded?,Toronto,42,Advanced
73,Ibrahim Dubois joined Meridian Financial Group as a research scientist in 1993 and later moved to the Helsinki office in 1995.,Which office did Ibrahim Dubois later move to?,Helsinki,102,Beginner
74,Daniel Green joined Riverside Bank as a operations coordinator in 2002 and later moved to the Copenhagen office in 2007.,What role did Daniel Green join Riverside Bank as?,operations coordinator,40,Advanced
75,Northfield University was founded in Denver in 2022 by Tom Kim. The company now employs more than 1200 people across Argentina.,Who founded Northfield University?,Tom Kim,55,Advanced
76,The Grand Observatory was completed in 2013 and is located in Manila. It attracts roughly 96000 visitors every year.,Where is the Grand Observatory located?,Manila,62,Beginner
77,Elena Suzuki joined Skyline Real Estate as a research scientist in 2022 and later moved to the Berlin office in 2025.,Which office did Elena Suzuki later move to?,Berlin,95,Advanced
78,The National Science Center was completed in 2021 and is located in Melbourne. It attracts roughly 8700 visitors every year.,When was the National Science Center completed?,2021,45,Intermediate
79,Emma Young joined NextGen Software Labs as a research scientist in 2006 and later moved to the Osaka office in 2011.,Which office did Emma Young later move to?,Osaka,95,Intermediate
80,Grace Brown published a research paper on urban air quality in 2021 while working at Summit Robotics Inc. in Copenhagen.,In what year did Grace Brown publish the paper?,2021,63,Beginner
81,Priya Taylor joined Delta Cloud Services as a operations coordinator in 1997 and later moved to the Edinburgh office in 1998.,Which office did Priya Taylor later move to?,Edinburgh,100,Intermediate
82,Blue Horizon Airlines was founded in Zurich in 2015 by Leila Haddad. The company now employs more than 22000 people across New Zealand.,In which city was Blue Horizon Airlines founded?,Zurich,37,Beginner
83,Crescent Media Group was founded in Seoul in 2010 by Adaeze Baker. The company now employs more than 22000 people across the United States.,Who founded Crescent Media Group?,Adaeze Baker,53,Intermediate
84,Ravi Lewis joined Blue Horizon Airlines as a project manager in 2005 and later moved to the Berlin office in 2006.,What role did Ravi Lewis join Blue Horizon Airlines as?,project manager,45,Beginner
85,"The global health conference took place in Helsinki on August 11, 2020, drawing an audience of about 15000 people from around New Zealand.",Where did the global health conference take place?,Helsinki,43,Advanced
86,"The annual jazz festival took place in Helsinki on August 17, 2015, drawing an audience of about 1200 people from around Japan.",Where did the annual jazz festival take place?,Helsinki,39,Beginner
87,"The international film festival took place in Denver on October 19, 2018, drawing an audience of about 15000 people from around the United States.",When did the international film festival take place?,"October 19, 2018",56,Beginner
88,Ethan King published a research paper on genetic markers in 2020 while working at Pioneer Research Institute in Stockholm.,In what year did Ethan King publish the paper?,2020,60,Intermediate
89,Falcon Logistics was founded in Melbourne in 1994 by Lucas Scott. The company now employs more than 96000 people across Egypt.,In what year was Falcon Logistics founded?,1994,45,Intermediate
90,Carlos Müller published a research paper on quantum materials in 1997 while working at Falcon Logistics in Stockholm.,Where was Carlos Müller working when the paper was published?,Falcon Logistics,87,Intermediate
91,Global Trade Partners was founded in Edinburgh in 1997 by Priya Wright. The company now employs more than 1200 people across Portugal.,In which city was Global Trade Partners founded?,Edinburgh,37,Advanced
92,"The annual jazz festival took place in Marrakesh on July 6, 2018, drawing an audience of about 8700 people from around Denmark.",Where did the annual jazz festival take place?,Marrakesh,39,Advanced
93,Charlotte Moore published a research paper on urban air quality in 1993 while working at Quantum Innovations in Cairo.,Where was Charlotte Moore working when the paper was published?,Quantum Innovations,89,Advanced
94,The Central Library was completed in 2022 and is located in Marrakesh. It attracts roughly 22000 visitors every year.,Where is the Central Library located?,Marrakesh,60,Beginner
95,Chen Suzuki joined Riverside Bank as a marketing director in 2002 and later moved to the Santiago office in 2004.,In what year did Chen Suzuki join Riverside Bank?,2002,61,Intermediate
96,"The international film festival took place in Austin on December 24, 2020, drawing an audience of about 1200 people from around Ireland.",Where did the international film festival take place?,Austin,46,Intermediate
97,Vertex Analytics was founded in Stockholm in 2005 by James Patel. The company now employs more than 500000 people across the Czech Republic.,Who founded Vertex Analytics?,James Patel,53,Beginner
98,"The global health conference took place in Jakarta on September 17, 2019, drawing an audience of about 15000 people from around South Africa.",When did the global health conference take place?,"September 17, 2019",54,Intermediate
99,"The robotics championship took place in Santiago on June 19, 2020, drawing an audience of about 1200 people from around Sweden.",When did the robotics championship take place?,"June 19, 2020",52,Beginner
100,Mateus Moore published a research paper on renewable energy storage in 2022 while working at Ironwood Steel Works in Jakarta.,In what year did Mateus Moore publish the paper?,2022,71,Intermediate
101,Peter Novak joined Northfield University as a research scientist in 2005 and later moved to the Mumbai office in 2009.,Which office did Peter Novak later move to?,Mumbai,96,Beginner
102,"The robotics championship took place in Nairobi on August 21, 2024, drawing an audience of about 250000 people from around Germany.",Where did the robotics championship take place?,Nairobi,40,Intermediate
103,"The science and innovation fair took place in Marrakesh on February 26, 2021, drawing an audience of about 500000 people from around the Philippines.",Where did the science and innovation fair take place?,Marrakesh,46,Beginner
104,Jack Patel published a research paper on genetic markers in 2001 while working at Northfield University in Melbourne.,What topic did Jack Patel research?,genetic markers,41,Beginner
105,Ethan Wright published a research paper on renewable energy storage in 2004 while working at Evergreen Energy Co. in Melbourne.,Where was Ethan Wright working when the paper was published?,Evergreen Energy Co.,93,Intermediate
106,Mark Smith joined Aurora Data Systems as a operations coordinator in 2000 and later moved to the Warsaw office in 2001.,In what year did Mark Smith join Aurora Data Systems?,2000,69,Beginner
107,The Grand Observatory was completed in 2001 and is located in Helsinki. It attracts roughly 22000 visitors every year.,Where is the Grand Observatory located?,Helsinki,62,Beginner
108,Summit Robotics Inc. was founded in Denver in 2009 by Charlotte Petrov. The company now employs more than 22000 people across Denmark.,In what year was Summit Robotics Inc. founded?,2009,46,Beginner
109,Aurora Data Systems was founded in Cairo in 2005 by Layla Larsen. The company now employs more than 22000 people across Kenya.,Who founded Aurora Data Systems?,Layla Larsen,52,Beginner
110,Brightline Technologies was founded in Lisbon in 2000 by Wei Wilson. The company now employs more than 96000 people across the Philippines.,Who founded Brightline Technologies?,Wei Wilson,57,Intermediate
111,The Harborview Bridge was completed in 1998 and is located in Manila. It attracts roughly 500000 visitors every year.,Where is the Harborview Bridge located?,Manila,62,Beginner
112,The Riverside Museum was completed in 2021 and is located in Cairo. It attracts roughly 250000 visitors every year.,When was the Riverside Museum completed?,2021,38,Intermediate
113,The Grand Observatory was completed in 1991 and is located in Helsinki. It attracts roughly 96000 visitors every year.,Where is the Grand Observatory located?,Helsinki,62,Beginner
114,"The international film festival took place in Copenhagen on February 14, 2015, drawing an audience of about 22000 people from around the Czech Republic.",Where did the international film festival take place?,Copenhagen,46,Beginner
115,Golden Gate Retailers was founded in Amsterdam in 2023 by George Lewis. The company now employs more than 8700 people across Chile.,In what year was Golden Gate Retailers founded?,2023,50,Intermediate
116,Charlotte Nguyen joined Oakwood Publishing House as a marketing director in 2001 and later moved to the Denver office in 2006.,What role did Charlotte Nguyen join Oakwood Publishing House as?,marketing director,54,Beginner
117,The Central Library was completed in 1994 and is located in Amsterdam. It attracts roughly 22000 visitors every year.,When was the Central Library completed?,1994,37,Beginner
118,"The technology summit took place in Edinburgh on October 8, 2017, drawing an audience of about 15000 people from around Malaysia.",When did the technology summit take place?,"October 8, 2017",49,Beginner
119,Priya Clark published a research paper on quantum materials in 1991 while working at Aurora Data Systems in Nairobi.,What topic did Priya Clark research?,quantum materials,42,Intermediate
120,"The global health conference took place in Marrakesh on April 16, 2021, drawing an audience of about 8700 people from around Malaysia.",When did the global health conference take place?,"April 16, 2021",56,Advanced
121,Meridian Financial Group was founded in Lisbon in 1996 by Maria Smith. The company now employs more than 3400 people across Canada.,In which city was Meridian Financial Group founded?,Lisbon,40,Advanced
122,Blue Horizon Airlines was founded in Helsinki in 1992 by Omar Young. The company now employs more than 45000 people across Chile.,In what year was Blue Horizon Airlines founded?,1992,49,Beginner
123,Global Trade Partners was founded in Nairobi in 2020 by Priya Scott. The company now employs more than 250000 people across Australia.,In which city was Global Trade Partners founded?,Nairobi,37,Intermediate
124,Northfield University was founded in Kuala Lumpur in 2006 by Sara Baker. The company now employs more than 250000 people across Sweden.,Who founded Northfield University?,Sara Baker,61,Beginner
125,Kevin Fernandez published a research paper on deep-sea biology in 1998 while working at NextGen Software Labs in Buenos Aires.,In what year did Kevin Fernandez publish the paper?,1998,66,Advanced
126,Redstone Consulting was founded in Helsinki in 2005 by Yuki Yamamoto. The company now employs more than 3400 people across Australia.,Who founded Redstone Consulting?,Yuki Yamamoto,55,Intermediate
127,Ingrid Osei joined Harborview College as a operations coordinator in 2008 and later moved to the Prague office in 2010.,In what year did Ingrid Osei join Harborview College?,2008,69,Advanced
128,Mei Lewis joined Brightline Technologies as a project manager in 1993 and later moved to the Buenos Aires office in 1996.,Which office did Mei Lewis later move to?,Buenos Aires,93,Intermediate
129,The Harborview Bridge was completed in 2009 and is located in Melbourne. It attracts roughly 250000 visitors every year.,When was the Harborview Bridge completed?,2009,39,Beginner
130,Delta Cloud Services was founded in Cape Town in 2000 by Tom Nguyen. The company now employs more than 3400 people across Canada.,Who founded Delta Cloud Services?,Tom Nguyen,57,Intermediate
131,George Moore joined Coastal Insurance Co. as a lead engineer in 1996 and later moved to the Nairobi office in 1998.,Which office did George Moore later move to?,Nairobi,92,Beginner
132,The Riverside Museum was completed in 1995 and is located in Kuala Lumpur. It attracts roughly 1200 visitors every year.,Where is the Riverside Museum located?,Kuala Lumpur,61,Intermediate
133,"The annual jazz festival took place in Wellington on April 26, 2019, drawing an audience of about 250000 people from around Sweden.",When did the annual jazz festival take place?,"April 26, 2019",53,Intermediate
134,"The science and innovation fair took place in Berlin on May 2, 2021, drawing an audience of about 15000 people from around Sweden.",When did the science and innovation fair take place?,"May 2, 2021",56,Advanced
135,Julia Okafor joined Brightline Technologies as a lead engineer in 2006 and later moved to the Bangkok office in 2010.,Which office did Julia Okafor later move to?,Bangkok,94,Beginner
136,Leila Garcia joined Ironwood Steel Works as a marketing director in 1992 and later moved to the Berlin office in 1996.,What role did Leila Garcia join Ironwood Steel Works as?,marketing director,46,Advanced
137,Riverside Bank was founded in Nairobi in 2013 by Chloe Smith. The company now employs more than 45000 people across Indonesia.,Who founded Riverside Bank?,Chloe Smith,49,Advanced
138,"The robotics championship took place in Wellington on August 16, 2023, drawing an audience of about 1200 people from around Malaysia.",When did the robotics championship take place?,"August 16, 2023",54,Advanced
139,The National Science Center was completed in 1991 and is located in Stockholm. It attracts roughly 8700 visitors every year.,When was the National Science Center completed?,1991,45,Beginner
140,The Old Town Hall was completed in 1996 and is located in Manila. It attracts roughly 1200 visitors every year.,Where is the Old Town Hall located?,Manila,58,Beginner
141,Carlos Johansson published a research paper on quantum materials in 1998 while working at Ironwood Steel Works in Edinburgh.,Where was Carlos Johansson working when the paper was published?,Ironwood Steel Works,90,Intermediate
142,Olivia Wilson joined Delta Cloud Services as a research scientist in 2020 and later moved to the Manila office in 2021.,In what year did Olivia Wilson join Delta Cloud Services?,2020,69,Intermediate
143,Priya Novak joined Coastal Insurance Co. as a senior analyst in 2004 and later moved to the Nairobi office in 2007.,Which office did Priya Novak later move to?,Nairobi,92,Advanced
144,The National Science Center was completed in 2016 and is located in Helsinki. It attracts roughly 15000 visitors every year.,When was the National Science Center completed?,2016,45,Advanced
145,The Old Town Hall was completed in 2006 and is located in Warsaw. It attracts roughly 250000 visitors every year.,Where is the Old Town Hall located?,Warsaw,58,Advanced
146,Ethan Müller joined Brightline Technologies as a operations coordinator in 2018 and later moved to the Prague office in 2023.,Which office did Ethan Müller later move to?,Prague,103,Beginner
147,Ravi Fernandez published a research paper on machine translation in 2007 while working at Coastal Insurance Co. in Lisbon.,What topic did Ravi Fernandez research?,machine translation,45,Beginner
148,Charlotte Green published a research paper on deep-sea biology in 2008 while working at BrightFuture Foundation in Osaka.,Where was Charlotte Green working when the paper was published?,BrightFuture Foundation,88,Intermediate
149,The National Science Center was completed in 2003 and is located in Helsinki. It attracts roughly 250000 visitors every year.,When was the National Science Center completed?,2003,45,Advanced
150,"The annual jazz festival took place in Helsinki on September 2, 2025, drawing an audience of about 22000 people from around Sweden.",When did the annual jazz festival take place?,"September 2, 2025",51,Beginner
151,"The annual jazz festival took place in Seoul on March 14, 2022, drawing an audience of about 8700 people from around Ireland.",Where did the annual jazz festival take place?,Seoul,39,Beginner
152,Samuel Kim joined Meridian Financial Group as a senior analyst in 2005 and later moved to the Melbourne office in 2009.,In what year did Samuel Kim join Meridian Financial Group?,2005,66,Intermediate
153,Sofia Taylor published a research paper on quantum materials in 2000 while working at Meridian Financial Group in Helsinki.,What topic did Sofia Taylor research?,quantum materials,43,Intermediate
154,Union Manufacturing Corp. was founded in Dublin in 2007 by Mei Okafor. The company now employs more than 500000 people across Finland.,In which city was Union Manufacturing Corp. founded?,Dublin,41,Beginner
155,"The robotics championship took place in Warsaw on November 25, 2023, drawing an audience of about 96000 people from around Indonesia.",Where did the robotics championship take place?,Warsaw,40,Advanced
156,"The science and innovation fair took place in Seoul on April 27, 2019, drawing an audience of about 1200 people from around Chile.",When did the science and innovation fair take place?,"April 27, 2019",55,Intermediate
157,Anna Müller published a research paper on genetic markers in 1994 while working at Global Trade Partners in Denver.,In what year did Anna Müller publish the paper?,1994,61,Intermediate
158,Elena Silva joined Zenith Pharmaceuticals as a project manager in 2016 and later moved to the Vancouver office in 2019.,What role did Elena Silva join Zenith Pharmaceuticals as?,project manager,47,Beginner
159,"The technology summit took place in Kuala Lumpur on March 1, 2025, drawing an audience of about 8700 people from around Canada.",When did the technology summit take place?,"March 1, 2025",52,Advanced
160,The Riverside Museum was completed in 1993 and is located in Vancouver. It attracts roughly 500000 visitors every year.,When was the Riverside Museum completed?,1993,38,Beginner
161,The Harborview Bridge was completed in 1996 and is located in Seoul. It attracts roughly 96000 visitors every year.,Where is the Harborview Bridge located?,Seoul,62,Advanced
162,Blue Horizon Airlines was founded in Toronto in 2015 by Sofia Nguyen. The company now employs more than 8700 people across Chile.,Who founded Blue Horizon Airlines?,Sofia Nguyen,56,Intermediate
163,The Old Town Hall was completed in 2003 and is located in Cape Town. It attracts roughly 8700 visitors every year.,When was the Old Town Hall completed?,2003,35,Beginner
164,Omar Anderson published a research paper on machine translation in 1993 while working at Zenith Pharmaceuticals in Berlin.,What topic did Omar Anderson research?,machine translation,44,Beginner
165,"The global health conference took place in Copenhagen on January 10, 2021, drawing an audience of about 22000 people from around Chile.",Where did the global health conference take place?,Copenhagen,43,Beginner
166,Summit Robotics Inc. was founded in Buenos Aires in 2020 by Mark Haddad. The company now employs more than 250000 people across Kenya.,In which city was Summit Robotics Inc. founded?,Buenos Aires,36,Advanced
167,Felix Wright joined Maple Street School District as a operations coordinator in 2002 and later moved to the Zurich office in 2007.,What role did Felix Wright join Maple Street School District as?,operations coordinator,54,Advanced
168,The Central Library was completed in 2006 and is located in Melbourne. It attracts roughly 45000 visitors every year.,When was the Central Library completed?,2006,37,Intermediate
169,Delta Cloud Services was founded in Manila in 1993 by Adaeze Fernandez. The company now employs more than 3400 people across Thailand.,In what year was Delta Cloud Services founded?,1993,46,Intermediate
170,The Riverside Museum was completed in 2015 and is located in Zurich. It attracts roughly 45000 visitors every year.,When was the Riverside Museum completed?,2015,38,Intermediate
171,The Riverside Museum was completed in 2000 and is located in Stockholm. It attracts roughly 15000 visitors every year.,When was the Riverside Museum completed?,2000,38,Intermediate
172,Cedar Grove Hospital was founded in Austin in 1994 by Hassan Taylor. The company now employs more than 500000 people across Egypt.,In what year was Cedar Grove Hospital founded?,1994,46,Intermediate
173,The National Science Center was completed in 2008 and is located in Copenhagen. It attracts roughly 1200 visitors every year.,Where is the National Science Center located?,Copenhagen,68,Intermediate
174,Redstone Consulting was founded in Denver in 1998 by Ibrahim Novak. The company now employs more than 45000 people across Japan.,Who founded Redstone Consulting?,Ibrahim Novak,53,Intermediate
175,Silverline Motors was founded in Dublin in 2000 by Nadia Haddad. The company now employs more than 1200 people across Argentina.,In which city was Silverline Motors founded?,Dublin,33,Beginner
176,Anna Larsen joined Crescent Media Group as a marketing director in 1995 and later moved to the Stockholm office in 1997.,In what year did Anna Larsen join Crescent Media Group?,1995,67,Advanced
177,"The global health conference took place in Dublin on September 1, 2022, drawing an audience of about 8700 people from around Egypt.",Where did the global health conference take place?,Dublin,43,Intermediate
178,"The international film festival took place in Buenos Aires on June 4, 2016, drawing an audience of about 1200 people from around South Korea.",Where did the international film festival take place?,Buenos Aires,46,Intermediate
179,"The international film festival took place in Denver on July 10, 2020, drawing an audience of about 22000 people from around Egypt.",When did the international film festival take place?,"July 10, 2020",56,Advanced
180,Leila Wright published a research paper on genetic markers in 1991 while working at Vertex Analytics in Austin.,Where was Leila Wright working when the paper was published?,Vertex Analytics,84,Advanced
181,The Old Town Hall was completed in 1997 and is located in Osaka. It attracts roughly 3400 visitors every year.,When was the Old Town Hall completed?,1997,35,Intermediate
182,Silverline Motors was founded in Cairo in 1998 by George Khan. The company now employs more than 15000 people across Australia.,Who founded Silverline Motors?,George Khan,50,Beginner
