id,word,related_word,relationship,category,similarity_score
175,profit,loss,Antonym,Business,0.15
176,athlete,runner,Profession,Sports,0.59
177,kitchen,cooking,Related Concept,Daily Life,0.6
178,network,internet,Synonym,Technology,0.83
179,researcher,scientist,Profession,Science,0.56
180,school,classroom,Location,Education,0.52
181,football,stadium,Related Concept,Sports,0.61
182,driver,commuter,Profession,Daily Life,0.42
183,fish,pond,Object,Nature,0.4
184,computer,keyboard,Object,Technology,0.37
185,classroom,lecture,Related Concept,Education,0.61
186,invest,fund,Action,Business,0.43
187,analyst,data scientist,Profession,Technology,0.46
188,easy,difficult,Antonym,Education,0.18
189,wild,tame,Antonym,Nature,0.27
190,university,campus,Location,Education,0.52
191,day,night,Antonym,Nature,0.28
192,wireless,wired,Antonym,Technology,0.16
193,computer,mouse,Object,Technology,0.36
194,role,manager,Category Member,Business,0.5
195,element,hydrogen,Category Member,Science,0.57
196,supply,demand,Antonym,Business,0.18
197,client,customer,Synonym,Business,0.94
198,computer,laptop,Synonym,Technology,0.94
199,algorithm,optimization,Related Concept,Technology,0.57
200,modern,outdated,Antonym,Technology,0.26
201,factory,warehouse,Location,Business,0.47
202,football,stadium,Location,Sports,0.48
203,debug,fix,Action,Technology,0.4
204,bear,den,Object,Nature,0.35
205,phone,charger,Object,Technology,0.46
206,subject,history,Category Member,Education,0.52
207,researcher,chemist,Profession,Science,0.41
208,tree,oak,Category Member,Nature,0.56
209,finance,budget,Related Concept,Business,0.58
210,accountant,spreadsheet,Object,Business,0.47
211,database,query,Related Concept,Technology,0.5
212,train,practice,Action,Sports,0.6
213,desert,drought,Related Concept,Nature,0.65
214,house,home,Synonym,Daily Life,0.8
215,chemist,flask,Object,Science,0.45
216,retail,inventory,Related Concept,Business,0.61
217,win,lose,Antonym,Sports,0.23
218,kitchen,stove,Object,Daily Life,0.45
219,tennis,racket,Related Concept,Sports,0.54
220,athlete,player,Profession,Sports,0.55
221,biology,field station,Location,Science,0.43
222,negotiate,bargain,Action,Business,0.47
223,instrument,microscope,Category Member,Science,0.59
224,study,review,Action,Education,0.44
225,department,marketing,Category Member,Business,0.51
226,river,valley,Location,Nature,0.41
227,large,huge,Synonym,Technology,0.86
228,degree,bachelor's,Category Member,Education,0.65
229,university,degree,Related Concept,Education,0.54
230,happy,glad,Synonym,Daily Life,0.85
231,company,headquarters,Location,Business,0.38
232,researcher,physicist,Profession,Science,0.47
233,office,desk,Object,Business,0.35
234,public,private,Antonym,Education,0.23
235,test,verify,Action,Science,0.57
236,biology,cell,Related Concept,Science,0.56
237,mountain,range,Location,Nature,0.41
238,relax,unwind,Action,Daily Life,0.53
239,bear,den,Object,Nature,0.46
240,equipment,gloves,Category Member,Sports,0.55
241,fast,slow,Antonym,Technology,0.26
242,software,app,Category Member,Technology,0.55
243,biology,cell,Related Concept,Science,0.58
244,kitchen,stove,Object,Daily Life,0.37
245,basketball,court,Related Concept,Sports,0.47
246,analyst,data scientist,Profession,Technology,0.58
247,boxer,gloves,Object,Sports,0.35
248,retail,inventory,Related Concept,Business,0.6
249,educator,professor,Profession,Education,0.44
250,degree,bachelor's,Category Member,Education,0.62
251,researcher,physicist,Profession,Science,0.54
252,awake,asleep,Antonym,Daily Life,0.13
253,role,manager,Category Member,Business,0.64
254,win,lose,Antonym,Sports,0.17
255,client,customer,Synonym,Business,0.88
256,clean,tidy,Action,Daily Life,0.49
257,official,referee,Profession,Sports,0.49
258,coach,trainer,Synonym,Sports,0.94
259,measure,calculate,Action,Science,0.47
260,appliance,refrigerator,Category Member,Daily Life,0.54
261,bee,hive,Object,Nature,0.47
262,network,router,Related Concept,Technology,0.52
263,awake,asleep,Antonym,Daily Life,0.23
264,basketball,court,Related Concept,Sports,0.51
265,compile,build,Action,Technology,0.41
266,public,private,Antonym,Technology,0.12
267,compile,build,Action,Technology,0.45
268,appliance,refrigerator,Category Member,Daily Life,0.63
269,wireless,wired,Antonym,Technology,0.18
270,athlete,runner,Profession,Sports,0.47
271,subject,history,Category Member,Education,0.51
272,amateur,professional,Antonym,Sports,0.23
273,phone,charger,Object,Technology,0.39
274,full,empty,Antonym,Daily Life,0.22
275,tennis,racket,Object,Sports,0.41
276,classroom,lecture,Related Concept,Education,0.58
277,cheap,affordable,Synonym,Technology,0.86
278,lab,microscope,Object,Science,0.46
279,debug,fix,Action,Technology,0.41
280,full,empty,Antonym,Daily Life,0.24
281,animal,fox,Category Member,Nature,0.69
282,fast,slow,Antonym,Technology,0.11
283,lab,beaker,Object,Science,0.46
284,river,stream,Synonym,Nature,0.91
285,tennis,court,Location,Sports,0.41
286,forest,woodland,Synonym,Nature,0.92
287,discovery,finding,Synonym,Science,0.91
288,import,export,Antonym,Business,0.27
289,appliance,refrigerator,Category Member,Daily Life,0.68
290,appliance,microwave,Category Member,Daily Life,0.64
291,developer,programmer,Profession,Technology,0.48
292,gadget,smartwatch,Category Member,Technology,0.6
293,hypothesis,theory,Synonym,Science,0.95
294,kitchen,stove,Object,Daily Life,0.42
295,buy,sell,Antonym,Business,0.15
296,kitchen,stove,Object,Daily Life,0.54
297,student,pupil,Synonym,Education,0.88
298,degree,master's,Category Member,Education,0.6
299,developer,programmer,Profession,Technology,0.43
300,market,town square,Location,Daily Life,0.43
301,athlete,player,Profession,Sports,0.41
302,install,setup,Action,Technology,0.55
303,profit,earnings,Synonym,Business,0.88
304,library,reading room,Location,Education,0.53
305,element,hydrogen,Category Member,Science,0.58
306,laptop,battery,Object,Technology,0.46
307,invest,fund,Action,Business,0.55
308,tennis,racket,Object,Sports,0.52
309,university,campus,Location,Education,0.42
310,football,stadium,Location,Sports,0.45
311,bedroom,sleep,Related Concept,Daily Life,0.51
312,river,ecosystem,Related Concept,Nature,0.55
313,cook,prepare,Action,Daily Life,0.51
314,student,pupil,Synonym,Education,0.85
315,boxer,gloves,Object,Sports,0.49
316,strong,weak,Antonym,Sports,0.24
317,teacher,student,Antonym,Education,0.24
318,observe,record,Action,Science,0.48
319,supply,demand,Antonym,Business,0.13
320,forest,woodland,Synonym,Nature,0.81
321,bee,hive,Object,Nature,0.4
322,student,pupil,Synonym,Education,0.82
323,university,degree,Related Concept,Education,0.55
324,educator,professor,Profession,Education,0.51
325,lab,research center,Location,Technology,0.53
326,enroll,register,Action,Education,0.47
327,researcher,scientist,Profession,Science,0.46
328,student,pupil,Synonym,Education,0.91
329,grade,evaluate,Action,Education,0.46
330,gadget,smartwatch,Category Member,Technology,0.68
331,smart,intelligent,Synonym,Education,0.94
332,gadget,smartwatch,Category Member,Technology,0.7
333,bug,glitch,Synonym,Technology,0.94
334,science,laboratory,Location,Science,0.39
335,coach,mentor,Action,Sports,0.42
336,classroom,desk,Object,Education,0.4
337,cloud,storage,Related Concept,Technology,0.46
338,department,finance,Category Member,Business,0.61
339,commute,travel,Action,Daily Life,0.56
340,garden,planting,Related Concept,Daily Life,0.62
341,executive,manager,Profession,Business,0.52
342,secure,protected,Synonym,Technology,0.81
343,tree,oak,Category Member,Nature,0.58
344,subject,history,Category Member,Education,0.7
345,driver,commuter,Profession,Daily Life,0.46
346,school,classroom,Location,Education,0.46
347,morning,evening,Antonym,Daily Life,0.19
348,hardware,keyboard,Category Member,Technology,0.68
349,strong,weak,Antonym,Sports,0.21
350,win,lose,Antonym,Sports,0.27
351,teach,instruct,Action,Education,0.54
352,kitchen,home,Location,Daily Life,0.36
353,bedroom,sleep,Related Concept,Daily Life,0.53
354,marketing,advertising,Related Concept,Business,0.58
355,researcher,chemist,Profession,Science,0.56
356,ocean,sea,Synonym,Nature,0.91
357,network,internet,Synonym,Technology,0.92
358,discovery,finding,Synonym,Science,0.9
359,river,valley,Location,Nature,0.42
360,morning,evening,Antonym,Daily Life,0.28
361,easy,difficult,Antonym,Education,0.27
362,educator,teacher,Profession,Education,0.53
363,researcher,physicist,Profession,Science,0.49
364,team,squad,Synonym,Sports,0.84
365,accurate,inaccurate,Antonym,Science,0.16
366,researcher,physicist,Profession,Science,0.55
367,team,squad,Synonym,Sports,0.82
368,day,night,Antonym,Nature,0.26
369,browser,tab,Related Concept,Technology,0.59
370,test,verify,Action,Science,0.42
371,teach,instruct,Action,Education,0.45
372,device,tablet,Category Member,Technology,0.65
373,department,marketing,Category Member,Business,0.52
374,cloud,storage,Related Concept,Technology,0.59
375,chemistry,reaction,Related Concept,Science,0.51
376,school,classroom,Location,Education,0.49
377,easy,difficult,Antonym,Education,0.12
378,commute,traffic,Related Concept,Daily Life,0.54
379,developer,coder,Profession,Technology,0.49
380,strong,weak,Antonym,Sports,0.27
381,role,analyst,Category Member,Business,0.52
382,analyze,interpret,Action,Science,0.49
383,study,review,Action,Education,0.56
384,executive,manager,Profession,Business,0.48
385,tree,oak,Category Member,Nature,0.68
386,fish,pond,Object,Nature,0.48
387,bedroom,pillow,Object,Daily Life,0.52
388,astronomy,galaxy,Related Concept,Science,0.56
389,data,information,Synonym,Science,0.94
390,large,huge,Synonym,Technology,0.89
391,employee,staff member,Profession,Business,0.48
392,administrator,principal,Profession,Education,0.49
393,office,desk,Object,Business,0.43
394,erode,wear,Action,Nature,0.51
395,bathroom,mirror,Object,Daily Life,0.46
396,desert,drought,Related Concept,Nature,0.46
397,lab,research center,Location,Technology,0.51
398,instrument,telescope,Category Member,Science,0.52
399,bloom,flower,Action,Nature,0.41
400,lab,microscope,Object,Science,0.53
401,commute,travel,Action,Daily Life,0.57
402,athlete,player,Profession,Sports,0.4
403,enroll,register,Action,Education,0.43
404,library,reading room,Location,Education,0.44
405,ocean,sea,Synonym,Nature,0.89
406,bee,hive,Object,Nature,0.38
407,cloud,storage,Related Concept,Technology,0.56
408,physics,force,Related Concept,Science,0.64
409,library,research,Related Concept,Education,0.65
410,science,laboratory,Location,Science,0.53
411,pass,fail,Antonym,Education,0.16
412,researcher,chemist,Profession,Science,0.44
413,bathroom,mirror,Object,Daily Life,0.37
414,ranger,conservationist,Profession,Nature,0.43
415,cook,prepare,Action,Daily Life,0.44
416,researcher,physicist,Profession,Science,0.48
417,school,classroom,Location,Education,0.37
418,exam,grading,Related Concept,Education,0.51
419,profit,earnings,Synonym,Business,0.94
420,astronomy,observatory,Location,Science,0.37
421,bear,den,Object,Nature,0.55
422,erode,wear,Action,Nature,0.47
423,cheap,affordable,Synonym,Business,0.94
424,kitchen,cooking,Related Concept,Daily Life,0.62
425,fish,pond,Object,Nature,0.54
426,athlete,player,Profession,Sports,0.51
427,network,router,Related Concept,Technology,0.46
428,device,smartphone,Category Member,Technology,0.7
429,basketball,court,Related Concept,Sports,0.61
430,bloom,flower,Action,Nature,0.57
431,startup,tech hub,Location,Technology,0.5
432,bird,nest,Object,Nature,0.43
433,import,export,Antonym,Business,0.12
434,science,laboratory,Location,Science,0.47
435,forest,national park,Location,Nature,0.48
436,grade,evaluate,Action,Education,0.59
437,furniture,table,Category Member,Daily Life,0.66
438,instrument,telescope,Category Member,Science,0.66
439,hardware,monitor,Category Member,Technology,0.57
440,astronomy,galaxy,Related Concept,Science,0.61
441,startup,funding,Related Concept,Business,0.54
442,observe,record,Action,Science,0.41
443,accurate,inaccurate,Antonym,Science,0.18
444,strong,weak,Antonym,Sports,0.22
445,technician,IT support,Profession,Technology,0.55
446,exam,test,Synonym,Education,0.88
447,amateur,professional,Antonym,Sports,0.17
448,student,pupil,Synonym,Education,0.87
449,athlete,runner,Profession,Sports,0.51
450,smart,intelligent,Synonym,Education,0.83
451,client,customer,Synonym,Business,0.83
452,coach,trainer,Synonym,Sports,0.82
453,secure,protected,Synonym,Technology,0.88
454,pass,fail,Antonym,Education,0.27
455,tennis,racket,Related Concept,Sports,0.49
456,mountain,peak,Synonym,Nature,0.87
457,cheap,affordable,Synonym,Technology,0.83
458,teacher,instructor,Synonym,Education,0.86
459,employee,staff member,Profession,Business,0.49
460,cleaner,housekeeper,Profession,Daily Life,0.56
461,appliance,refrigerator,Category Member,Daily Life,0.65
462,bird,nest,Object,Nature,0.38
463,naturalist,biologist,Profession,Nature,0.43
464,supply,demand,Antonym,Business,0.28
465,running,track,Related Concept,Sports,0.52
466,basketball,court,Related Concept,Sports,0.58
467,secure,vulnerable,Antonym,Technology,0.25
468,visible,invisible,Antonym,Science,0.25
469,developer,coder,Profession,Technology,0.4
470,teacher,student,Antonym,Education,0.29
471,instrument,microscope,Category Member,Science,0.5
472,bug,glitch,Synonym,Technology,0.85
473,fish,pond,Object,Nature,0.52
474,degree,bachelor's,Category Member,Education,0.63
475,basketball,court,Related Concept,Sports,0.57
476,department,marketing,Category Member,Business,0.58
477,day,night,Antonym,Nature,0.19
478,device,smartphone,Category Member,Technology,0.51
479,ocean,coral reef,Related Concept,Nature,0.45
480,fast,quick,Synonym,Sports,0.83
481,day,night,Antonym,Nature,0.21
482,astronomer,telescope,Object,Science,0.38
483,classroom,desk,Object,Education,0.41
484,fish,pond,Object,Nature,0.36
485,physics,force,Related Concept,Science,0.52
486,mountain,range,Location,Nature,0.36
487,school,classroom,Location,Education,0.5
488,house,home,Synonym,Daily Life,0.89
489,finance,budget,Related Concept,Business,0.5
490,cook,prepare,Action,Daily Life,0.58
491,science,laboratory,Location,Science,0.36
492,accurate,inaccurate,Antonym,Science,0.11
493,data,information,Synonym,Science,0.81
494,invest,fund,Action,Business,0.47
495,exam,grading,Related Concept,Education,0.56
496,developer,coder,Profession,Technology,0.47
497,strong,powerful,Synonym,Sports,0.9
498,hire,recruit,Action,Business,0.44
499,equipment,helmet,Category Member,Sports,0.58
500,exam,grading,Related Concept,Education,0.64
501,marketing,advertising,Related Concept,Business,0.63
502,fast,quick,Synonym,Sports,0.88
503,factory,warehouse,Location,Business,0.52
504,fish,pond,Object,Nature,0.49
505,executive,manager,Profession,Business,0.6
506,morning,evening,Antonym,Daily Life,0.12
507,import,export,Antonym,Business,0.16
508,relax,unwind,Action,Daily Life,0.52
509,device,smartphone,Category Member,Technology,0.57
510,employee,staff member,Profession,Business,0.45
511,startup,tech hub,Location,Technology,0.48
512,hot,cold,Antonym,Nature,0.25
513,accurate,precise,Synonym,Science,0.93
514,planet,earth,Category Member,Science,0.54
515,kitchen,home,Location,Daily Life,0.44
516,employee,staff member,Profession,Business,0.5
517,supply,demand,Antonym,Business,0.17
518,chemistry,reaction,Related Concept,Science,0.61
519,role,manager,Category Member,Business,0.59
520,bloom,flower,Action,Nature,0.49
521,profit,earnings,Synonym,Business,0.92
522,amateur,professional,Antonym,Sports,0.25
523,teacher,student,Antonym,Education,0.15
524,profit,earnings,Synonym,Business,0.91
525,organic,synthetic,Antonym,Science,0.26
526,appliance,refrigerator,Category Member,Daily Life,0.52
527,smart,intelligent,Synonym,Education,0.89
528,wild,tame,Antonym,Nature,0.19
529,buy,sell,Antonym,Business,0.24
530,cook,prepare,Action,Daily Life,0.53
531,online,offline,Antonym,Technology,0.26
532,teach,instruct,Action,Education,0.53
533,mountain,peak,Synonym,Nature,0.9
534,bird,nest,Object,Nature,0.36
535,football,stadium,Related Concept,Sports,0.62
536,equipment,helmet,Category Member,Sports,0.61
537,friend,companion,Synonym,Daily Life,0.89
538,planet,mars,Category Member,Science,0.63
539,beginner,expert,Antonym,Education,0.2
540,server,data center,Location,Technology,0.48
541,river,stream,Synonym,Nature,0.81
542,official,referee,Profession,Sports,0.48
543,naturalist,biologist,Profession,Nature,0.59
544,startup,funding,Related Concept,Business,0.58
545,bug,glitch,Synonym,Technology,0.8
546,startup,funding,Related Concept,Business,0.55
547,wet,dry,Antonym,Nature,0.26
548,degree,bachelor's,Category Member,Education,0.59
549,running,track,Related Concept,Sports,0.54
550,tennis,court,Location,Sports,0.48
551,factory,warehouse,Location,Business,0.4
552,bedroom,sleep,Related Concept,Daily Life,0.64
553,gadget,smartwatch,Category Member,Technology,0.55
554,morning,evening,Antonym,Daily Life,0.11
555,class,lesson,Synonym,Education,0.91
556,accurate,precise,Synonym,Science,0.85
557,cyclist,bicycle,Object,Sports,0.45
558,sport,basketball,Category Member,Sports,0.6
559,public,private,Antonym,Education,0.19
560,instrument,microscope,Category Member,Science,0.62
561,secure,vulnerable,Antonym,Technology,0.28
562,factory,warehouse,Location,Business,0.44
563,bear,den,Object,Nature,0.43
564,team,squad,Synonym,Sports,0.92
565,river,stream,Synonym,Nature,0.85
566,classroom,lecture,Related Concept,Education,0.46
567,ocean,coral reef,Related Concept,Nature,0.51
568,clean,dirty,Antonym,Daily Life,0.2
569,lab,research center,Location,Technology,0.45
570,meeting,projector,Object,Business,0.41
571,bloom,flower,Action,Nature,0.44
572,astronomy,observatory,Location,Science,0.45
573,mountain,peak,Synonym,Nature,0.83
574,executive,manager,Profession,Business,0.43
575,tennis,racket,Related Concept,Sports,0.53
576,clean,dirty,Antonym,Daily Life,0.23
577,startup,tech hub,Location,Technology,0.46
578,public,private,Antonym,Education,0.24
579,offense,defense,Antonym,Sports,0.17
580,sport,basketball,Category Member,Sports,0.63
581,compile,build,Action,Technology,0.43
582,role,analyst,Category Member,Business,0.54
583,supply,demand,Antonym,Business,0.12
584,tennis,court,Location,Sports,0.42
585,department,finance,Category Member,Business,0.56
586,science,laboratory,Location,Science,0.48
587,cook,prepare,Action,Daily Life,0.56
588,tree,pine,Category Member,Nature,0.5
589,hire,recruit,Action,Business,0.42
590,secure,protected,Synonym,Technology,0.84
591,computer,mouse,Object,Technology,0.37
592,student,backpack,Object,Education,0.35
593,ocean,coral reef,Related Concept,Nature,0.49
594,bathroom,mirror,Object,Daily Life,0.39
595,ocean,sea,Synonym,Nature,0.87
596,tennis,racket,Object,Sports,0.47
597,analyze,interpret,Action,Science,0.43
598,element,oxygen,Category Member,Science,0.53
599,device,tablet,Category Member,Technology,0.7
600,equipment,gloves,Category Member,Sports,0.53
601,educator,professor,Profession,Education,0.42
602,degree,bachelor's,Category Member,Education,0.5
603,score,win,Action,Sports,0.42
604,day,night,Antonym,Nature,0.24
605,finance,budget,Related Concept,Business,0.55
606,tennis,racket,Object,Sports,0.44
607,park,neighborhood,Location,Daily Life,0.45
608,bird,nest,Object,Nature,0.53
609,analyst,data scientist,Profession,Technology,0.56
610,running,track,Related Concept,Sports,0.53
611,school,classroom,Location,Education,0.53
612,cheap,affordable,Synonym,Technology,0.81
613,driver,commuter,Profession,Daily Life,0.57
614,naturalist,biologist,Profession,Nature,0.45
615,administrator,principal,Profession,Education,0.59
616,import,export,Antonym,Business,0.26
617,school,classroom,Location,Education,0.4
618,import,export,Antonym,Business,0.14
619,cyclist,bicycle,Object,Sports,0.47
620,laptop,battery,Object,Technology,0.55
621,fast,slow,Antonym,Technology,0.25
622,basketball,court,Related Concept,Sports,0.59
623,geology,mineral,Related Concept,Science,0.64
624,naturalist,biologist,Profession,Nature,0.49
625,developer,programmer,Profession,Technology,0.49
626,accurate,precise,Synonym,Science,0.87
627,river,valley,Location,Nature,0.35
628,researcher,biologist,Profession,Science,0.46
629,victory,win,Synonym,Sports,0.89
630,computer,laptop,Synonym,Technology,0.86
631,ocean,sea,Synonym,Nature,0.83
632,house,home,Synonym,Daily Life,0.84
633,boxer,gloves,Object,Sports,0.52
634,meal,dish,Synonym,Daily Life,0.93
635,easy,difficult,Antonym,Education,0.2
636,enroll,register,Action,Education,0.42
637,accountant,spreadsheet,Object,Business,0.37
638,boxer,gloves,Object,Sports,0.47
639,instrument,microscope,Category Member,Science,0.65
640,executive,director,Profession,Business,0.59
641,relax,unwind,Action,Daily Life,0.48
642,device,smartphone,Category Member,Technology,0.67
643,classroom,whiteboard,Object,Education,0.52
644,win,lose,Antonym,Sports,0.11
645,cook,chef,Profession,Daily Life,0.45
646,device,smartphone,Category Member,Technology,0.56
647,computer,laptop,Synonym,Technology,0.83
648,day,night,Antonym,Nature,0.12
649,wet,dry,Antonym,Nature,0.29
650,student,backpack,Object,Education,0.41
651,chemistry,reaction,Related Concept,Science,0.6
652,fast,slow,Antonym,Technology,0.23
653,device,smartphone,Category Member,Technology,0.65
654,database,query,Related Concept,Technology,0.55
655,book,textbook,Synonym,Education,0.83
656,beginner,expert,Antonym,Education,0.24
657,house,home,Synonym,Daily Life,0.94
658,office,desk,Object,Business,0.39
659,exam,test,Synonym,Education,0.94
660,subject,mathematics,Category Member,Education,0.51
661,score,win,Action,Sports,0.58
662,grade,score,Synonym,Education,0.82
663,factory,warehouse,Location,Business,0.45
664,grade,evaluate,Action,Education,0.44
665,happy,glad,Synonym,Daily Life,0.82
666,naturalist,biologist,Profession,Nature,0.56
667,network,router,Related Concept,Technology,0.48
668,test,verify,Action,Science,0.52
