id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
105,The film received widespread critical acclaim upon release.,Sources confirmed that the film received widespread critical acclaim upon release.,0.99,Very High,Same Meaning
106,The soccer team won the championship after a dramatic final.,Thousands of fans celebrated in the streets after the victory.,0.46,Medium,Related
107,"As widely reported, to cut down on traffic, the city introduced a bike-sharing program.","Notably, the research team released a major study about renewable energy.",0.05,Very Low,Unrelated
108,"Notably, the factory's energy consumption dropped after an equipment upgrade.",The factory upgraded its equipment to reduce energy consumption.,0.85,High,Paraphrase
109,"Notably, upon its release, the film was widely praised by critics.",It was noted that the film was widely panned by critics upon release.,0.24,Low,Contradiction
110,Sources confirmed that the film received widespread critical acclaim upon release.,"As widely reported, the film received widespread critical acclaim upon release.",0.87,High,Paraphrase
111,"According to the report, the scientists published groundbreaking research on renewable energy.","As widely reported, the research team released a major study about renewable energy.",0.85,High,Paraphrase
112,Sources confirmed that the hikers reached the summit just before sunset.,"According to the report, the trail offered stunning views of the surrounding valley.",0.53,Medium,Related
113,"As widely reported, the hikers reached the summit just before sunset.",Sources confirmed that the hikers turned back before reaching the summit.,0.2,Low,Contradiction
114,The bakery introduced a new line of gluten-free pastries.,"Notably, the hospital's new wing focuses on caring for young patients.",0.14,Very Low,Unrelated
115,"Notably, the city launched a bike-sharing program to reduce traffic congestion.",Sources confirmed that a bike-sharing program was launched by the city to ease traffic congestion.,0.79,High,Paraphrase
116,"As widely reported, the novelist released her long-awaited sequel this spring.","It was noted that this spring, the novelist's long-awaited sequel finally arrived.",0.85,High,Paraphrase
117,"Sources confirmed that after a dramatic final, the soccer team claimed the championship title.",The soccer team won the championship after a dramatic final.,0.93,Very High,Same Meaning
118,"Notably, a moving tribute to the late composer was performed by the orchestra.",Sources confirmed that the orchestra canceled its planned tribute to the composer.,0.24,Low,Contradiction
119,"Just before sunset, the hikers arrived at the summit.","It was noted that just before sunset, the hikers arrived at the summit.",0.91,Very High,Same Meaning
120,"As widely reported, a delicious meal was made by the chef for the guests.",Sources confirmed that the chef ruined the meal and the guests left disappointed.,0.15,Low,Contradiction
121,Sources confirmed that a delicious meal was made by the chef for the guests.,"Notably, the chef ruined the meal and the guests left disappointed.",0.28,Low,Contradiction
122,"Notably, the smartphone's camera has been greatly improved in this new version.",Sources confirmed that reviewers praised the phone's battery life and sleek design.,0.61,Medium,Related
123,Farmers can now use the startup's app to track soil health.,"Notably, the startup developed an app that helps farmers monitor soil health.",0.91,Very High,Same Meaning
124,It was noted that a new gluten-free pastry line was launched by the bakery.,"As widely reported, the bakery introduced a new line of gluten-free pastries.",0.85,High,Paraphrase
125,"Last weekend, volunteers spent hours removing litter from the riverbank.",It was noted that the event was organized by a local environmental group.,0.63,Medium,Related
126,It was noted that the orchestra honored the late composer with an emotional performance.,Sources confirmed that the orchestra honored the late composer with an emotional performance.,0.94,Very High,Same Meaning
127,Record profits were announced by the company for the current quarter.,Sources confirmed that record profits were announced by the company for the current quarter.,0.82,High,Paraphrase
128,"Notably, the hikers reached the summit just before sunset.","According to the report, the hikers turned back before reaching the summit.",0.25,Low,Contradiction
129,It was noted that the bakery started offering gluten-free pastries as a new product line.,"According to the report, fans welcomed the release of the novelist's sequel this spring.",0.09,Very Low,Unrelated
130,"Notably, this spring, the novelist's long-awaited sequel finally arrived.",It was noted that the smartphone's camera has been greatly improved in this new version.,0.13,Very Low,Unrelated
131,Sources confirmed that the soccer team won the championship after a dramatic final.,"As widely reported, thousands of fans celebrated in the streets after the victory.",0.56,Medium,Related
132,"As widely reported, the bakery introduced a new line of gluten-free pastries.",Fans welcomed the release of the novelist's sequel this spring.,0.01,Very Low,Unrelated
133,"Notably, the volunteers cleaned up litter along the riverbank last weekend.",It was noted that the airline canceled several flights due to bad weather.,0.12,Very Low,Unrelated
134,It was noted that the group of hikers made it to the top right before the sun went down.,"As widely reported, the hikers reached the summit just before sunset.",0.91,Very High,Same Meaning
135,Sources confirmed that the guests were served a tasty meal that the chef had cooked.,It was noted that the chef prepared a delicious meal for the guests.,0.89,High,Paraphrase
136,"Notably, the city council approved funding for a new public park.",It was noted that new equipment was installed at the factory to cut energy use.,0.01,Very Low,Unrelated
137,Litter along the riverbank was cleared by volunteers last weekend.,"Notably, litter along the riverbank was cleared by volunteers last weekend.",0.9,Very High,Same Meaning
138,It was noted that the bakery started offering gluten-free pastries as a new product line.,"According to the report, the bakery introduced a new line of gluten-free pastries.",0.92,Very High,Same Meaning
139,"Notably, a new gluten-free pastry line was launched by the bakery.",The bakery discontinued its gluten-free pastry line due to low demand.,0.17,Low,Contradiction
140,A delicious meal was made by the chef for the guests.,"As widely reported, the soccer team won the championship after a dramatic final.",0.13,Very Low,Unrelated
141,Sources confirmed that several flights were canceled by the airline because of poor weather conditions.,The city launched a bike-sharing program to reduce traffic congestion.,0.1,Very Low,Unrelated
142,Critics gave the film glowing reviews when it came out.,The lead actor won several awards for the role.,0.64,Medium,Related
143,"According to the report, new equipment was installed at the factory to cut energy use.","As widely reported, the research team released a major study about renewable energy.",0.02,Very Low,Unrelated
144,Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,It was noted that a delicious meal was made by the chef for the guests.,0.13,Very Low,Unrelated
145,The city council approved funding for a new public park.,Sources confirmed that the city council rejected the proposal for a new public park.,0.32,Low,Contradiction
146,It was noted that the factory upgraded its equipment to reduce energy consumption.,The factory's energy consumption dropped after an equipment upgrade.,0.96,Very High,Same Meaning
147,It was noted that the factory's energy consumption dropped after an equipment upgrade.,It was noted that the upgrade is expected to lower operating costs significantly.,0.62,Medium,Related
148,A moving tribute to the late composer was performed by the orchestra.,"Notably, the orchestra performed a moving tribute to the late composer.",0.99,Very High,Same Meaning
149,"As widely reported, a moving tribute to the late composer was performed by the orchestra.","Notably, the orchestra canceled its planned tribute to the composer.",0.27,Low,Contradiction
150,"According to the report, a delicious meal was made by the chef for the guests.","Notably, the guests were served a tasty meal that the chef had cooked.",0.95,Very High,Same Meaning
151,The championship was won by the soccer team in a thrilling final match.,"Notably, the championship was won by the soccer team in a thrilling final match.",0.78,High,Paraphrase
152,"As widely reported, the guests were served a tasty meal that the chef had cooked.",Sources confirmed that the restaurant received great reviews for its outstanding service.,0.56,Medium,Related
153,An app for monitoring soil health was created by the startup for farmers.,Farmers can now use the startup's app to track soil health.,0.91,Very High,Same Meaning
154,The smartphone's camera has been greatly improved in this new version.,It was noted that reviewers praised the phone's battery life and sleek design.,0.47,Medium,Related
155,"According to the report, the students put in a lot of effort studying for finals.",It was noted that the students barely studied and skipped most of their classes.,0.25,Low,Contradiction
156,"As widely reported, farmers can now use the startup's app to track soil health.","Notably, agricultural experts praised the app's accuracy in the field.",0.6,Medium,Related
157,"Sources confirmed that this quarter, the company reported record breaking profits.","Notably, the company reported a significant loss this quarter.",0.26,Low,Contradiction
158,"Notably, a much better camera is one of the new smartphone's key features.",It was noted that a much better camera is one of the new smartphone's key features.,0.78,High,Paraphrase
159,"Notably, the factory's energy consumption dropped after an equipment upgrade.","Notably, the factory's energy consumption rose after the equipment failed.",0.27,Low,Contradiction
160,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.","To cut down on traffic, the city introduced a bike-sharing program.",0.91,Very High,Same Meaning
161,It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,"According to the report, the city launched a bike-sharing program to reduce traffic congestion.",0.82,High,Paraphrase
162,"Notably, record profits were announced by the company for the current quarter.",Record profits were announced by the company for the current quarter.,0.76,High,Paraphrase
163,It was noted that the students put in a lot of effort studying for finals.,"As widely reported, the teacher offered extra review sessions before the exam period.",0.58,Medium,Related
164,"As widely reported, the airline canceled several flights due to bad weather.",Several flights were canceled by the airline because of poor weather conditions.,0.98,Very High,Same Meaning
165,The museum unveiled a new exhibit on ancient civilizations.,"As widely reported, the museum's latest exhibit focuses on ancient civilizations.",0.96,Very High,Same Meaning
166,Sources confirmed that the group of hikers made it to the top right before the sun went down.,The hikers turned back before reaching the summit.,0.16,Low,Contradiction
167,"Notably, the city launched a bike-sharing program to reduce traffic congestion.",Sources confirmed that the city shut down its bike-sharing program after low usage.,0.28,Low,Contradiction
168,"To cut down on traffic, the city introduced a bike-sharing program.","According to the report, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.62,Medium,Related
169,"As widely reported, last weekend, volunteers spent hours removing litter from the riverbank.",Sources confirmed that the riverbank cleanup event was canceled due to low turnout.,0.19,Low,Contradiction
170,The hospital's new wing focuses on caring for young patients.,It was noted that the hospital's new wing focuses on caring for young patients.,0.95,Very High,Same Meaning
171,"Notably, a moving tribute to the late composer was performed by the orchestra.",It was noted that the orchestra honored the late composer with an emotional performance.,0.78,High,Paraphrase
172,The championship was won by the soccer team in a thrilling final match.,It was noted that the soccer team won the championship after a dramatic final.,0.83,High,Paraphrase
173,"As widely reported, the students studied hard for their final exams.","According to the report, the students put in a lot of effort studying for finals.",0.81,High,Paraphrase
174,"According to the report, this quarter, the company reported record breaking profits.",The company announced record profits this quarter.,0.85,High,Paraphrase
175,"It was noted that after a dramatic final, the soccer team claimed the championship title.",It was noted that thousands of fans celebrated in the streets after the victory.,0.56,Medium,Related
176,The airline canceled several flights due to bad weather.,"Notably, tickets for the tribute concert sold out within hours.",0.12,Very Low,Unrelated
177,Sources confirmed that the factory's energy consumption dropped after an equipment upgrade.,Sources confirmed that new equipment was installed at the factory to cut energy use.,0.95,Very High,Same Meaning
178,"Notably, after a dramatic final, the soccer team claimed the championship title.","Notably, the championship was won by the soccer team in a thrilling final match.",0.85,High,Paraphrase
179,"Notably, this quarter, the company reported record breaking profits.","As widely reported, the company reported a significant loss this quarter.",0.28,Low,Contradiction
180,The city council approved funding for a new public park.,"As widely reported, the event was organized by a local environmental group.",0.05,Very Low,Unrelated
181,The novelist released her long-awaited sequel this spring.,The novelist postponed the release of her sequel indefinitely.,0.25,Low,Contradiction
182,"According to the report, critics gave the film glowing reviews when it came out.","Notably, the film received widespread critical acclaim upon release.",0.79,High,Paraphrase
183,A new pediatric care wing was opened at the hospital.,It was noted that the hospital's new wing focuses on caring for young patients.,0.86,High,Paraphrase
184,"Notably, the orchestra performed a moving tribute to the late composer.","According to the report, the bakery introduced a new line of gluten-free pastries.",0.11,Very Low,Unrelated
185,"According to the report, record profits were announced by the company for the current quarter.",Sources confirmed that the company announced record profits this quarter.,0.9,Very High,Same Meaning
186,Sources confirmed that the city launched a bike-sharing program to reduce traffic congestion.,"As widely reported, to cut down on traffic, the city introduced a bike-sharing program.",0.81,High,Paraphrase
187,The museum unveiled a new exhibit on ancient civilizations.,"According to the report, visitors can attend guided tours of the museum every weekend.",0.64,Medium,Related
188,It was noted that the chef prepared a delicious meal for the guests.,"Notably, a delicious meal was made by the chef for the guests.",0.98,Very High,Same Meaning
189,"According to the report, the scientists published groundbreaking research on renewable energy.",It was noted that groundbreaking research on renewable energy was published by the scientists.,0.87,High,Paraphrase
190,"Notably, the hospital opened a new wing dedicated to pediatric care.","As widely reported, donors contributed generously to fund the hospital's expansion.",0.57,Medium,Related
191,"Notably, the championship was won by the soccer team in a thrilling final match.",Sources confirmed that the council voted to fund the construction of a new public park.,0.01,Very Low,Unrelated
192,"It was noted that just before sunset, the hikers arrived at the summit.",It was noted that the hikers reached the summit just before sunset.,0.91,Very High,Same Meaning
193,"Notably, the factory upgraded its equipment to reduce energy consumption.",Sources confirmed that the factory's energy consumption dropped after an equipment upgrade.,0.94,Very High,Same Meaning
194,"According to the report, critics gave the film glowing reviews when it came out.","Notably, the city council approved funding for a new public park.",0.01,Very Low,Unrelated
195,It was noted that the research team released a major study about renewable energy.,"Notably, the scientists published groundbreaking research on renewable energy.",0.95,Very High,Same Meaning
196,"According to the report, the soccer team won the championship after a dramatic final.",Sources confirmed that thousands of fans celebrated in the streets after the victory.,0.63,Medium,Related
197,"As widely reported, the novelist released her long-awaited sequel this spring.",It was noted that the novelist released her long-awaited sequel this spring.,0.95,Very High,Same Meaning
198,"As widely reported, a new gluten-free pastry line was launched by the bakery.","As widely reported, the bakery started offering gluten-free pastries as a new product line.",0.8,High,Paraphrase
199,"As widely reported, the factory upgraded its equipment to reduce energy consumption.","Upon its release, the film was widely praised by critics.",0.05,Very Low,Unrelated
200,"To cut down on traffic, the city introduced a bike-sharing program.","As widely reported, the hikers reached the summit just before sunset.",0.09,Very Low,Unrelated
201,Sources confirmed that new equipment was installed at the factory to cut energy use.,"As widely reported, the upgrade is expected to lower operating costs significantly.",0.64,Medium,Related
202,The bakery started offering gluten-free pastries as a new product line.,"Notably, a new gluten-free pastry line was launched by the bakery.",0.96,Very High,Same Meaning
203,Sources confirmed that the film received widespread critical acclaim upon release.,"As widely reported, the lead actor won several awards for the role.",0.55,Medium,Related
204,"As widely reported, an app for monitoring soil health was created by the startup for farmers.","According to the report, agricultural experts praised the app's accuracy in the field.",0.56,Medium,Related
205,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.",Sources confirmed that the city launched a bike-sharing program to reduce traffic congestion.,0.78,High,Paraphrase
206,It was noted that the novelist released her long-awaited sequel this spring.,"Notably, this spring, the novelist's long-awaited sequel finally arrived.",0.82,High,Paraphrase
207,The novelist released her long-awaited sequel this spring.,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.",0.83,High,Paraphrase
208,New equipment was installed at the factory to cut energy use.,Sources confirmed that the upgrade is expected to lower operating costs significantly.,0.55,Medium,Related
209,"As widely reported, the hikers reached the summit just before sunset.","According to the report, the trail offered stunning views of the surrounding valley.",0.6,Medium,Related
210,"Notably, record profits were announced by the company for the current quarter.","According to the report, due to bad weather, the airline had to cancel a number of flights.",0.12,Very Low,Unrelated
211,New equipment was installed at the factory to cut energy use.,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.",0.9,Very High,Same Meaning
212,"Notably, funding for a new public park was approved by the city council.",Litter along the riverbank was cleared by volunteers last weekend.,0.1,Very Low,Unrelated
213,"According to the report, the hospital opened a new wing dedicated to pediatric care.","As widely reported, donors contributed generously to fund the hospital's expansion.",0.64,Medium,Related
214,"According to the report, the championship was won by the soccer team in a thrilling final match.","Notably, the soccer team won the championship after a dramatic final.",0.93,Very High,Same Meaning
215,It was noted that the novelist released her long-awaited sequel this spring.,Sources confirmed that donors contributed generously to fund the hospital's expansion.,0.03,Very Low,Unrelated
