id,text,language,sentence_length,word_count,character_count,uppercase_count,punctuation_count
52,"Although the weather in Amsterdam can be unpredictable during December, The new intern decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,247,4,3
53,"Although the weather in Vancouver can be unpredictable during April, The debate team captain decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,253,4,3
54,"My younger sister spent several weeks reviewing the annual budget report, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,269,1,5
55,The chess club presented the neighborhood's street art at the university campus during the summer break.,English,Long,16,104,1,2
56,"Although the weather in Buenos Aires can be unpredictable during January, The debate team captain decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,38,258,5,3
57,The orchestra conductor sketched a rare species of orchid on a rainy Tuesday.,English,Medium,13,77,2,1
58,A curious student recorded the quarterly sales figures.,English,Short,8,55,1,1
59,The new intern calculated the school's science fair near the old train station.,English,Medium,13,79,1,2
60,A young entrepreneur documented the annual budget report in the downtown office during the summer break.,English,Long,16,104,1,1
61,"Although the weather in Cape Town can be unpredictable during December, Their coach decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,244,5,3
62,"Although the weather in Bangkok can be unpredictable during April, The museum curator decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,246,4,3
63,The night-shift nurse reviewed the volunteer schedule in the downtown office within a few hours.,English,Medium,15,96,1,2
64,The software engineer celebrated the volunteer schedule after months of planning.,English,Medium,11,81,1,1
65,"A young entrepreneur spent several weeks translating the annual budget report, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,274,1,5
66,The local bakery celebrated the town's water supply system at a small conference in Melbourne just before sunset.,English,Long,18,113,2,2
67,The debate team captain compared an experimental cooking recipe on a rainy Tuesday.,English,Medium,13,83,2,1
68,A young entrepreneur designed the neighborhood's street art throughout the semester.,English,Medium,11,84,1,2
69,"Although the weather in Osaka can be unpredictable during December, The orchestra conductor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,252,4,3
70,"Although the weather in Mumbai can be unpredictable during April, Her grandfather decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,35,242,4,3
71,The orchestra conductor rehearsed the annual budget report along the riverbank throughout the semester.,English,Medium,14,103,1,1
72,Is it possible to reschedule tomorrow's appointment?,English,Short,7,52,1,2
73,"Please remember to submit the form by Friday, 5 PM.",English,Medium,10,51,4,2
74,The software engineer questioned the results of the survey in the downtown office.,English,Medium,13,82,1,1
75,The chess club planted a collection of vintage postcards.,English,Medium,9,57,1,1
76,Our neighbor measured the upcoming film festival near the old train station during the summer break.,English,Long,16,100,1,1
77,The debate team captain measured the neighborhood's street art at the university campus within a few hours.,English,Long,17,107,1,2
78,The orchestra conductor sketched the upcoming film festival near the old train station.,English,Medium,13,87,1,1
79,A curious student translated the upcoming film festival at the university campus every Saturday afternoon.,English,Medium,15,106,2,1
80,"A curious student spent several weeks comparing the quarterly sales figures, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,272,1,5
81,"Although the weather in Marrakesh can be unpredictable during April, Our neighbor decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,35,242,4,3
82,"Wow, that presentation was absolutely incredible!",English,Short,6,49,1,2
83,The new intern photographed the layout of the public library at the university campus throughout the semester.,English,Long,17,110,1,1
84,"According to a recent report published by Zenith Pharmaceuticals, the number of people who recycle a collection of vintage postcards has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,243,3,3
85,The orchestra conductor designed several ancient manuscripts throughout the semester.,English,Medium,10,85,1,1
86,The chess club explored the quarterly sales figures near the old train station just before sunset.,English,Long,16,98,1,1
87,The marketing department compared a set of handwritten letters over the weekend.,English,Medium,12,80,1,1
88,The city council rehearsed a set of handwritten letters at the university campus after months of planning.,English,Long,17,106,1,1
89,Can you believe how quickly the year has gone by?,English,Medium,10,49,1,1
90,The marketing department recorded the volunteer schedule inside the community center.,English,Medium,11,85,1,1
91,Our neighbor explored the quarterly sales figures along the riverbank within a few hours.,English,Medium,14,89,1,1
92,Their coach celebrated an antique wooden clock in the downtown office every Saturday afternoon.,English,Medium,14,95,2,1
93,My best friend sketched several ancient manuscripts in the downtown office during the summer break.,English,Medium,15,99,1,1
94,The orchestra conductor celebrated several ancient manuscripts at a small conference in Melbourne.,English,Medium,13,98,2,1
95,Watch out for the wet floor near the entrance.,English,Medium,9,46,1,1
96,"Although the weather in Manila can be unpredictable during December, The chess club decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,244,4,3
97,"The museum curator spent several weeks photographing the volunteer schedule, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,44,272,1,5
98,My best friend planted the layout of the public library on a rainy Tuesday.,English,Medium,14,75,2,1
99,"Their coach spent several weeks organizing the results of the survey, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,265,1,5
100,A freelance writer documented the school's science fair over the weekend.,English,Medium,11,73,1,2
101,A group of tourists measured a new hiking trail near the old train station since last spring.,English,Long,17,93,1,1
102,A group of tourists photographed the quarterly sales figures inside the community center within a few hours.,English,Long,17,108,1,1
103,The community garden volunteers questioned the layout of the public library at a small conference in Melbourne.,English,Long,17,111,2,1
104,The museum curator sketched the community recycling program at the university campus.,English,Medium,12,85,1,1
105,I can't believe we finished the project two days early.,English,Medium,10,55,1,2
106,My younger sister presented a series of jazz recordings in the downtown office during the summer break.,English,Long,17,103,1,1
107,A freelance writer organized several ancient manuscripts during the summer break.,English,Medium,11,81,1,1
108,"The community garden volunteers, who had monitored an unusual weather pattern for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,237,1,3
109,The community garden volunteers repaired the community recycling program.,English,Medium,9,73,1,1
110,Our neighbor photographed a series of jazz recordings at a small conference in Melbourne every Saturday afternoon.,English,Long,17,114,3,1
111,Our neighbor celebrated a series of jazz recordings in the downtown office after months of planning.,English,Long,16,100,1,1
112,Where did the committee decide to hold the conference?,English,Medium,9,54,1,1
113,"Although the weather in Bangkok can be unpredictable during December, My younger sister decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,248,4,3
114,A retired teacher repaired the upcoming film festival in the downtown office throughout the semester.,English,Medium,15,101,1,1
115,The new intern photographed a collection of vintage postcards at the university campus every Saturday afternoon.,English,Long,16,112,2,1
116,"Although the weather in Cape Town can be unpredictable during December, A wildlife photographer decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,37,256,5,3
117,The community garden volunteers photographed a rare species of orchid just before sunset.,English,Medium,13,89,1,1
118,A freelance writer translated a collection of vintage postcards after months of planning.,English,Medium,13,89,1,1
119,"According to a recent report published by Maple Street School District, the number of people who measure the results of the survey has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,39,241,5,3
120,"The museum curator, who had coordinated the neighborhood's street art for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,229,1,4
121,"The local bakery spent several weeks organizing a rare species of orchid, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,269,1,5
122,A retired teacher calculated an unusual weather pattern in the downtown office just before sunset.,English,Medium,15,98,1,1
123,The new intern recorded the layout of the public library at the university campus.,English,Medium,14,82,1,1
124,"The local bakery spent several weeks measuring a series of jazz recordings, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,271,1,5
125,The delivery driver photographed the upcoming film festival.,English,Short,8,60,1,1
126,The museum curator recorded the results of the survey since last spring.,English,Medium,12,72,1,1
127,Who is responsible for updating the internal documentation?,English,Short,8,59,1,1
128,Their coach documented the results of the survey earlier this morning.,English,Medium,11,70,1,1
129,The chess club photographed the layout of the public library at a small conference in Melbourne.,English,Long,16,96,2,1
130,When is the best season to visit Wellington?,English,Short,8,44,2,1
131,"A wildlife photographer, who had overseen the results of the survey for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,227,1,3
132,The chess club recorded a newly discovered fossil along the riverbank after months of planning.,English,Medium,15,95,1,1
133,The chess club celebrated a newly discovered fossil since last spring.,English,Medium,11,70,1,1
134,The delivery driver planted the layout of the public library.,English,Medium,10,61,1,1
135,A freelance writer documented the annual budget report inside the community center over the weekend.,English,Medium,15,100,1,1
136,The local bakery photographed a collection of vintage postcards near the old train station earlier this morning.,English,Long,17,112,1,1
137,Her grandfather negotiated a rare species of orchid in the downtown office every Saturday afternoon.,English,Medium,15,100,2,1
138,"According to a recent report published by Lakeside Medical Center, the number of people who discuss a newly discovered fossil has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,236,4,3
139,The community garden volunteers organized the town's water supply system within a few hours.,English,Medium,14,92,1,2
140,The maintenance crew questioned the layout of the public library inside the community center during the summer break.,English,Long,18,117,1,1
141,A group of tourists designed the town's water supply system at a small conference in Melbourne.,English,Long,16,95,2,2
142,The new intern measured the layout of the public library along the riverbank within a few hours.,English,Long,17,96,1,1
143,The chess club photographed the neighborhood's street art along the riverbank since last spring.,English,Medium,14,96,1,2
144,The delivery driver planted a rare species of orchid at a small conference in Melbourne since last spring.,English,Long,18,106,2,1
145,"According to a recent report published by Brightline Technologies, the number of people who photograph several ancient manuscripts has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,35,241,3,3
146,"According to a recent report published by Brightline Technologies, the number of people who recycle the annual budget report has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,36,235,3,3
147,The delivery driver presented a newly discovered fossil at a small conference in Melbourne.,English,Medium,14,91,2,1
148,A curious student designed an antique wooden clock on a rainy Tuesday.,English,Medium,12,70,2,1
149,Attention: the meeting has been moved to Room 204.,English,Medium,9,50,2,2
150,My younger sister planted the upcoming film festival at the university campus on a rainy Tuesday.,English,Long,16,97,2,1
151,"Our neighbor spent several weeks measuring an unusual weather pattern, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,44,266,1,5
152,The new intern explored the community recycling program near the old train station within a few hours.,English,Long,17,102,1,1
153,"The maintenance crew, who had coordinated a newly discovered fossil for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,227,1,3
154,A retired teacher sketched the community recycling program along the riverbank over the weekend.,English,Medium,14,96,1,1
155,The maintenance crew translated a new hiking trail at the university campus during the summer break.,English,Long,16,100,1,1
156,My best friend repaired the layout of the public library inside the community center.,English,Medium,14,85,1,1
157,The orchestra conductor rehearsed several ancient manuscripts inside the community center just before sunset.,English,Medium,14,109,1,1
158,"The chess club spent several weeks photographing the community recycling program, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,277,1,5
159,A curious student measured a new hiking trail.,English,Short,8,46,1,1
160,The new intern explored the results of the survey at a small conference in Melbourne.,English,Medium,15,85,2,1
161,The chess club documented the layout of the public library inside the community center just before sunset.,English,Long,17,106,1,1
162,The local bakery reviewed a collection of vintage postcards over the weekend.,English,Medium,12,77,1,1
163,The museum curator documented a rare species of orchid just before sunset.,English,Medium,12,74,1,1
164,The chess club sketched a rare species of orchid every Saturday afternoon.,English,Medium,12,74,2,1
165,Their coach negotiated a new hiking trail inside the community center within a few hours.,English,Medium,15,89,1,1
166,Our neighbor measured the annual budget report in the downtown office on a rainy Tuesday.,English,Medium,15,89,2,1
167,The night-shift nurse measured the upcoming film festival just before sunset.,English,Medium,11,77,1,2
168,The city council photographed an experimental cooking recipe near the old train station since last spring.,English,Long,16,106,1,1
169,The community garden volunteers recorded the town's water supply system at a small conference in Melbourne.,English,Long,16,107,2,2
170,The research team designed the neighborhood's street art along the riverbank within a few hours.,English,Medium,15,96,1,2
171,My best friend recorded a set of handwritten letters throughout the semester.,English,Medium,12,77,1,1
172,The delivery driver documented several ancient manuscripts inside the community center since last spring.,English,Medium,14,105,1,1
173,The chess club translated the quarterly sales figures near the old train station on a rainy Tuesday.,English,Long,17,100,2,1
174,Their coach documented a set of handwritten letters at a small conference in Melbourne every Saturday afternoon.,English,Long,17,112,3,1
175,A group of tourists documented a new hiking trail at the university campus throughout the semester.,English,Long,16,99,1,1
176,The local bakery measured an antique wooden clock in the downtown office throughout the semester.,English,Medium,15,97,1,1
177,"My younger sister spent several weeks documenting an experimental cooking recipe, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,277,1,5
178,The software engineer calculated an experimental cooking recipe.,English,Short,8,64,1,1
179,"Their coach, who had coordinated the community recycling program for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,36,224,1,3
180,"The local bakery spent several weeks comparing an antique wooden clock, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,45,267,1,5
181,The chess club repaired the volunteer schedule at a small conference in Melbourne.,English,Medium,13,82,2,1
182,The local bakery celebrated an experimental cooking recipe since last spring.,English,Medium,11,77,1,1
183,The new intern celebrated the annual budget report in the downtown office since last spring.,English,Medium,15,92,1,1
184,A curious student repaired an unusual weather pattern at a small conference in Melbourne over the weekend.,English,Long,17,106,2,1
185,A curious student questioned the layout of the public library within a few hours.,English,Medium,14,81,1,1
186,My younger sister translated a series of jazz recordings since last spring.,English,Medium,12,75,1,1
187,The orchestra conductor photographed several ancient manuscripts after months of planning.,English,Medium,11,90,1,1
188,Her grandfather translated the school's science fair inside the community center during the summer break.,English,Medium,15,105,1,2
189,My younger sister presented a series of jazz recordings along the riverbank.,English,Medium,12,76,1,1
190,The night-shift nurse explored a collection of vintage postcards within a few hours.,English,Medium,13,84,1,2
191,"The orchestra conductor, who had managed the town's water supply system for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,231,1,4
192,The chess club photographed the results of the survey along the riverbank during the summer break.,English,Long,16,98,1,1
193,"According to a recent report published by Ironwood Steel Works, the number of people who photograph the upcoming film festival has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,237,4,3
194,The night-shift nurse designed an unusual weather pattern in the downtown office just before sunset.,English,Medium,15,100,1,2
195,The orchestra conductor presented the community recycling program near the old train station on a rainy Tuesday.,English,Long,17,112,2,1
196,When is the best season to visit Buenos Aires?,English,Medium,9,46,3,1
197,The city council organized a set of handwritten letters near the old train station.,English,Medium,14,83,1,1
198,The debate team captain discussed the results of the survey during the summer break.,English,Medium,14,84,1,1
199,The city council rehearsed the annual budget report in the downtown office since last spring.,English,Medium,15,93,1,1
200,The local bakery repaired the volunteer schedule just before sunset.,English,Medium,10,68,1,1
201,My younger sister compared a rare species of orchid at a small conference in Melbourne.,English,Medium,15,87,2,1
202,The new intern organized the results of the survey.,English,Medium,9,51,1,1
203,The debate team captain measured the upcoming film festival throughout the semester.,English,Medium,12,84,1,1
204,The software engineer explored a set of handwritten letters every Saturday afternoon.,English,Medium,12,85,2,1
205,The orchestra conductor questioned the quarterly sales figures in the downtown office over the weekend.,English,Medium,15,103,1,1
206,The local bakery designed the quarterly sales figures on a rainy Tuesday.,English,Medium,12,73,2,1
207,The delivery driver rehearsed the upcoming film festival earlier this morning.,English,Medium,11,78,1,1
208,The maintenance crew rehearsed the community recycling program at the university campus within a few hours.,English,Long,16,107,1,1
209,"According to a recent report published by Summit Robotics Inc., the number of people who recycle the town's water supply system has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,238,4,5
210,My best friend photographed an experimental cooking recipe over the weekend.,English,Medium,11,76,1,1
211,Could you explain how the recommendation algorithm works?,English,Short,8,57,1,1
212,"The local bakery spent several weeks measuring the layout of the public library, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,47,276,1,5
213,The new intern planted an experimental cooking recipe at a small conference in Melbourne throughout the semester.,English,Long,17,113,2,1
214,The research team designed the quarterly sales figures at the university campus since last spring.,English,Medium,15,98,1,1
215,Their coach celebrated the upcoming film festival in the downtown office every Saturday afternoon.,English,Medium,14,98,2,1
216,The night-shift nurse compared an experimental cooking recipe near the old train station.,English,Medium,13,89,1,2
217,The city council organized the quarterly sales figures along the riverbank every Saturday afternoon.,English,Medium,14,100,2,1
218,"The delivery driver spent several weeks translating several ancient manuscripts, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,44,276,1,5
219,The research team designed the upcoming film festival over the weekend.,English,Medium,11,71,1,1
220,A young entrepreneur planted the layout of the public library near the old train station after months of planning.,English,Long,19,114,1,1
221,A retired teacher negotiated a collection of vintage postcards at the university campus since last spring.,English,Long,16,106,1,1
222,"The marketing department, who had supported the school's science fair for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,37,229,1,4
223,The night-shift nurse documented a series of jazz recordings in the downtown office just before sunset.,English,Long,16,103,1,2
224,A curious student photographed a newly discovered fossil earlier this morning.,English,Medium,11,78,1,1
225,A freelance writer compared the quarterly sales figures throughout the semester.,English,Medium,11,80,1,1
226,The delivery driver measured the town's water supply system in the downtown office during the summer break.,English,Long,17,107,1,2
227,"According to a recent report published by Redstone Consulting, the number of people who measure the town's water supply system has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,237,3,4
228,"The community garden volunteers spent several weeks translating a series of jazz recordings, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,47,288,1,5
229,The night-shift nurse celebrated several ancient manuscripts inside the community center over the weekend.,English,Medium,14,106,1,2
230,The community garden volunteers designed the town's water supply system.,English,Medium,10,72,1,2
231,The orchestra conductor planted an antique wooden clock in the downtown office earlier this morning.,English,Medium,15,100,1,1
232,The chess club compared the quarterly sales figures near the old train station after months of planning.,English,Long,17,104,1,1
233,The orchestra conductor photographed the quarterly sales figures in the downtown office after months of planning.,English,Long,16,113,1,1
234,Our neighbor calculated a set of handwritten letters inside the community center throughout the semester.,English,Medium,15,105,1,1
235,Their coach negotiated the results of the survey at the university campus just before sunset.,English,Medium,15,93,1,1
236,My younger sister compared the upcoming film festival along the riverbank.,English,Medium,11,74,1,1
237,"That was, without question, the best meal I've had this year.",English,Medium,11,61,2,4
238,The chess club organized the volunteer schedule at a small conference in Melbourne earlier this morning.,English,Long,16,104,2,1
239,A wildlife photographer questioned the quarterly sales figures at a small conference in Melbourne within a few hours.,English,Long,18,117,2,1
240,The local bakery repaired the community recycling program on a rainy Tuesday.,English,Medium,12,77,2,1
241,My best friend sketched the school's science fair during the summer break.,English,Medium,12,74,1,2
242,Her grandfather measured a collection of vintage postcards at a small conference in Melbourne throughout the semester.,English,Long,17,118,2,1
243,A curious student rehearsed an unusual weather pattern along the riverbank.,English,Medium,11,75,1,1
244,A retired teacher repaired a new hiking trail inside the community center after months of planning.,English,Long,16,99,1,1
245,The chess club explored an antique wooden clock within a few hours.,English,Medium,12,67,1,1
246,"My best friend, who had supported the results of the survey for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,219,1,3
247,My younger sister explored the school's science fair inside the community center since last spring.,English,Medium,15,99,1,2
248,The marketing department sketched the quarterly sales figures along the riverbank over the weekend.,English,Medium,14,99,1,1
249,"Although the weather in Santiago can be unpredictable during October, The delivery driver decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,250,4,3
250,The night-shift nurse calculated the results of the survey.,English,Medium,9,59,1,2
251,The chess club calculated several ancient manuscripts at a small conference in Melbourne earlier this morning.,English,Long,16,110,2,1
252,The local bakery planted the volunteer schedule during the summer break.,English,Medium,11,72,1,1
253,The city council explored a new hiking trail within a few hours.,English,Medium,12,64,1,1
254,The chess club compared an unusual weather pattern along the riverbank over the weekend.,English,Medium,14,88,1,1
255,"According to a recent report published by Golden Gate Retailers, the number of people who measure a set of handwritten letters has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,237,4,3
256,"According to a recent report published by Coastal Insurance Co., the number of people who discuss the town's water supply system has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,239,4,5
257,The community garden volunteers photographed the neighborhood's street art near the old train station after months of planning.,English,Long,18,127,1,2
258,The new intern calculated the upcoming film festival.,English,Short,8,53,1,1
259,My best friend recorded a collection of vintage postcards on a rainy Tuesday.,English,Medium,13,77,2,1
260,The research team repaired the layout of the public library at the university campus over the weekend.,English,Long,17,102,1,1
261,"Although the weather in Bangkok can be unpredictable during April, The city council decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,244,4,3
262,The night-shift nurse rehearsed the quarterly sales figures inside the community center.,English,Medium,12,88,1,2
263,A freelance writer organized the neighborhood's street art inside the community center during the summer break.,English,Long,16,111,1,2
264,A young entrepreneur questioned the quarterly sales figures inside the community center throughout the semester.,English,Medium,15,112,1,1
265,The local bakery organized the quarterly sales figures inside the community center.,English,Medium,12,83,1,1
266,My best friend calculated the results of the survey during the summer break.,English,Medium,13,76,1,1
267,The research team sketched the upcoming film festival inside the community center during the summer break.,English,Long,16,106,1,1
268,"The chess club, who had studied the town's water supply system for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,222,1,4
