id,text,unigrams,bigrams,trigrams,category
11,"According to local reports, researchers studied the effects of sleep on long term memory. Reactions were mixed among observers.","according, local, reports, researchers, studied, effects, sleep, long, term, memory, reactions, mixed, among, observers","according to, to local, local reports, reports researchers, researchers studied, studied the, the effects, effects of, of sleep, sleep on, on long, long term, term memory, memory reactions, reactions were, were mixed, mixed among, among observers","according to local, to local reports, local reports researchers, reports researchers studied, researchers studied the, studied the effects, the effects of, effects of sleep, of sleep on, sleep on long, on long term, long term memory, term memory reactions, memory reactions were, reactions were mixed, were mixed among, mixed among observers",Health
12,"In a statement, the airline added a new direct route connecting the two capital cities. Many found this development notable.","statement, airline, added, new, direct, route, connecting, two, capital, cities, many, found, development, notable","in a, a statement, statement the, the airline, airline added, added a, a new, new direct, direct route, route connecting, connecting the, the two, two capital, capital cities, cities many, many found, found this, this development, development notable","in a statement, a statement the, statement the airline, the airline added, airline added a, added a new, a new direct, new direct route, direct route connecting, route connecting the, connecting the two, the two capital, two capital cities, capital cities many, cities many found, many found this, found this development, this development notable",Travel
13,"According to local reports, the laboratory published results from a decade long climate study. The news spread quickly online.","according, local, reports, laboratory, published, results, decade, long, climate, study, news, spread, quickly, online","according to, to local, local reports, reports the, the laboratory, laboratory published, published results, results from, from a, a decade, decade long, long climate, climate study, study the, the news, news spread, spread quickly, quickly online","according to local, to local reports, local reports the, reports the laboratory, the laboratory published, laboratory published results, published results from, results from a, from a decade, a decade long, decade long climate, long climate study, climate study the, study the news, the news spread, news spread quickly, spread quickly online",Science
14,The vaccination campaign reached thousands of families this month. Experts continue to monitor the situation.,"vaccination, campaign, reached, thousands, families, month, experts, continue, monitor, situation","the vaccination, vaccination campaign, campaign reached, reached thousands, thousands of, of families, families this, this month, month experts, experts continue, continue to, to monitor, monitor the, the situation","the vaccination campaign, vaccination campaign reached, campaign reached thousands, reached thousands of, thousands of families, of families this, families this month, this month experts, month experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Health
15,"Based on recent updates, fans lined up early to get autographs from the visiting cast. The news spread quickly online.","based, recent, updates, fans, lined, up, early, get, autographs, visiting, cast, news, spread, quickly, online","based on, on recent, recent updates, updates fans, fans lined, lined up, up early, early to, to get, get autographs, autographs from, from the, the visiting, visiting cast, cast the, the news, news spread, spread quickly, quickly online","based on recent, on recent updates, recent updates fans, updates fans lined, fans lined up, lined up early, up early to, early to get, to get autographs, get autographs from, autographs from the, from the visiting, the visiting cast, visiting cast the, cast the news, the news spread, news spread quickly, spread quickly online",Entertainment
16,"Interestingly, the research team tested a vaccine candidate in early clinical trials. Further details are expected soon.","interestingly, research, team, tested, vaccine, candidate, early, clinical, trials, further, details, expected, soon","interestingly the, the research, research team, team tested, tested a, a vaccine, vaccine candidate, candidate in, in early, early clinical, clinical trials, trials further, further details, details are, are expected, expected soon","interestingly the research, the research team, research team tested, team tested a, tested a vaccine, a vaccine candidate, vaccine candidate in, candidate in early, in early clinical, early clinical trials, clinical trials further, trials further details, further details are, details are expected, are expected soon",Science
17,"In a statement, small business owners praised the new tax relief program. Officials had no further comment.","statement, small, business, owners, praised, new, tax, relief, program, officials, had, no, further, comment","in a, a statement, statement small, small business, business owners, owners praised, praised the, the new, new tax, tax relief, relief program, program officials, officials had, had no, no further, further comment","in a statement, a statement small, statement small business, small business owners, business owners praised, owners praised the, praised the new, the new tax, new tax relief, tax relief program, relief program officials, program officials had, officials had no, had no further, no further comment",Business
18,"Notably, doctors recommend regular exercise to maintain a healthy heart. Officials had no further comment.","notably, doctors, recommend, regular, exercise, maintain, healthy, heart, officials, had, no, further, comment","notably doctors, doctors recommend, recommend regular, regular exercise, exercise to, to maintain, maintain a, a healthy, healthy heart, heart officials, officials had, had no, no further, further comment","notably doctors recommend, doctors recommend regular, recommend regular exercise, regular exercise to, exercise to maintain, to maintain a, maintain a healthy, a healthy heart, healthy heart officials, heart officials had, officials had no, had no further, no further comment",Health
19,"Notably, investors reacted positively to the firm's expansion into new markets.","notably, investors, reacted, positively, firms, expansion, into, new, markets","notably investors, investors reacted, reacted positively, positively to, to the, the firms, firms expansion, expansion into, into new, new markets","notably investors reacted, investors reacted positively, reacted positively to, positively to the, to the firms, the firms expansion, firms expansion into, expansion into new, into new markets",Business
20,Officials confirmed that the library extended its hours during final exam week for students. This was confirmed by multiple sources.,"officials, confirmed, library, extended, its, hours, during, final, exam, week, students, confirmed, multiple, sources","officials confirmed, confirmed that, that the, the library, library extended, extended its, its hours, hours during, during final, final exam, exam week, week for, for students, students this, this was, was confirmed, confirmed by, by multiple, multiple sources","officials confirmed that, confirmed that the, that the library, the library extended, library extended its, extended its hours, its hours during, hours during final, during final exam, final exam week, exam week for, week for students, for students this, students this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Education
21,The tourism board launched a campaign to promote off season visits. Further details are expected soon.,"tourism, board, launched, campaign, promote, off, season, visits, further, details, expected, soon","the tourism, tourism board, board launched, launched a, a campaign, campaign to, to promote, promote off, off season, season visits, visits further, further details, details are, are expected, expected soon","the tourism board, tourism board launched, board launched a, launched a campaign, a campaign to, campaign to promote, to promote off, promote off season, off season visits, season visits further, visits further details, further details are, details are expected, are expected soon",Travel
22,"According to local reports, the chemistry department received a grant to study renewable fuels. This was confirmed by multiple sources.","according, local, reports, chemistry, department, received, grant, study, renewable, fuels, confirmed, multiple, sources","according to, to local, local reports, reports the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels, fuels this, this was, was confirmed, confirmed by, by multiple, multiple sources","according to local, to local reports, local reports the, reports the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels, renewable fuels this, fuels this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Science
23,"Overall, fans lined up early to get autographs from the visiting cast.","overall, fans, lined, up, early, get, autographs, visiting, cast","overall fans, fans lined, lined up, up early, early to, to get, get autographs, autographs from, from the, the visiting, visiting cast","overall fans lined, fans lined up, lined up early, up early to, early to get, to get autographs, get autographs from, autographs from the, from the visiting, the visiting cast",Entertainment
24,"Notably, researchers studied the effects of sleep on long term memory. Officials had no further comment.","notably, researchers, studied, effects, sleep, long, term, memory, officials, had, no, further, comment","notably researchers, researchers studied, studied the, the effects, effects of, of sleep, sleep on, on long, long term, term memory, memory officials, officials had, had no, no further, further comment","notably researchers studied, researchers studied the, studied the effects, the effects of, effects of sleep, of sleep on, sleep on long, on long term, long term memory, term memory officials, memory officials had, officials had no, had no further, no further comment",Health
25,"Based on recent updates, the chemistry department received a grant to study renewable fuels. The news spread quickly online.","based, recent, updates, chemistry, department, received, grant, study, renewable, fuels, news, spread, quickly, online","based on, on recent, recent updates, updates the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels, fuels the, the news, news spread, spread quickly, quickly online","based on recent, on recent updates, recent updates the, updates the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels, renewable fuels the, fuels the news, the news spread, news spread quickly, spread quickly online",Science
26,Backpackers shared tips for exploring the region on a tight budget. Many found this development notable.,"backpackers, shared, tips, exploring, region, tight, budget, many, found, development, notable","backpackers shared, shared tips, tips for, for exploring, exploring the, the region, region on, on a, a tight, tight budget, budget many, many found, found this, this development, development notable","backpackers shared tips, shared tips for, tips for exploring, for exploring the, exploring the region, the region on, region on a, on a tight, a tight budget, tight budget many, budget many found, many found this, found this development, this development notable",Travel
27,"Overall, the young athlete broke the regional record in the two hundred meter sprint. This was confirmed by multiple sources.","overall, young, athlete, broke, regional, record, two, hundred, meter, sprint, confirmed, multiple, sources","overall the, the young, young athlete, athlete broke, broke the, the regional, regional record, record in, in the, the two, two hundred, hundred meter, meter sprint, sprint this, this was, was confirmed, confirmed by, by multiple, multiple sources","overall the young, the young athlete, young athlete broke, athlete broke the, broke the regional, the regional record, regional record in, record in the, in the two, the two hundred, two hundred meter, hundred meter sprint, meter sprint this, sprint this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Sports
28,"In a statement, the clinic introduced telehealth appointments for rural patients. This was confirmed by multiple sources.","statement, clinic, introduced, telehealth, appointments, rural, patients, confirmed, multiple, sources","in a, a statement, statement the, the clinic, clinic introduced, introduced telehealth, telehealth appointments, appointments for, for rural, rural patients, patients this, this was, was confirmed, confirmed by, by multiple, multiple sources","in a statement, a statement the, statement the clinic, the clinic introduced, clinic introduced telehealth, introduced telehealth appointments, telehealth appointments for, appointments for rural, for rural patients, rural patients this, patients this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Health
29,"According to local reports, doctors recommend regular exercise to maintain a healthy heart. Reactions were mixed among observers.","according, local, reports, doctors, recommend, regular, exercise, maintain, healthy, heart, reactions, mixed, among, observers","according to, to local, local reports, reports doctors, doctors recommend, recommend regular, regular exercise, exercise to, to maintain, maintain a, a healthy, healthy heart, heart reactions, reactions were, were mixed, mixed among, among observers","according to local, to local reports, local reports doctors, reports doctors recommend, doctors recommend regular, recommend regular exercise, regular exercise to, exercise to maintain, to maintain a, maintain a healthy, a healthy heart, healthy heart reactions, heart reactions were, reactions were mixed, were mixed among, mixed among observers",Health
30,"Interestingly, the university introduced a new scholarship for first generation students. Many found this development notable.","interestingly, university, introduced, new, scholarship, first, generation, students, many, found, development, notable","interestingly the, the university, university introduced, introduced a, a new, new scholarship, scholarship for, for first, first generation, generation students, students many, many found, found this, this development, development notable","interestingly the university, the university introduced, university introduced a, introduced a new, a new scholarship, new scholarship for, scholarship for first, for first generation, first generation students, generation students many, students many found, many found this, found this development, this development notable",Education
31,"Interestingly, a new material was developed that conducts electricity more efficiently. Officials had no further comment.","interestingly, new, material, developed, conducts, electricity, more, efficiently, officials, had, no, further, comment","interestingly a, a new, new material, material was, was developed, developed that, that conducts, conducts electricity, electricity more, more efficiently, efficiently officials, officials had, had no, no further, further comment","interestingly a new, a new material, new material was, material was developed, was developed that, developed that conducts, that conducts electricity, conducts electricity more, electricity more efficiently, more efficiently officials, efficiently officials had, officials had no, had no further, no further comment",Science
32,"Interestingly, the city unveiled a new walking trail along the historic waterfront. Reactions were mixed among observers.","interestingly, city, unveiled, new, walking, trail, along, historic, waterfront, reactions, mixed, among, observers","interestingly the, the city, city unveiled, unveiled a, a new, new walking, walking trail, trail along, along the, the historic, historic waterfront, waterfront reactions, reactions were, were mixed, mixed among, among observers","interestingly the city, the city unveiled, city unveiled a, unveiled a new, a new walking, new walking trail, walking trail along, trail along the, along the historic, the historic waterfront, historic waterfront reactions, waterfront reactions were, reactions were mixed, were mixed among, mixed among observers",Travel
33,"According to local reports, the home team scored twice in the final minutes to win the match. This was confirmed by multiple sources.","according, local, reports, home, team, scored, twice, final, minutes, win, match, confirmed, multiple, sources","according to, to local, local reports, reports the, the home, home team, team scored, scored twice, twice in, in the, the final, final minutes, minutes to, to win, win the, the match, match this, this was, was confirmed, confirmed by, by multiple, multiple sources","according to local, to local reports, local reports the, reports the home, the home team, home team scored, team scored twice, scored twice in, twice in the, in the final, the final minutes, final minutes to, minutes to win, to win the, win the match, the match this, match this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Sports
34,"In a statement, teachers adapted their lesson plans to include more hands on activities. Many found this development notable.","statement, teachers, adapted, their, lesson, plans, include, more, hands, activities, many, found, development, notable","in a, a statement, statement teachers, teachers adapted, adapted their, their lesson, lesson plans, plans to, to include, include more, more hands, hands on, on activities, activities many, many found, found this, this development, development notable","in a statement, a statement teachers, statement teachers adapted, teachers adapted their, adapted their lesson, their lesson plans, lesson plans to, plans to include, to include more, include more hands, more hands on, hands on activities, on activities many, activities many found, many found this, found this development, this development notable",Education
35,"According to local reports, the chemistry department received a grant to study renewable fuels. Further details are expected soon.","according, local, reports, chemistry, department, received, grant, study, renewable, fuels, further, details, expected, soon","according to, to local, local reports, reports the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels, fuels further, further details, details are, are expected, expected soon","according to local, to local reports, local reports the, reports the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels, renewable fuels further, fuels further details, further details are, details are expected, are expected soon",Science
36,"Overall, volunteers helped organize the youth soccer league over the weekend. Further details are expected soon.","overall, volunteers, helped, organize, youth, soccer, league, over, weekend, further, details, expected, soon","overall volunteers, volunteers helped, helped organize, organize the, the youth, youth soccer, soccer league, league over, over the, the weekend, weekend further, further details, details are, are expected, expected soon","overall volunteers helped, volunteers helped organize, helped organize the, organize the youth, the youth soccer, youth soccer league, soccer league over, league over the, over the weekend, the weekend further, weekend further details, further details are, details are expected, are expected soon",Sports
37,Sources say the city unveiled a new walking trail along the historic waterfront. Reactions were mixed among observers.,"sources, say, city, unveiled, new, walking, trail, along, historic, waterfront, reactions, mixed, among, observers","sources say, say the, the city, city unveiled, unveiled a, a new, new walking, walking trail, trail along, along the, the historic, historic waterfront, waterfront reactions, reactions were, were mixed, mixed among, among observers","sources say the, say the city, the city unveiled, city unveiled a, unveiled a new, a new walking, new walking trail, walking trail along, trail along the, along the historic, the historic waterfront, historic waterfront reactions, waterfront reactions were, reactions were mixed, were mixed among, mixed among observers",Travel
38,"Notably, the startup secured additional funding to scale its operations abroad. Further details are expected soon.","notably, startup, secured, additional, funding, scale, its, operations, abroad, further, details, expected, soon","notably the, the startup, startup secured, secured additional, additional funding, funding to, to scale, scale its, its operations, operations abroad, abroad further, further details, details are, are expected, expected soon","notably the startup, the startup secured, startup secured additional, secured additional funding, additional funding to, funding to scale, to scale its, scale its operations, its operations abroad, operations abroad further, abroad further details, further details are, details are expected, are expected soon",Business
39,"Based on recent updates, geologists studied fault lines to better predict earthquake risks. Experts continue to monitor the situation.","based, recent, updates, geologists, studied, fault, lines, better, predict, earthquake, risks, experts, continue, monitor, situation","based on, on recent, recent updates, updates geologists, geologists studied, studied fault, fault lines, lines to, to better, better predict, predict earthquake, earthquake risks, risks experts, experts continue, continue to, to monitor, monitor the, the situation","based on recent, on recent updates, recent updates geologists, updates geologists studied, geologists studied fault, studied fault lines, fault lines to, lines to better, to better predict, better predict earthquake, predict earthquake risks, earthquake risks experts, risks experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Science
40,Sources say the young athlete broke the regional record in the two hundred meter sprint. Experts continue to monitor the situation.,"sources, say, young, athlete, broke, regional, record, two, hundred, meter, sprint, experts, continue, monitor, situation","sources say, say the, the young, young athlete, athlete broke, broke the, the regional, regional record, record in, in the, the two, two hundred, hundred meter, meter sprint, sprint experts, experts continue, continue to, to monitor, monitor the, the situation","sources say the, say the young, the young athlete, young athlete broke, athlete broke the, broke the regional, the regional record, regional record in, record in the, in the two, the two hundred, two hundred meter, hundred meter sprint, meter sprint experts, sprint experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Sports
41,"Notably, the comedian's new special received praise for its sharp writing. This was confirmed by multiple sources.","notably, comedians, new, special, received, praise, its, sharp, writing, confirmed, multiple, sources","notably the, the comedians, comedians new, new special, special received, received praise, praise for, for its, its sharp, sharp writing, writing this, this was, was confirmed, confirmed by, by multiple, multiple sources","notably the comedians, the comedians new, comedians new special, new special received, special received praise, received praise for, praise for its, for its sharp, its sharp writing, sharp writing this, writing this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Entertainment
42,"In a statement, machine learning models require significant computing power to train effectively. Experts continue to monitor the situation.","statement, machine, learning, models, require, significant, computing, power, train, effectively, experts, continue, monitor, situation","in a, a statement, statement machine, machine learning, learning models, models require, require significant, significant computing, computing power, power to, to train, train effectively, effectively experts, experts continue, continue to, to monitor, monitor the, the situation","in a statement, a statement machine, statement machine learning, machine learning models, learning models require, models require significant, require significant computing, significant computing power, computing power to, power to train, to train effectively, train effectively experts, effectively experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Technology
43,"As expected, the startup released an app that tracks daily energy consumption at home.","expected, startup, released, app, tracks, daily, energy, consumption, home","as expected, expected the, the startup, startup released, released an, an app, app that, that tracks, tracks daily, daily energy, energy consumption, consumption at, at home","as expected the, expected the startup, the startup released, startup released an, released an app, an app that, app that tracks, that tracks daily, tracks daily energy, daily energy consumption, energy consumption at, consumption at home",Technology
44,The guided tour included stops at several centuries old landmarks. The news spread quickly online.,"guided, tour, included, stops, several, centuries, old, landmarks, news, spread, quickly, online","the guided, guided tour, tour included, included stops, stops at, at several, several centuries, centuries old, old landmarks, landmarks the, the news, news spread, spread quickly, quickly online","the guided tour, guided tour included, tour included stops, included stops at, stops at several, at several centuries, several centuries old, centuries old landmarks, old landmarks the, landmarks the news, the news spread, news spread quickly, spread quickly online",Travel
45,"Overall, physical therapists helped the patient regain mobility after surgery.","overall, physical, therapists, helped, patient, regain, mobility, after, surgery","overall physical, physical therapists, therapists helped, helped the, the patient, patient regain, regain mobility, mobility after, after surgery","overall physical therapists, physical therapists helped, therapists helped the, helped the patient, the patient regain, patient regain mobility, regain mobility after, mobility after surgery",Health
46,"Notably, coaches emphasized endurance training ahead of the upcoming tournament.","notably, coaches, emphasized, endurance, training, ahead, upcoming, tournament","notably coaches, coaches emphasized, emphasized endurance, endurance training, training ahead, ahead of, of the, the upcoming, upcoming tournament","notably coaches emphasized, coaches emphasized endurance, emphasized endurance training, endurance training ahead, training ahead of, ahead of the, of the upcoming, the upcoming tournament",Sports
47,The library extended its hours during final exam week for students. The news spread quickly online.,"library, extended, its, hours, during, final, exam, week, students, news, spread, quickly, online","the library, library extended, extended its, its hours, hours during, during final, final exam, exam week, week for, for students, students the, the news, news spread, spread quickly, quickly online","the library extended, library extended its, extended its hours, its hours during, hours during final, during final exam, final exam week, exam week for, week for students, for students the, students the news, the news spread, news spread quickly, spread quickly online",Education
48,"Interestingly, injuries forced the team to adjust its lineup before the semifinal. Experts continue to monitor the situation.","interestingly, injuries, forced, team, adjust, its, lineup, before, semifinal, experts, continue, monitor, situation","interestingly injuries, injuries forced, forced the, the team, team to, to adjust, adjust its, its lineup, lineup before, before the, the semifinal, semifinal experts, experts continue, continue to, to monitor, monitor the, the situation","interestingly injuries forced, injuries forced the, forced the team, the team to, team to adjust, to adjust its, adjust its lineup, its lineup before, lineup before the, before the semifinal, the semifinal experts, semifinal experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Sports
49,"According to local reports, the startup released an app that tracks daily energy consumption at home. Further details are expected soon.","according, local, reports, startup, released, app, tracks, daily, energy, consumption, home, further, details, expected, soon","according to, to local, local reports, reports the, the startup, startup released, released an, an app, app that, that tracks, tracks daily, daily energy, energy consumption, consumption at, at home, home further, further details, details are, are expected, expected soon","according to local, to local reports, local reports the, reports the startup, the startup released, startup released an, released an app, an app that, app that tracks, that tracks daily, tracks daily energy, daily energy consumption, energy consumption at, consumption at home, at home further, home further details, further details are, details are expected, are expected soon",Technology
50,Sources say geologists studied fault lines to better predict earthquake risks. The news spread quickly online.,"sources, say, geologists, studied, fault, lines, better, predict, earthquake, risks, news, spread, quickly, online","sources say, say geologists, geologists studied, studied fault, fault lines, lines to, to better, better predict, predict earthquake, earthquake risks, risks the, the news, news spread, spread quickly, quickly online","sources say geologists, say geologists studied, geologists studied fault, studied fault lines, fault lines to, lines to better, to better predict, better predict earthquake, predict earthquake risks, earthquake risks the, risks the news, the news spread, news spread quickly, spread quickly online",Science
51,Artificial intelligence systems can process large volumes of data quickly. Further details are expected soon.,"artificial, intelligence, systems, can, process, large, volumes, data, quickly, further, details, expected, soon","artificial intelligence, intelligence systems, systems can, can process, process large, large volumes, volumes of, of data, data quickly, quickly further, further details, details are, are expected, expected soon","artificial intelligence systems, intelligence systems can, systems can process, can process large, process large volumes, large volumes of, volumes of data, of data quickly, data quickly further, quickly further details, further details are, details are expected, are expected soon",Technology
52,Sources say the new smartphone features a faster processor and improved battery life. The news spread quickly online.,"sources, say, new, smartphone, features, faster, processor, improved, battery, life, news, spread, quickly, online","sources say, say the, the new, new smartphone, smartphone features, features a, a faster, faster processor, processor and, and improved, improved battery, battery life, life the, the news, news spread, spread quickly, quickly online","sources say the, say the new, the new smartphone, new smartphone features, smartphone features a, features a faster, a faster processor, faster processor and, processor and improved, and improved battery, improved battery life, battery life the, life the news, the news spread, news spread quickly, spread quickly online",Technology
53,Sources say the merger created one of the largest logistics providers in the region. Reactions were mixed among observers.,"sources, say, merger, created, one, largest, logistics, providers, region, reactions, mixed, among, observers","sources say, say the, the merger, merger created, created one, one of, of the, the largest, largest logistics, logistics providers, providers in, in the, the region, region reactions, reactions were, were mixed, mixed among, among observers","sources say the, say the merger, the merger created, merger created one, created one of, one of the, of the largest, the largest logistics, largest logistics providers, logistics providers in, providers in the, in the region, the region reactions, region reactions were, reactions were mixed, were mixed among, mixed among observers",Business
54,"Based on recent updates, cloud computing allows companies to store data without physical servers. Many found this development notable.","based, recent, updates, cloud, computing, allows, companies, store, data, without, physical, servers, many, found, development, notable","based on, on recent, recent updates, updates cloud, cloud computing, computing allows, allows companies, companies to, to store, store data, data without, without physical, physical servers, servers many, many found, found this, this development, development notable","based on recent, on recent updates, recent updates cloud, updates cloud computing, cloud computing allows, computing allows companies, allows companies to, companies to store, to store data, store data without, data without physical, without physical servers, physical servers many, servers many found, many found this, found this development, this development notable",Technology
55,"Based on recent updates, airports reported longer wait times during the holiday travel season. This was confirmed by multiple sources.","based, recent, updates, airports, reported, longer, wait, times, during, holiday, travel, season, confirmed, multiple, sources","based on, on recent, recent updates, updates airports, airports reported, reported longer, longer wait, wait times, times during, during the, the holiday, holiday travel, travel season, season this, this was, was confirmed, confirmed by, by multiple, multiple sources","based on recent, on recent updates, recent updates airports, updates airports reported, airports reported longer, reported longer wait, longer wait times, wait times during, times during the, during the holiday, the holiday travel, holiday travel season, travel season this, season this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Travel
56,"Notably, the airline added a new direct route connecting the two capital cities. Experts continue to monitor the situation.","notably, airline, added, new, direct, route, connecting, two, capital, cities, experts, continue, monitor, situation","notably the, the airline, airline added, added a, a new, new direct, direct route, route connecting, connecting the, the two, two capital, capital cities, cities experts, experts continue, continue to, to monitor, monitor the, the situation","notably the airline, the airline added, airline added a, added a new, a new direct, new direct route, direct route connecting, route connecting the, connecting the two, the two capital, two capital cities, capital cities experts, cities experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Travel
57,"In a statement, the comedian's new special received praise for its sharp writing. Further details are expected soon.","statement, comedians, new, special, received, praise, its, sharp, writing, further, details, expected, soon","in a, a statement, statement the, the comedians, comedians new, new special, special received, received praise, praise for, for its, its sharp, sharp writing, writing further, further details, details are, are expected, expected soon","in a statement, a statement the, statement the comedians, the comedians new, comedians new special, new special received, special received praise, received praise for, praise for its, for its sharp, its sharp writing, sharp writing further, writing further details, further details are, details are expected, are expected soon",Entertainment
58,"Notably, the chemistry department received a grant to study renewable fuels. Experts continue to monitor the situation.","notably, chemistry, department, received, grant, study, renewable, fuels, experts, continue, monitor, situation","notably the, the chemistry, chemistry department, department received, received a, a grant, grant to, to study, study renewable, renewable fuels, fuels experts, experts continue, continue to, to monitor, monitor the, the situation","notably the chemistry, the chemistry department, chemistry department received, department received a, received a grant, a grant to, grant to study, to study renewable, study renewable fuels, renewable fuels experts, fuels experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Science
