id,text,task,input_type,expected_output,difficulty
142,Sample input: The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
143,Note the following: The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Intermediate
144,Input sample: The streaming series became a global sensation within weeks.,Text Classification,Single Sentence,Entertainment,Advanced
145,Here is a case to review: Oakwood Publishing House announced a new office opening in Toronto.,Named Entity Recognition,Single Sentence,"ORG: Oakwood Publishing House, GPE: Toronto",Advanced
146,Reference text: Ibrahim Wright was appointed as the new director at NextGen Software Labs.,Named Entity Recognition,Single Sentence,"PERSON: Ibrahim Wright, ORG: NextGen Software Labs",Beginner
147,Please review: Investors reacted positively to the firm's expansion into new markets.,Text Classification,Single Sentence,Business,Intermediate
148,Example: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Advanced
149,Please review: The pilot announced a delay because of the [MASK].,Masked Language Modeling,Masked Sentence,weather,Beginner
150,"For instance, Draft a short thank-you message for event volunteers.",Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Intermediate
151,Input sample: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
152,Input sample: The city unveiled a new walking trail along the historic waterfront.,Text Classification,Single Sentence,Travel,Beginner
153,Input sample: Maria Costa joined NextGen Software Labs in Manila last year.,Named Entity Recognition,Single Sentence,"PERSON: Maria Costa, ORG: NextGen Software Labs, GPE: Manila",Intermediate
154,Here is a case to review: Continue the story: The old bookstore had one rule that no customer ever questioned...,Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Beginner
155,"Overall, the restaurant was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
156,See below: Peter Baker joined Evergreen Energy Co. in Toronto last year.,Named Entity Recognition,Single Sentence,"PERSON: Peter Baker, ORG: Evergreen Energy Co., GPE: Toronto",Intermediate
157,Note the following: Chen Suzuki was appointed as the new director at Union Manufacturing Corp..,Named Entity Recognition,Single Sentence,"PERSON: Chen Suzuki, ORG: Union Manufacturing Corp.",Beginner
158,Sample input: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Intermediate
159,"Input sample: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
160,Here is a case to review: Draft a short announcement about a community cleanup event.,Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Advanced
161,"Case in point: Overall, the online course was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
162,"Task input: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Advanced
163,Note the following: Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Advanced
164,Consider the following: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Intermediate
165,Here is a case to review: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Advanced
166,Reference text: Sara Smith was appointed as the new director at Skyline Real Estate.,Named Entity Recognition,Single Sentence,"PERSON: Sara Smith, ORG: Skyline Real Estate",Intermediate
167,"Review this input: Overall, the software update was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
168,Here is a case to review: Crescent Media Group announced a new office opening in Cape Town.,Named Entity Recognition,Single Sentence,"ORG: Crescent Media Group, GPE: Cape Town",Advanced
169,Please review: Chen Suzuki joined BrightFuture Foundation in Osaka last year.,Named Entity Recognition,Single Sentence,"PERSON: Chen Suzuki, ORG: BrightFuture Foundation, GPE: Osaka",Beginner
170,Consider the following: The chef prepared a delicious meal.|The weather was sunny all week.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
171,Example: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Intermediate
172,Please review: Maria Novak was appointed as the new director at Aurora Data Systems.,Named Entity Recognition,Single Sentence,"PERSON: Maria Novak, ORG: Aurora Data Systems",Beginner
173,"For instance, Overall, the fitness tracker was frustrating based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
174,"Example: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Beginner
175,Consider the following: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Intermediate
176,Review this input: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Advanced
177,Consider the following: Olivia Brown was appointed as the new director at Delta Cloud Services.,Named Entity Recognition,Single Sentence,"PERSON: Olivia Brown, ORG: Delta Cloud Services",Intermediate
178,"Case in point: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Beginner
179,Note the following: The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
180,Review this input: Write a short introduction for a blog post about sustainable travel.,Text Generation,Prompt,Sustainable travel focuses on exploring the world while minimizing environmental impact.,Beginner
181,Input sample: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Intermediate
182,"As an example, Ravi Silva joined Zenith Pharmaceuticals in Manila last year.",Named Entity Recognition,Single Sentence,"PERSON: Ravi Silva, ORG: Zenith Pharmaceuticals, GPE: Manila",Beginner
183,"Note the following: The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Intermediate
184,Consider the following: Ironwood Steel Works announced a new office opening in Vancouver.,Named Entity Recognition,Single Sentence,"ORG: Ironwood Steel Works, GPE: Vancouver",Beginner
185,Task input: Vertex Analytics announced a new office opening in Denver.,Named Entity Recognition,Single Sentence,"ORG: Vertex Analytics, GPE: Denver",Intermediate
186,See below: Ahmed Kim was appointed as the new director at Falcon Logistics.,Named Entity Recognition,Single Sentence,"PERSON: Ahmed Kim, ORG: Falcon Logistics",Advanced
187,"As an example, The photographer waited for the perfect [MASK] to take the shot.",Masked Language Modeling,Masked Sentence,light,Beginner
188,"As an example, The team celebrated their championship victory.|The team lost the championship final.",Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
189,Please review: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Advanced
190,Consider the following: Leila Novak joined Riverside Bank in Marrakesh last year.,Named Entity Recognition,Single Sentence,"PERSON: Leila Novak, ORG: Riverside Bank, GPE: Marrakesh",Advanced
191,The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
192,"Please review: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Advanced
193,Case in point: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Advanced
194,Case in point: The concert featured a surprise duet that thrilled the crowd.,Text Classification,Single Sentence,Entertainment,Beginner
195,See below: The company reported strong quarterly earnings.|Quarterly earnings for the company were strong.,Text Similarity,Sentence Pair,High similarity (paraphrase),Advanced
196,Reference text: The city approved funding for a new park.|Funding for a new park was approved by the city.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
197,Case in point: The company launched a new [MASK] to attract younger customers.,Masked Language Modeling,Masked Sentence,campaign,Intermediate
198,Please review: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Advanced
199,Here is a case to review: A new study found that students who participated in peer tutoring programs showed measurable improvement in both grades and confidence over a single semester.,Text Summarization,Paragraph,Study links peer tutoring to improved grades and confidence.,Beginner
200,See below: Grace Smith was appointed as the new director at Summit Robotics Inc..,Named Entity Recognition,Single Sentence,"PERSON: Grace Smith, ORG: Summit Robotics Inc.",Intermediate
201,See below: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
202,"Review this input: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Advanced
203,"Case in point: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Advanced
