id,text,language,language_code
222,"Yesterday, She is reading a book in the park. Everyone agrees.",English,en
223,"Come al solito, Il museo apre alle nove del mattino.",Italian,it
224,"हमेशा की तरह, वह एक छोटी बेकरी में काम करती है। यह सच है।",Hindi,hi
225,بظاہر، میرا خاندان اس گرمی میں ہم سے ملنے آ رہا ہے۔,Urdu,ur
226,"Überraschenderweise, Das Wetter ist heute wunderschön. Alle sind sich einig.",German,de
227,"Wie immer, Er lernt für seine Abschlussprüfungen. Das ist sicher.",German,de
228,"Once again, He is studying for his final exams. It's true.",English,en
229,"जाहिर तौर पर, बस हर पंद्रह मिनट में आती है। यह निश्चित है।",Hindi,hi
230,"हैरानी की बात है, वे पहाड़ों की यात्रा की योजना बना रहे हैं। यह सच है।",Hindi,hi
231,"By the way, My family is visiting this summer. That's for sure.",English,en
232,"Una vez más, Me gustaría una taza de café, por favor.",Spanish,es
233,بشكل مفاجئ، شاهدنا فيلمًا الليلة الماضية. هذا صحيح.,Arabic,ar
234,آج صبح، میرا خاندان اس گرمی میں ہم سے ملنے آ رہا ہے۔ یہ یقینی ہے۔,Urdu,ur
235,"A proposito, Puoi aiutarmi a trovare la stazione dei treni?",Italian,it
236,دراصل، کنسرٹ آٹھ بجے شروع ہوتا ہے۔ یہ سچ ہے۔,Urdu,ur
237,ایک بار پھر، بچے باغ میں کھیل رہے ہیں۔ یہ یقینی ہے۔,Urdu,ur
238,"Como siempre, Necesito comprar pan y leche. Todos están de acuerdo.",Spanish,es
239,"वास्तव में, संग्रहालय सुबह नौ बजे खुलता है। यह निश्चित है।",Hindi,hi
240,"Apparentemente, Mi piace imparare nuove lingue. Questo è certo.",Italian,it
241,"Infatti, Il negozio chiude presto la domenica. Questo è certo.",Italian,it
242,"कल, आज मौसम बहुत सुंदर है।",Hindi,hi
243,"Onestamente, Il giardino è pieno di fiori colorati. Tutti sono d'accordo.",Italian,it
244,"In fact, I would like a cup of coffee, please.",English,en
245,في الواقع، عائلتي ستزورنا هذا الصيف. الجميع يوافق.,Arabic,ar
246,"Como sempre, Minha família vai nos visitar neste verão.",Portuguese,pt
247,"Como siempre, El concierto comienza a las ocho. Es verdad.",Spanish,es
248,آج صبح، میوزیم صبح نو بجے کھلتا ہے۔,Urdu,ur
249,"As usual, I would like a cup of coffee, please. That's for sure.",English,en
250,"Wie immer, Dieses Restaurant serviert köstliches Essen. Das ist sicher.",German,de
251,"Heute Morgen, Dieses Restaurant serviert köstliches Essen. Alle sind sich einig.",German,de
252,"वास्तव में, यह रेस्तरां स्वादिष्ट भोजन परोसता है। यह सच है।",Hindi,hi
253,"Por cierto, Este restaurante sirve comida deliciosa. Todos están de acuerdo.",Spanish,es
254,"Gestern, Das Museum öffnet um neun Uhr morgens. Das ist sicher.",German,de
255,"A propósito, Ele joga futebol todo fim de semana. Todos concordam.",Portuguese,pt
256,"Wieder einmal, Sie liest ein Buch im Park. Es ist wahr.",German,de
257,"हैरानी की बात है, बस हर पंद्रह मिनट में आती है। यह सच है।",Hindi,hi
258,"Ieri, Lui sta studiando per gli esami finali. Questo è certo.",Italian,it
259,"Honestly, The museum opens at nine in the morning. It's true.",English,en
260,"As usual, He plays football every weekend.",English,en
261,"A propósito, Este restaurante serve comida deliciosa.",Portuguese,pt
262,"Esta manhã, O jardim está cheio de flores coloridas. Todos concordam.",Portuguese,pt
263,"Sorprendentemente, Los niños están jugando en el jardín. Todos están de acuerdo.",Spanish,es
264,As crianças estão brincando no jardim.,Portuguese,pt
265,"वास्तव में, संग्रहालय सुबह नौ बजे खुलता है। सभी सहमत हैं।",Hindi,hi
266,بچے باغ میں کھیل رہے ہیں۔ سب اس بات پر متفق ہیں۔,Urdu,ur
267,"वास्तव में, बच्चे बगीचे में खेल रहे हैं। सभी सहमत हैं।",Hindi,hi
268,"Honnêtement, Je voudrais une tasse de café, s'il vous plaît. C'est vrai.",French,fr
269,"De hecho, El autobús llega cada quince minutos.",Spanish,es
270,बगीचा रंग-बिरंगे फूलों से भरा है। यह निश्चित है।,Hindi,hi
271,"Ayer, El museo abre a las nueve de la mañana. Es verdad.",Spanish,es
272,"This morning, The store closes early on Sundays. That's for sure.",English,en
273,ہمیشہ کی طرح، میوزیم صبح نو بجے کھلتا ہے۔ یہ یقینی ہے۔,Urdu,ur
274,"एक बार फिर, हमने कल रात एक फिल्म देखी।",Hindi,hi
275,"Ieri, Mi piace imparare nuove lingue.",Italian,it
276,"In fact, I enjoy learning new languages. It's true.",English,en
277,بظاہر، وہ ہر ہفتے کے آخر میں فٹبال کھیلتا ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
278,"Aparentemente, Ela trabalha em uma pequena padaria. Todos concordam.",Portuguese,pt
279,"Mais uma vez, Minha família vai nos visitar neste verão. Isso é certo.",Portuguese,pt
280,कृपया मुझे एक कप कॉफी दीजिए। यह सच है।,Hindi,hi
281,"Encore une fois, Le jardin est plein de fleurs colorées. Tout le monde est d'accord.",French,fr
282,"वैसे, मुझे नई भाषाएँ सीखना पसंद है।",Hindi,hi
283,"This morning, My family is visiting this summer.",English,en
284,"Au fait, J'aime apprendre de nouvelles langues. C'est vrai.",French,fr
285,Abbiamo visto un film ieri sera. Tutti sono d'accordo.,Italian,it
286,"This morning, She is reading a book in the park.",English,en
287,"Sorprendentemente, Me gusta aprender nuevos idiomas. Eso es seguro.",Spanish,es
288,"Como sempre, Minha família vai nos visitar neste verão. Todos concordam.",Portuguese,pt
289,بشكل مفاجئ، يخططون لرحلة إلى الجبال. الجميع يوافق.,Arabic,ar
290,كالعادة، هي تقرأ كتابًا في الحديقة. هذا صحيح.,Arabic,ar
291,"Übrigens, Wir gehen morgen auf den Markt. Alle sind sich einig.",German,de
292,کل، کنسرٹ آٹھ بجے شروع ہوتا ہے۔ یہ یقینی ہے۔,Urdu,ur
293,"Ehrlich gesagt, Das Konzert beginnt um acht Uhr. Es ist wahr.",German,de
294,"A propósito, Ele joga futebol todo fim de semana. É verdade.",Portuguese,pt
295,بالأمس، الحديقة مليئة بالزهور الملونة. الجميع يوافق.,Arabic,ar
296,"Ancora una volta, Il museo apre alle nove del mattino.",Italian,it
297,كالعادة، سنذهب إلى السوق غدًا. هذا صحيح.,Arabic,ar
298,"Sorprendentemente, La tienda cierra temprano los domingos. Eso es seguro.",Spanish,es
299,"A proposito, Il concerto inizia alle otto.",Italian,it
300,"A propósito, Eu preciso comprar pão e leite. Isso é certo.",Portuguese,pt
301,"हमेशा की तरह, वे पहाड़ों की यात्रा की योजना बना रहे हैं।",Hindi,hi
302,کل، مجھے روٹی اور دودھ خریدنے کی ضرورت ہے۔ یہ یقینی ہے۔,Urdu,ur
303,"Wie immer, Er lernt für seine Abschlussprüfungen.",German,de
304,بظاہر، میوزیم صبح نو بجے کھلتا ہے۔ یہ سچ ہے۔,Urdu,ur
305,"In fact, He is studying for his final exams. Everyone agrees.",English,en
306,دراصل، میرا خاندان اس گرمی میں ہم سے ملنے آ رہا ہے۔,Urdu,ur
307,ویسے، مجھے نئی زبانیں سیکھنا پسند ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
308,"De hecho, El museo abre a las nueve de la mañana.",Spanish,es
309,"A propósito, As crianças estão brincando no jardim. É verdade.",Portuguese,pt
310,"Encore une fois, Il étudie pour ses examens finaux.",French,fr
311,"Questa mattina, Questo ristorante serve cibo delizioso. Tutti sono d'accordo.",Italian,it
312,"Questa mattina, La mia famiglia ci fa visita questa estate. Tutti sono d'accordo.",Italian,it
313,My family is visiting this summer.,English,en
314,"Como siempre, Vimos una película anoche. Es verdad.",Spanish,es
315,ایک بار پھر، آج موسم بہت خوبصورت ہے۔ یہ یقینی ہے۔,Urdu,ur
316,في الواقع، الأطفال يلعبون في الحديقة. هذا مؤكد.,Arabic,ar
317,"जाहिर तौर पर, दुकान रविवार को जल्दी बंद हो जाती है। सभी सहमत हैं।",Hindi,hi
318,بالمناسبة، الحديقة مليئة بالزهور الملونة. هذا مؤكد.,Arabic,ar
319,"As usual, They are planning a trip to the mountains. Everyone agrees.",English,en
320,"Infatti, Il concerto inizia alle otto. Questo è certo.",Italian,it
321,"In fact, My family is visiting this summer. Everyone agrees.",English,en
322,"जाहिर तौर पर, बस हर पंद्रह मिनट में आती है। यह सच है।",Hindi,hi
323,باغ رنگ برنگے پھولوں سے بھرا ہے۔ یہ سچ ہے۔,Urdu,ur
324,يغلق المتجر مبكرًا أيام الأحد. الجميع يوافق.,Arabic,ar
325,"Honnêtement, Il étudie pour ses examens finaux. C'est vrai.",French,fr
326,"Ehrlich gesagt, Wir gehen morgen auf den Markt. Alle sind sich einig.",German,de
327,"Por cierto, El museo abre a las nueve de la mañana.",Spanish,es
328,"Au fait, Elle travaille dans une petite boulangerie. Tout le monde est d'accord.",French,fr
329,میرا خاندان اس گرمی میں ہم سے ملنے آ رہا ہے۔ یہ سچ ہے۔,Urdu,ur
330,دراصل، بچے باغ میں کھیل رہے ہیں۔ یہ سچ ہے۔,Urdu,ur
331,"Übrigens, Er spielt jedes Wochenende Fußball. Alle sind sich einig.",German,de
332,"Come al solito, L'autobus arriva ogni quindici minuti. Tutti sono d'accordo.",Italian,it
333,"Apparemment, Le magasin ferme tôt le dimanche. Tout le monde est d'accord.",French,fr
334,على ما يبدو، شاهدنا فيلمًا الليلة الماضية.,Arabic,ar
335,حیرت کی بات ہے، آج موسم بہت خوبصورت ہے۔ یہ سچ ہے۔,Urdu,ur
336,"Comme d'habitude, Le musée ouvre à neuf heures du matin.",French,fr
337,مرة أخرى، هو يلعب كرة القدم كل نهاية أسبوع. هذا صحيح.,Arabic,ar
338,Il tempo è bellissimo oggi. È vero.,Italian,it
339,"Wie immer, Ich muss Brot und Milch kaufen. Alle sind sich einig.",German,de
340,"Heute Morgen, Ich muss Brot und Milch kaufen.",German,de
341,ہمیشہ کی طرح، وہ ایک چھوٹی بیکری میں کام کرتی ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
342,"Hier, Les enfants jouent dans le jardin. C'est vrai.",French,fr
343,Il giardino è pieno di fiori colorati.,Italian,it
