id,text,label,category,difficulty
54,"Hey, Your reservation at Coastal Insurance Co. has been confirmed for this weekend. Talk soon.",Ham,Notification,Intermediate
55,I finally fixed the leaky faucet in the kitchen this weekend. Let me know.,Ham,Normal Message,Intermediate
56,"Just a heads up, The client at Meridian Financial Group asked for an updated timeline, can you draft one? Let me know.",Ham,Work,Beginner
57,"Hey, Your recent payment to Cedar Grove Hospital was processed successfully. Let me know.",Ham,Notification,Advanced
58,ACT NOW: Introducing the TravelLite suitcase — order now and get free shipping this week! Don't wait!,Spam,Advertisement,Advanced
59,ALERT: Special member reward unlocked: a free the AeroFit smartwatch is waiting for you! Don't wait!,Spam,Promotion,Intermediate
60,ALERT: Everything must go! Get a NovaBook Pro laptop at clearance prices while supplies last!,Spam,Advertisement,Beginner
61,NOTICE: Immediate action needed: your online account will be permanently closed tomorrow! Offer won't last.,Spam,Scam,Intermediate
62,"FYI, Your reservation at Coastal Insurance Co. has been confirmed for this weekend. Talk soon.",Ham,Notification,Beginner
63,"Congratulations on the new job, you truly deserve it! Let me know.",Ham,Personal,Beginner
64,ALERT: Introducing a RoadMaster bicycle — order now and get free shipping this week! Respond today.,Spam,Advertisement,Intermediate
65,"NOTICE: Special deal: buy one a NightOwl reading lamp, get one free this weekend only! Don't wait!",Spam,Advertisement,Beginner
66,"LIMITED TIME: Best prices of the season on a TrailRunner backpack, shop the sale now! Don't wait!",Spam,Advertisement,Beginner
67,Your order from Blue Horizon Airlines has shipped and is expected to arrive in three days. Let me know.,Ham,Notification,Beginner
68,"FYI, Your reservation at BrightFuture Foundation has been confirmed for this weekend. Let me know.",Ham,Notification,Intermediate
69,"FYI, This is a reminder that your library books are due back this Friday. Thanks!",Ham,Notification,Beginner
70,"Hello, This is a reminder that your library books are due back this Friday.",Ham,Notification,Beginner
71,"Quick note: Thinking of you today, hope everything goes well with the move. Talk soon.",Ham,Personal,Beginner
72,"ALERT: Congratulations, you have been selected for a special cash reward, claim it today!",Spam,Scam,Beginner
73,IMPORTANT: Introducing a StreamCast speaker — order now and get free shipping this week! Respond today.,Spam,Advertisement,Intermediate
74,"Quick note: Congratulations on the new job, you truly deserve it!",Ham,Personal,Intermediate
75,"IMPORTANT: As a valued customer, enjoy an extra discount on a SnapShot camera this week! Respond today.",Spam,Promotion,Beginner
76,"Congratulations on the new job, you truly deserve it!",Ham,Personal,Intermediate
77,"Quick note: I updated the project board, take a look before our call with Delta Cloud Services. Thanks!",Ham,Work,Intermediate
78,Could you double-check the numbers in the spreadsheet before we send it to Silverline Motors? Take care.,Ham,Work,Beginner
79,"Hi, Can you loop in the design team before our next sync with Vertex Analytics? Let me know.",Ham,Work,Advanced
80,"Unlock a members-only discount on a TrailRunner backpack, available for a short time!",Spam,Promotion,Advanced
81,ALERT: You've been selected for an exclusive early access deal on a StreamCast speaker! Don't wait!,Spam,Promotion,Advanced
82,"Hey, I left the spare key under the mat, let yourself in whenever. Take care.",Ham,Normal Message,Advanced
83,"NOTICE: As a valued customer, enjoy an extra discount on a StreamCast speaker this week! Don't wait!",Spam,Promotion,Intermediate
84,LIMITED TIME: You have won a mystery prize! Click the link now to claim before it expires! Respond today.,Spam,Scam,Intermediate
85,"Hello, The weather looks nice this weekend, want to go for a walk? Talk soon.",Ham,Normal Message,Beginner
86,"IMPORTANT: Congratulations, you have been selected for a special cash reward, claim it today! Respond today.",Spam,Scam,Intermediate
87,"ATTENTION: Security alert: someone tried to log in from an unknown device, verify immediately! Don't wait!",Spam,Scam,Advanced
88,"Hello, Could you double-check the numbers in the spreadsheet before we send it to Harborview College?",Ham,Work,Intermediate
89,"Hello, Reminder: your subscription with NextGen Software Labs renews at the end of this month. Let me know.",Ham,Notification,Advanced
90,"IMPORTANT: We detected a problem with your recent payment, please confirm your information now! Respond today.",Spam,Scam,Beginner
91,"Hello, The deadline for the Lakeside Medical Center deliverables has been moved up by two days. Take care.",Ham,Work,Beginner
92,Can you send me the recipe you used for dinner last night? Talk soon.,Ham,Normal Message,Advanced
93,ATTENTION: Introducing the CloudDesk chair — order now and get free shipping this week! Respond today.,Spam,Advertisement,Beginner
94,"Thinking of you today, hope everything goes well with the move. Let me know.",Ham,Personal,Beginner
95,"Hey, I found a great recipe for the dinner party next Friday. Thanks!",Ham,Normal Message,Beginner
96,"FYI, So happy to hear the good news, we should celebrate soon! Thanks!",Ham,Personal,Beginner
97,NOTICE: Exclusive offer just for you: get a bonus a SunBeam solar charger with your next purchase!,Spam,Promotion,Beginner
98,ALERT: Refer a friend and receive a free the GreenLeaf water bottle as a thank-you gift!,Spam,Promotion,Beginner
99,"Hey, Hope the new house is treating you well, let's visit soon. Talk soon.",Ham,Personal,Advanced
100,ALERT: Limited spots available: sign up now for a free trial of the FreshAir purifier! Don't wait!,Spam,Promotion,Beginner
101,"ACT NOW: Unlock a members-only discount on a NovaBook Pro laptop, available for a short time! Respond today.",Spam,Promotion,Beginner
102,Quick note: Let me know if you need help moving this weekend. Thanks!,Ham,Normal Message,Intermediate
103,"Hi, Your account settings with Aurora Data Systems were updated successfully. Talk soon.",Ham,Notification,Intermediate
104,"New arrival: the AeroFit smartwatch now available at an unbeatable price, shop now!",Spam,Advertisement,Advanced
105,"Hi, The quarterly presentation for Harborview College is due by end of day Friday. Take care.",Ham,Work,Beginner
106,"Hi, Please review the attached report before our meeting with Lakeside Medical Center tomorrow. Talk soon.",Ham,Work,Intermediate
107,"FYI, The client at Crescent Media Group asked for an updated timeline, can you draft one? Thanks!",Ham,Work,Advanced
108,"ALERT: You're eligible for a special discount on a StreamCast speaker, act fast to redeem it! Respond today.",Spam,Promotion,Intermediate
109,Let me know if you need help moving this weekend. Thanks!,Ham,Normal Message,Advanced
110,"Thinking about you during this tough time, I'm here if you need me.",Ham,Personal,Advanced
111,"Hi, Hope the new house is treating you well, let's visit soon.",Ham,Personal,Beginner
112,"Hello, The traffic on the highway is pretty bad this morning, leave early. Talk soon.",Ham,Normal Message,Beginner
113,"Hi, Can you loop in the design team before our next sync with Crescent Media Group? Thanks!",Ham,Work,Beginner
114,"LIMITED TIME: As a valued customer, enjoy an extra discount on the FreshAir purifier this week! Offer won't last.",Spam,Promotion,Intermediate
115,Could you double-check the numbers in the spreadsheet before we send it to Ironwood Steel Works? Thanks!,Ham,Work,Advanced
116,"Just a heads up, Can't wait to see you at the reunion next month. Thanks!",Ham,Personal,Advanced
117,"Hey, Happy birthday! Hope you have an amazing day with family and friends. Thanks!",Ham,Personal,Beginner
118,"New arrival: the PixelView monitor now available at an unbeatable price, shop now! Limited spots remain.",Spam,Advertisement,Advanced
119,"Hey, Reminder: your subscription with Summit Robotics Inc. renews at the end of this month. Talk soon.",Ham,Notification,Beginner
120,ATTENTION: Everything must go! Get a NightOwl reading lamp at clearance prices while supplies last! Limited spots remain.,Spam,Advertisement,Intermediate
121,LIMITED TIME: Introducing a ProGrip tennis racket — order now and get free shipping this week! Don't wait!,Spam,Advertisement,Beginner
122,"ATTENTION: Congratulations, you have been selected for a special cash reward, claim it today! Offer won't last.",Spam,Scam,Beginner
123,"IMPORTANT: Best prices of the season on a TrailRunner backpack, shop the sale now! Respond today.",Spam,Advertisement,Beginner
124,Quick note: Your subscription to Quantum Innovations's newsletter has been updated successfully. Talk soon.,Ham,Notification,Advanced
125,The deadline for the Delta Cloud Services deliverables has been moved up by two days. Let me know.,Ham,Work,Intermediate
126,Can you water the plants while I'm out of town?,Ham,Normal Message,Beginner
127,"Hi, Could you double-check the numbers in the spreadsheet before we send it to NextGen Software Labs? Talk soon.",Ham,Work,Intermediate
128,ACT NOW: Huge sale on a TrailRunner backpack — save big before stock runs out!,Spam,Advertisement,Advanced
129,ATTENTION: Introducing the PixelView monitor — order now and get free shipping this week! Offer won't last.,Spam,Advertisement,Intermediate
130,"NOTICE: Best prices of the season on a TrailRunner backpack, shop the sale now! Limited spots remain.",Spam,Advertisement,Beginner
131,"Hi, The traffic on the highway is pretty bad this morning, leave early. Let me know.",Ham,Normal Message,Beginner
132,"Just a heads up, Please review the attached report before our meeting with Falcon Logistics tomorrow. Talk soon.",Ham,Work,Beginner
133,"ACT NOW: We detected a problem with your recent payment, please confirm your information now! Offer won't last.",Spam,Scam,Beginner
134,Limited spots available: sign up now for a free trial of a RoadMaster bicycle! Limited spots remain.,Spam,Promotion,Advanced
135,ATTENTION: You have an outstanding balance that must be settled today to avoid penalties! Offer won't last.,Spam,Scam,Beginner
136,LIMITED TIME: Action required: your membership will expire tonight unless you renew immediately!,Spam,Scam,Intermediate
137,"Just a heads up, Thanks for being such a great friend, it means a lot to me. Take care.",Ham,Personal,Beginner
138,ATTENTION: Congratulations! You've earned a free the PixelView monitor — claim your reward now!,Spam,Promotion,Intermediate
139,NOTICE: Introducing the SmartHome Hub — order now and get free shipping this week! Offer won't last.,Spam,Advertisement,Intermediate
140,Your appointment with Zenith Pharmaceuticals is confirmed for next Tuesday at 10 AM. Talk soon.,Ham,Notification,Beginner
141,IMPORTANT: Flash sale: a ProGrip tennis racket is now 40% off for the next 24 hours only!,Spam,Advertisement,Advanced
142,"Just a heads up, Let's plan a hiking trip for next month if the weather cooperates. Talk soon.",Ham,Normal Message,Intermediate
143,"Hello, Your subscription to Summit Robotics Inc.'s newsletter has been updated successfully. Take care.",Ham,Notification,Intermediate
144,LIMITED TIME: URGENT: Your account will be suspended unless you verify your details immediately! Don't wait!,Spam,Scam,Intermediate
145,"ATTENTION: As a valued customer, enjoy an extra discount on the ChefMate blender this week! Offer won't last.",Spam,Promotion,Intermediate
146,"LIMITED TIME: Don't miss our biggest sale of the year on the PixelView monitor, hurry before it ends! Limited spots remain.",Spam,Advertisement,Intermediate
147,"ALERT: Special deal: buy one the AeroFit smartwatch, get one free this weekend only! Limited spots remain.",Spam,Advertisement,Beginner
148,"LIMITED TIME: You're eligible for a special discount on the PixelView monitor, act fast to redeem it!",Spam,Promotion,Intermediate
149,"Quick note: So happy to hear the good news, we should celebrate soon!",Ham,Personal,Intermediate
150,IMPORTANT: Refer a friend and receive a free the SmartHome Hub as a thank-you gift! Offer won't last.,Spam,Promotion,Beginner
151,"FYI, Can you loop in the design team before our next sync with Aurora Data Systems? Talk soon.",Ham,Work,Beginner
152,"ACT NOW: Warning: your subscription payment failed, update your billing information right away! Limited spots remain.",Spam,Scam,Intermediate
153,"Hey, Hope your trip was amazing, can't wait to hear all about it. Talk soon.",Ham,Personal,Beginner
154,"Hey, This is a reminder that your appointment with Delta Cloud Services starts in one hour. Talk soon.",Ham,Notification,Beginner
155,"Hi, Thinking of you today, hope everything goes well with the move. Let me know.",Ham,Personal,Beginner
156,"ALERT: As a valued customer, enjoy an extra discount on a SunBeam solar charger this week! Don't wait!",Spam,Promotion,Advanced
157,"ACT NOW: New arrival: the AeroFit smartwatch now available at an unbeatable price, shop now! Don't wait!",Spam,Advertisement,Beginner
158,"Just a heads up, Can we reschedule our call with Brightline Technologies to later this afternoon? Take care.",Ham,Work,Intermediate
159,"Quick note: Let's plan a get-together soon, it's been way too long. Take care.",Ham,Personal,Beginner
160,Let me know if you need help moving this weekend. Take care.,Ham,Normal Message,Beginner
161,"ATTENTION: Your package could not be delivered, confirm your address immediately to avoid cancellation! Don't wait!",Spam,Scam,Intermediate
162,ATTENTION: URGENT: Your account will be suspended unless you verify your details immediately! Limited spots remain.,Spam,Scam,Intermediate
163,Quick note: Can you water the plants while I'm out of town? Let me know.,Ham,Normal Message,Beginner
164,LIMITED TIME: You have won a mystery prize! Click the link now to claim before it expires! Limited spots remain.,Spam,Scam,Intermediate
165,"ATTENTION: Don't miss our biggest sale of the year on a PureGlow skincare set, hurry before it ends! Don't wait!",Spam,Advertisement,Beginner
166,LIMITED TIME: Flash sale: a PureGlow skincare set is now 40% off for the next 24 hours only!,Spam,Advertisement,Advanced
167,"Just a heads up, Your reservation at Summit Robotics Inc. has been confirmed for this weekend. Talk soon.",Ham,Notification,Beginner
168,"ATTENTION: Best prices of the season on the AeroFit smartwatch, shop the sale now! Respond today.",Spam,Advertisement,Beginner
169,"Quick note: The new cafe downtown has really good pastries, we should try it. Thanks!",Ham,Normal Message,Advanced
170,"FYI, Hope your exams went well, let's celebrate this weekend. Let me know.",Ham,Personal,Advanced
171,"Hi, Your order from Brightline Technologies has shipped and is expected to arrive in three days.",Ham,Notification,Beginner
172,"IMPORTANT: Your delivery is on hold pending confirmation, update your details to release it! Respond today.",Spam,Scam,Beginner
173,"Hello, This is a reminder that your appointment with Union Manufacturing Corp. starts in one hour. Talk soon.",Ham,Notification,Advanced
174,"NOTICE: Buy a ProGrip tennis racket today and get 50% off your first order, limited time only! Limited spots remain.",Spam,Advertisement,Beginner
175,"Hello, Thanks again for helping me move those boxes yesterday. Let me know.",Ham,Normal Message,Intermediate
176,ALERT: Exclusive offer just for you: get a bonus a SnapShot camera with your next purchase! Offer won't last.,Spam,Promotion,Beginner
177,"Quick note: Wishing you a speedy recovery, let me know if you need anything. Talk soon.",Ham,Personal,Beginner
178,"LIMITED TIME: New arrival: the SmartHome Hub now available at an unbeatable price, shop now! Don't wait!",Spam,Advertisement,Advanced
179,ALERT: Limited spots available: sign up now for a free trial of the PixelView monitor!,Spam,Promotion,Advanced
180,"FYI, Hope your exams went well, let's celebrate this weekend. Thanks!",Ham,Personal,Advanced
181,"Hello, Your order from Falcon Logistics has shipped and is expected to arrive in three days. Thanks!",Ham,Notification,Intermediate
182,"IMPORTANT: Unlock a members-only discount on a PureGlow skincare set, available for a short time! Don't wait!",Spam,Promotion,Intermediate
183,"Just a heads up, Can you water the plants while I'm out of town? Talk soon.",Ham,Normal Message,Intermediate
184,"Just a heads up, Did you finish reading that book you mentioned last week?",Ham,Normal Message,Beginner
185,"ATTENTION: You qualify for a limited cash bonus, complete verification to receive your funds!",Spam,Scam,Beginner
186,ALERT: Limited spots available: sign up now for a free trial of the CloudDesk chair! Limited spots remain.,Spam,Promotion,Beginner
187,"I updated the project board, take a look before our call with Silverline Motors. Let me know.",Ham,Work,Intermediate
188,"Hello, Let's schedule a quick check-in about the Quantum Innovations account this week. Let me know.",Ham,Work,Beginner
189,"ATTENTION: As a valued customer, enjoy an extra discount on a ProGrip tennis racket this week! Respond today.",Spam,Promotion,Beginner
190,"Hello, Can we reschedule our call with Silverline Motors to later this afternoon? Thanks!",Ham,Work,Advanced
191,"Hello, Your account settings with Lakeside Medical Center were updated successfully. Talk soon.",Ham,Notification,Advanced
192,"Hello, Let's schedule a quick check-in about the Global Trade Partners account this week. Take care.",Ham,Work,Intermediate
193,"ALERT: Buy a SoundWave headset today and get 50% off your first order, limited time only!",Spam,Advertisement,Intermediate
194,"Unusual sign-in attempt detected, confirm it was you within the next hour! Offer won't last.",Spam,Scam,Intermediate
195,"ACT NOW: New arrival: the FlexFit yoga mat now available at an unbeatable price, shop now! Respond today.",Spam,Advertisement,Beginner
196,"Unusual sign-in attempt detected, confirm it was you within the next hour! Respond today.",Spam,Scam,Intermediate
197,"Let's plan a get-together soon, it's been way too long. Let me know.",Ham,Personal,Beginner
198,"LIMITED TIME: Final reminder: unclaimed reward expires today, click now before it's too late! Offer won't last.",Spam,Scam,Advanced
199,NOTICE: Exclusive offer just for you: get a bonus the CloudDesk chair with your next purchase! Offer won't last.,Spam,Promotion,Intermediate
200,"Quick note: Thanks for being such a great friend, it means a lot to me. Let me know.",Ham,Personal,Intermediate
201,"Hi, We should catch up soon, it's been a while since we talked. Thanks!",Ham,Normal Message,Intermediate
202,"Just a heads up, Your upcoming event with Cedar Grove Hospital has been rescheduled, check the new time.",Ham,Notification,Beginner
203,"ALERT: Upgrade today: the SmartHome Hub is on sale for a limited time, don't wait! Limited spots remain.",Spam,Advertisement,Beginner
204,"FYI, Your recent payment to Union Manufacturing Corp. was processed successfully.",Ham,Notification,Beginner
205,"Security alert: someone tried to log in from an unknown device, verify immediately! Offer won't last.",Spam,Scam,Intermediate
206,Please share your feedback on the draft before we send it to Cedar Grove Hospital. Thanks!,Ham,Work,Beginner
207,ACT NOW: Exclusive offer just for you: get a bonus a NightOwl reading lamp with your next purchase! Respond today.,Spam,Promotion,Beginner
208,Please review the attached report before our meeting with Brightline Technologies tomorrow. Thanks!,Ham,Work,Intermediate
209,Your recent payment to Silverline Motors was processed successfully. Let me know.,Ham,Notification,Beginner
210,"Your package could not be delivered, confirm your address immediately to avoid cancellation! Offer won't last.",Spam,Scam,Intermediate
211,Flash sale: a RoadMaster bicycle is now 40% off for the next 24 hours only! Limited spots remain.,Spam,Advertisement,Beginner
212,"Hey, Your account settings with Aurora Data Systems were updated successfully. Let me know.",Ham,Notification,Advanced
213,"Just a heads up, Can you pick up some groceries on your way home tonight?",Ham,Normal Message,Intermediate
214,"Hey, are we still meeting for lunch tomorrow around noon? Thanks!",Ham,Normal Message,Intermediate
215,"Hello, The quarterly presentation for Redstone Consulting is due by end of day Friday. Take care.",Ham,Work,Beginner
216,"Hi, The client at Meridian Financial Group asked for an updated timeline, can you draft one? Let me know.",Ham,Work,Beginner
217,"Hi, Let me know if you need help moving this weekend. Thanks!",Ham,Normal Message,Intermediate
218,"Hey, Thanks for sending over the notes from yesterday's meeting. Thanks!",Ham,Normal Message,Beginner
219,"FYI, Let's plan our schedules for next week during our call. Let me know.",Ham,Normal Message,Beginner
220,Everything must go! Get the TravelLite suitcase at clearance prices while supplies last! Limited spots remain.,Spam,Advertisement,Intermediate
221,I finally fixed the leaky faucet in the kitchen this weekend.,Ham,Normal Message,Advanced
222,ALERT: Flash sale: the QuickBrew coffee maker is now 40% off for the next 24 hours only! Limited spots remain.,Spam,Advertisement,Intermediate
223,"ALERT: Don't miss our biggest sale of the year on the ChefMate blender, hurry before it ends!",Spam,Advertisement,Intermediate
224,"Hello, Let's finalize the agenda for next week's meeting with Zenith Pharmaceuticals. Take care.",Ham,Work,Advanced
225,"Quick note: Thinking of you today, hope everything goes well with the move. Thanks!",Ham,Personal,Beginner
226,"IMPORTANT: Buy the ChefMate blender today and get 50% off your first order, limited time only!",Spam,Advertisement,Advanced
227,"LIMITED TIME: Your account access has been limited, verify your identity to restore full access! Respond today.",Spam,Scam,Beginner
228,"ALERT: As a valued customer, enjoy an extra discount on a SoundWave headset this week!",Spam,Promotion,Intermediate
229,Let me know if you need help moving this weekend.,Ham,Normal Message,Intermediate
230,"Hey, Can we reschedule our call with Redstone Consulting to later this afternoon? Take care.",Ham,Work,Beginner
231,"Just a heads up, So happy to hear the good news, we should celebrate soon! Take care.",Ham,Personal,Beginner
232,"ACT NOW: Your loyalty points can now be redeemed for a free a RoadMaster bicycle, claim today! Limited spots remain.",Spam,Promotion,Beginner
233,"FYI, I finally fixed the leaky faucet in the kitchen this weekend. Thanks!",Ham,Normal Message,Intermediate
234,Quick note: Your appointment with Falcon Logistics is confirmed for next Tuesday at 10 AM. Let me know.,Ham,Notification,Intermediate
235,ATTENTION: Flash sale: the QuickBrew coffee maker is now 40% off for the next 24 hours only!,Spam,Advertisement,Beginner
236,Do you want to grab coffee before the meeting starts? Thanks!,Ham,Normal Message,Beginner
237,"Quick note: I left the spare key under the mat, let yourself in whenever. Thanks!",Ham,Normal Message,Beginner
238,"LIMITED TIME: Best prices of the season on the SmartHome Hub, shop the sale now! Don't wait!",Spam,Advertisement,Intermediate
239,"Quick note: The client at Crescent Media Group asked for an updated timeline, can you draft one? Talk soon.",Ham,Work,Intermediate
240,The deadline for the Cedar Grove Hospital deliverables has been moved up by two days. Let me know.,Ham,Work,Intermediate
241,"Hey, Hope the new house is treating you well, let's visit soon. Let me know.",Ham,Personal,Intermediate
242,ATTENTION: Limited spots available: sign up now for a free trial of the FlexFit yoga mat! Don't wait!,Spam,Promotion,Advanced
243,"Quick note: So happy to hear the good news, we should celebrate soon! Thanks!",Ham,Personal,Advanced
244,"ATTENTION: Unlock a members-only discount on a RoadMaster bicycle, available for a short time! Respond today.",Spam,Promotion,Intermediate
245,"Hi, Let's schedule a quick check-in about the BrightFuture Foundation account this week. Thanks!",Ham,Work,Beginner
246,"ACT NOW: Special deal: buy one the QuickBrew coffee maker, get one free this weekend only! Limited spots remain.",Spam,Advertisement,Intermediate
247,"Hey, Can you loop in the design team before our next sync with Union Manufacturing Corp.? Thanks!",Ham,Work,Advanced
248,Please review the attached report before our meeting with BrightFuture Foundation tomorrow. Let me know.,Ham,Work,Intermediate
249,"IMPORTANT: Your loyalty points can now be redeemed for a free the QuickBrew coffee maker, claim today! Limited spots remain.",Spam,Promotion,Beginner
250,"ALERT: Best prices of the season on the FlexFit yoga mat, shop the sale now! Respond today.",Spam,Advertisement,Intermediate
251,"Quick note: So happy to hear the good news, we should celebrate soon! Take care.",Ham,Personal,Intermediate
252,"FYI, Hope your trip was amazing, can't wait to hear all about it. Talk soon.",Ham,Personal,Advanced
253,"Hello, I left the spare key under the mat, let yourself in whenever. Talk soon.",Ham,Normal Message,Beginner
254,"Just a heads up, The new cafe downtown has really good pastries, we should try it. Thanks!",Ham,Normal Message,Beginner
255,"Hey, The quarterly presentation for Skyline Real Estate is due by end of day Friday.",Ham,Work,Advanced
256,"Hello, Hope the new house is treating you well, let's visit soon. Let me know.",Ham,Personal,Advanced
257,"Hello, Just wanted to check in and see how you've been doing lately. Take care.",Ham,Personal,Intermediate
258,"Hello, Your upcoming event with Skyline Real Estate has been rescheduled, check the new time. Let me know.",Ham,Notification,Intermediate
259,IMPORTANT: Exclusive offer just for you: get a bonus a SnapShot camera with your next purchase! Respond today.,Spam,Promotion,Advanced
260,"ACT NOW: Special deal: buy one the TravelLite suitcase, get one free this weekend only! Limited spots remain.",Spam,Advertisement,Intermediate
261,Let's plan our schedules for next week during our call. Take care.,Ham,Normal Message,Beginner
262,"Just a heads up, This is a reminder that your appointment with Union Manufacturing Corp. starts in one hour. Let me know.",Ham,Notification,Intermediate
263,"ATTENTION: Your refund is pending approval, confirm your details now to receive the funds! Don't wait!",Spam,Scam,Beginner
264,"FYI, Please share your feedback on the draft before we send it to Pioneer Research Institute.",Ham,Work,Advanced
265,"Hey, Could you double-check the numbers in the spreadsheet before we send it to Crescent Media Group? Let me know.",Ham,Work,Beginner
266,NOTICE: Refer a friend and receive a free the TravelLite suitcase as a thank-you gift! Don't wait!,Spam,Promotion,Beginner
267,"Hey, Sending good vibes for your interview tomorrow, you've got this!",Ham,Personal,Beginner
