id,original_text,lowercase_text,clean_text,tokenized_text,stopwords_removed,stemmed_text,lemmatized_text
11,"You know, He studied history, mathematics, and biology at Maple Street School District last year.","you know, he studied history, mathematics, and biology at maple street school district last year.",you know he studied history mathematics and biology at maple street school district last year,"['you', 'know', 'he', 'studied', 'history', 'mathematics', 'and', 'biology', 'at', 'maple', 'street', 'school', 'district', 'last', 'year']","['know', 'studied', 'history', 'mathematics', 'biology', 'maple', 'street', 'school', 'district', 'last', 'year']",know study history mathematic biology maple street school district last year,know study history mathematic biology maple street school district last year
12,"Honestly, He isn't going to the airport because it's raining Riverside Bank again!!","honestly, he isn't going to the airport because it's raining riverside bank again!!",honestly he isn t going to the airport because it s raining riverside bank again,"['honestly', 'he', 'isn', 't', 'going', 'to', 'the', 'airport', 'because', 'it', 's', 'raining', 'riverside', 'bank', 'again']","['honestly', 'isn', 't', 'going', 'airport', 'because', 's', 'raining', 'riverside', 'bank']",honest isn t go airport because s rain riverside bank,honestly isn t go airport because s rain riverside bank
13,"Frankly, The scientists studied the wolves' behavior for over three months. Honestly, it wasn't easy.","frankly, the scientists studied the wolves' behavior for over three months. honestly, it wasn't easy.",frankly the scientists studied the wolves behavior for over three months honestly it wasn t easy,"['frankly', 'the', 'scientists', 'studied', 'the', 'wolves', 'behavior', 'for', 'over', 'three', 'months', 'honestly', 'it', 'wasn', 't', 'easy']","['frankly', 'scientists', 'studied', 'wolves', 'behavior', 'three', 'months', 'honestly', 'wasn', 't', 'easy']",frank scientist study wolf behavior three month honest wasn t easy,frankly scientist study wolf behavior three month honestly wasn t easy
14,"You know, The scientists studied the wolves' behavior for over three months. I still can't believe it.","you know, the scientists studied the wolves' behavior for over three months. i still can't believe it.",you know the scientists studied the wolves behavior for over three months i still can t believe it,"['you', 'know', 'the', 'scientists', 'studied', 'the', 'wolves', 'behavior', 'for', 'over', 'three', 'months', 'i', 'still', 'can', 't', 'believe', 'it']","['know', 'scientists', 'studied', 'wolves', 'behavior', 'three', 'months', 'still', 't', 'believe']",know scientist study wolf behavior three month still t believe,know scientist study wolf behavior three month still t believe
15,"By the way, I can't believe   Priya finished  the  draft report  in just 2 days. Everyone agreed it was worth it.","by the way, i can't believe   priya finished  the  draft report  in just 2 days. everyone agreed it was worth it.",by the way i can t believe priya finished the draft report in just days everyone agreed it was worth it,"['by', 'the', 'way', 'i', 'can', 't', 'believe', 'priya', 'finished', 'the', 'draft', 'report', 'in', 'just', 'days', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['way', 't', 'believe', 'priya', 'finished', 'draft', 'report', 'days', 'everyone', 'agreed', 'worth']",way t believe priya finish draft report day everyone agre worth,way t believe priya finish draft report day everyone agre worth
16,"By the way, The Lakeside Medical Center team WON'T release the numbers until Friday, they said. No one expected that outcome.","by the way, the lakeside medical center team won't release the numbers until friday, they said. no one expected that outcome.",by the way the lakeside medical center team won t release the numbers until friday they said no one expected that outcome,"['by', 'the', 'way', 'the', 'lakeside', 'medical', 'center', 'team', 'won', 't', 'release', 'the', 'numbers', 'until', 'friday', 'they', 'said', 'no', 'one', 'expected', 'that', 'outcome']","['way', 'lakeside', 'medical', 'center', 'team', 'won', 't', 'release', 'numbers', 'until', 'friday', 'said', 'one', 'expected', 'outcome']",way lakeside medical cent team won t release number until friday said one expect outcome,way lakeside medical center team won t release number until friday said one expect outcome
17,"By the way, She isn't going to the museum because it's raining Northfield University again!! I still can't believe it.","by the way, she isn't going to the museum because it's raining northfield university again!! i still can't believe it.",by the way she isn t going to the museum because it s raining northfield university again i still can t believe it,"['by', 'the', 'way', 'she', 'isn', 't', 'going', 'to', 'the', 'museum', 'because', 'it', 's', 'raining', 'northfield', 'university', 'again', 'i', 'still', 'can', 't', 'believe', 'it']","['way', 'isn', 't', 'going', 'museum', 'because', 's', 'raining', 'northfield', 'university', 'still', 't', 'believe']",way isn t go museum because s rain northfield university still t believe,way isn t go museum because s rain northfield university still t believe
18,"By the way, The children were playing happily in the park until it started raining. It's been quite a journey.","by the way, the children were playing happily in the park until it started raining. it's been quite a journey.",by the way the children were playing happily in the park until it started raining it s been quite a journey,"['by', 'the', 'way', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'it', 's', 'been', 'quite', 'a', 'journey']","['way', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 's', 'quite', 'journey']",way child play happi park until start rain s quite journey,way child play happily park until start rain s quite journey
19,"Honestly, The best runners in the marathon finished before the rain started. It happened faster than planned.","honestly, the best runners in the marathon finished before the rain started. it happened faster than planned.",honestly the best runners in the marathon finished before the rain started it happened faster than planned,"['honestly', 'the', 'best', 'runners', 'in', 'the', 'marathon', 'finished', 'before', 'the', 'rain', 'started', 'it', 'happened', 'faster', 'than', 'planned']","['honestly', 'best', 'runners', 'marathon', 'finished', 'rain', 'started', 'happened', 'faster', 'planned']",honest good runner marathon finish rain start happen fast plann,honestly good runner marathon finish rain start happen faster plann
20,"Honestly, We're studying   how children  learn languages  faster than adults. No one expected that outcome.","honestly, we're studying   how children  learn languages  faster than adults. no one expected that outcome.",honestly we re studying how children learn languages faster than adults no one expected that outcome,"['honestly', 'we', 're', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'than', 'adults', 'no', 'one', 'expected', 'that', 'outcome']","['honestly', 're', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'adults', 'one', 'expected', 'outcome']",honest re study how child learn languag fast adult one expect outcome,honestly re study how child learn languag faster adult one expect outcome
21,"Well, Don't forget to email Liam about the final meeting tomorrow!! No one expected that outcome.","well, don't forget to email liam about the final meeting tomorrow!! no one expected that outcome.",well don t forget to email liam about the final meeting tomorrow no one expected that outcome,"['well', 'don', 't', 'forget', 'to', 'email', 'liam', 'about', 'the', 'final', 'meeting', 'tomorrow', 'no', 'one', 'expected', 'that', 'outcome']","['well', 't', 'forget', 'email', 'liam', 'final', 'meeting', 'tomorrow', 'one', 'expected', 'outcome']",well t forget email liam final meet tomorrow one expect outcome,well t forget email liam final meet tomorrow one expect outcome
22,"Well, The dogs were RUNNING across the library while the cats watched quietly. No one expected that outcome.","well, the dogs were running across the library while the cats watched quietly. no one expected that outcome.",well the dogs were running across the library while the cats watched quietly no one expected that outcome,"['well', 'the', 'dogs', 'were', 'running', 'across', 'the', 'library', 'while', 'the', 'cats', 'watched', 'quietly', 'no', 'one', 'expected', 'that', 'outcome']","['well', 'dogs', 'running', 'across', 'library', 'cats', 'watched', 'quietly', 'one', 'expected', 'outcome']",well dog run acros library cat watch quiet one expect outcome,well dog run across library cat watch quietly one expect outcome
23,"Frankly, We're studying   how children  learn languages  faster than adults. That's just how it goes sometimes.","frankly, we're studying   how children  learn languages  faster than adults. that's just how it goes sometimes.",frankly we re studying how children learn languages faster than adults that s just how it goes sometimes,"['frankly', 'we', 're', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'than', 'adults', 'that', 's', 'just', 'how', 'it', 'goes', 'sometimes']","['frankly', 're', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'adults', 's', 'how', 'goes', 'sometimes']",frank re study how child learn languag fast adult s how go sometim,frankly re study how child learn languag faster adult s how go sometim
24,"Frankly, They aren't happy with the results, but they're willing to try again. Everyone agreed it was worth it.","frankly, they aren't happy with the results, but they're willing to try again. everyone agreed it was worth it.",frankly they aren t happy with the results but they re willing to try again everyone agreed it was worth it,"['frankly', 'they', 'aren', 't', 'happy', 'with', 'the', 'results', 'but', 'they', 're', 'willing', 'to', 'try', 'again', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['frankly', 'aren', 't', 'happy', 'results', 're', 'willing', 'try', 'everyone', 'agreed', 'worth']",frank aren t happy result re will try everyone agre worth,frankly aren t happy result re will try everyone agre worth
25,"Frankly, He studied history, mathematics, and biology at Silverline Motors last year. No one expected that outcome.","frankly, he studied history, mathematics, and biology at silverline motors last year. no one expected that outcome.",frankly he studied history mathematics and biology at silverline motors last year no one expected that outcome,"['frankly', 'he', 'studied', 'history', 'mathematics', 'and', 'biology', 'at', 'silverline', 'motors', 'last', 'year', 'no', 'one', 'expected', 'that', 'outcome']","['frankly', 'studied', 'history', 'mathematics', 'biology', 'silverline', 'motors', 'last', 'year', 'one', 'expected', 'outcome']",frank study history mathematic biology silverline motor last year one expect outcome,frankly study history mathematic biology silverline motor last year one expect outcome
26,The largest cities in the region reported the highest levels of traffic. It's been quite a journey.,the largest cities in the region reported the highest levels of traffic. it's been quite a journey.,the largest cities in the region reported the highest levels of traffic it s been quite a journey,"['the', 'largest', 'cities', 'in', 'the', 'region', 'reported', 'the', 'highest', 'levels', 'of', 'traffic', 'it', 's', 'been', 'quite', 'a', 'journey']","['largest', 'cities', 'region', 'reported', 'highest', 'levels', 'traffic', 's', 'quite', 'journey']",large city region report high level traffic s quite journey,large city region report highest level traffic s quite journey
27,"Frankly, We can't wait to visit garden again this summer, it was AMAZING!!! No one expected that outcome.","frankly, we can't wait to visit garden again this summer, it was amazing!!! no one expected that outcome.",frankly we can t wait to visit garden again this summer it was amazing no one expected that outcome,"['frankly', 'we', 'can', 't', 'wait', 'to', 'visit', 'garden', 'again', 'this', 'summer', 'it', 'was', 'amazing', 'no', 'one', 'expected', 'that', 'outcome']","['frankly', 't', 'wait', 'visit', 'garden', 'summer', 'amazing', 'one', 'expected', 'outcome']",frank t wait visit garden summ amaz one expect outcome,frankly t wait visit garden summer amaz one expect outcome
28,"Well, The Pioneer Research Institute team WON'T release the numbers until Friday, they said. Everyone agreed it was worth it.","well, the pioneer research institute team won't release the numbers until friday, they said. everyone agreed it was worth it.",well the pioneer research institute team won t release the numbers until friday they said everyone agreed it was worth it,"['well', 'the', 'pioneer', 'research', 'institute', 'team', 'won', 't', 'release', 'the', 'numbers', 'until', 'friday', 'they', 'said', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['well', 'pioneer', 'research', 'institute', 'team', 'won', 't', 'release', 'numbers', 'until', 'friday', 'said', 'everyone', 'agreed', 'worth']",well pione research institute team won t release number until friday said everyone agre worth,well pioneer research institute team won t release number until friday said everyone agre worth
29,"By the way, We can't wait to visit airport again this summer, it was AMAZING!!! No one expected that outcome.","by the way, we can't wait to visit airport again this summer, it was amazing!!! no one expected that outcome.",by the way we can t wait to visit airport again this summer it was amazing no one expected that outcome,"['by', 'the', 'way', 'we', 'can', 't', 'wait', 'to', 'visit', 'airport', 'again', 'this', 'summer', 'it', 'was', 'amazing', 'no', 'one', 'expected', 'that', 'outcome']","['way', 't', 'wait', 'visit', 'airport', 'summer', 'amazing', 'one', 'expected', 'outcome']",way t wait visit airport summ amaz one expect outcome,way t wait visit airport summer amaz one expect outcome
30,"Frankly, The Meridian Financial Group team WON'T release the numbers until Friday, they said. No one expected that outcome.","frankly, the meridian financial group team won't release the numbers until friday, they said. no one expected that outcome.",frankly the meridian financial group team won t release the numbers until friday they said no one expected that outcome,"['frankly', 'the', 'meridian', 'financial', 'group', 'team', 'won', 't', 'release', 'the', 'numbers', 'until', 'friday', 'they', 'said', 'no', 'one', 'expected', 'that', 'outcome']","['frankly', 'meridian', 'financial', 'group', 'team', 'won', 't', 'release', 'numbers', 'until', 'friday', 'said', 'one', 'expected', 'outcome']",frank meridian financial group team won t release number until friday said one expect outcome,frankly meridian financial group team won t release number until friday said one expect outcome
31,"You know, The largest cities in the region reported the highest levels of traffic. Honestly, it wasn't easy.","you know, the largest cities in the region reported the highest levels of traffic. honestly, it wasn't easy.",you know the largest cities in the region reported the highest levels of traffic honestly it wasn t easy,"['you', 'know', 'the', 'largest', 'cities', 'in', 'the', 'region', 'reported', 'the', 'highest', 'levels', 'of', 'traffic', 'honestly', 'it', 'wasn', 't', 'easy']","['know', 'largest', 'cities', 'region', 'reported', 'highest', 'levels', 'traffic', 'honestly', 'wasn', 't', 'easy']",know large city region report high level traffic honest wasn t easy,know large city region report highest level traffic honestly wasn t easy
32,"Well, I can't believe   Chloe finished  the  training report  in just 2 days.","well, i can't believe   chloe finished  the  training report  in just 2 days.",well i can t believe chloe finished the training report in just days,"['well', 'i', 'can', 't', 'believe', 'chloe', 'finished', 'the', 'training', 'report', 'in', 'just', 'days']","['well', 't', 'believe', 'chloe', 'finished', 'training', 'report', 'days']",well t believe chloe finish train report day,well t believe chloe finish train report day
33,"Honestly, The children were playing happily in the park until it started raining. It's been quite a journey.","honestly, the children were playing happily in the park until it started raining. it's been quite a journey.",honestly the children were playing happily in the park until it started raining it s been quite a journey,"['honestly', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'it', 's', 'been', 'quite', 'a', 'journey']","['honestly', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 's', 'quite', 'journey']",honest child play happi park until start rain s quite journey,honestly child play happily park until start rain s quite journey
34,"Honestly, They aren't happy with the results, but they're willing to try again.","honestly, they aren't happy with the results, but they're willing to try again.",honestly they aren t happy with the results but they re willing to try again,"['honestly', 'they', 'aren', 't', 'happy', 'with', 'the', 'results', 'but', 'they', 're', 'willing', 'to', 'try', 'again']","['honestly', 'aren', 't', 'happy', 'results', 're', 'willing', 'try']",honest aren t happy result re will try,honestly aren t happy result re will try
35,"By the way, Wow!!! The a SoundWave headset costs $199.99, and it's ON SALE right now... It happened faster than planned.","by the way, wow!!! the a soundwave headset costs $199.99, and it's on sale right now... it happened faster than planned.",by the way wow the a soundwave headset costs and it s on sale right now it happened faster than planned,"['by', 'the', 'way', 'wow', 'the', 'a', 'soundwave', 'headset', 'costs', 'and', 'it', 's', 'on', 'sale', 'right', 'now', 'it', 'happened', 'faster', 'than', 'planned']","['way', 'wow', 'soundwave', 'headset', 'costs', 's', 'sale', 'right', 'happened', 'faster', 'planned']",way wow soundwave headset cost s sale right happen fast plann,way wow soundwave headset cost s sale right happen faster plann
36,"Well, The children were playing happily in the park until it started raining. No one expected that outcome.","well, the children were playing happily in the park until it started raining. no one expected that outcome.",well the children were playing happily in the park until it started raining no one expected that outcome,"['well', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'no', 'one', 'expected', 'that', 'outcome']","['well', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 'one', 'expected', 'outcome']",well child play happi park until start rain one expect outcome,well child play happily park until start rain one expect outcome
37,"You know, The children were playing happily in the park until it started raining. Everyone agreed it was worth it.","you know, the children were playing happily in the park until it started raining. everyone agreed it was worth it.",you know the children were playing happily in the park until it started raining everyone agreed it was worth it,"['you', 'know', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['know', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 'everyone', 'agreed', 'worth']",know child play happi park until start rain everyone agre worth,know child play happily park until start rain everyone agre worth
38,"Well, Don't forget to email Liam about the marketing meeting tomorrow!!","well, don't forget to email liam about the marketing meeting tomorrow!!",well don t forget to email liam about the marketing meeting tomorrow,"['well', 'don', 't', 'forget', 'to', 'email', 'liam', 'about', 'the', 'marketing', 'meeting', 'tomorrow']","['well', 't', 'forget', 'email', 'liam', 'marketing', 'meeting', 'tomorrow']",well t forget email liam market meet tomorrow,well t forget email liam market meet tomorrow
39,"Honestly, The women's committee organized the fundraiser at the theater. No one expected that outcome.","honestly, the women's committee organized the fundraiser at the theater. no one expected that outcome.",honestly the women s committee organized the fundraiser at the theater no one expected that outcome,"['honestly', 'the', 'women', 's', 'committee', 'organized', 'the', 'fundraiser', 'at', 'the', 'theater', 'no', 'one', 'expected', 'that', 'outcome']","['honestly', 'women', 's', 'committee', 'organized', 'fundraiser', 'theater', 'one', 'expected', 'outcome']",honest woman s committee organiz fundrais theat one expect outcome,honestly woman s committee organiz fundraiser theater one expect outcome
40,Isn't it strange how the leaves change color so quickly in autumn? It's been quite a journey.,isn't it strange how the leaves change color so quickly in autumn? it's been quite a journey.,isn t it strange how the leaves change color so quickly in autumn it s been quite a journey,"['isn', 't', 'it', 'strange', 'how', 'the', 'leaves', 'change', 'color', 'so', 'quickly', 'in', 'autumn', 'it', 's', 'been', 'quite', 'a', 'journey']","['isn', 't', 'strange', 'how', 'leaves', 'change', 'color', 'quickly', 'autumn', 's', 'quite', 'journey']",isn t strange how leaf change color quick autumn s quite journey,isn t strange how leaf change color quickly autumn s quite journey
41,The company's  quarterly   report   shows   a  12%   increase  in sales. That's just how it goes sometimes.,the company's  quarterly   report   shows   a  12%   increase  in sales. that's just how it goes sometimes.,the company s quarterly report shows a increase in sales that s just how it goes sometimes,"['the', 'company', 's', 'quarterly', 'report', 'shows', 'a', 'increase', 'in', 'sales', 'that', 's', 'just', 'how', 'it', 'goes', 'sometimes']","['company', 's', 'quarterly', 'report', 'shows', 'increase', 'sales', 's', 'how', 'goes', 'sometimes']",company s quarter report show increase sal s how go sometim,company s quarterly report show increase sal s how go sometim
42,"Honestly, He studied history, mathematics, and biology at Golden Gate Retailers last year. Honestly, it wasn't easy.","honestly, he studied history, mathematics, and biology at golden gate retailers last year. honestly, it wasn't easy.",honestly he studied history mathematics and biology at golden gate retailers last year honestly it wasn t easy,"['honestly', 'he', 'studied', 'history', 'mathematics', 'and', 'biology', 'at', 'golden', 'gate', 'retailers', 'last', 'year', 'honestly', 'it', 'wasn', 't', 'easy']","['honestly', 'studied', 'history', 'mathematics', 'biology', 'golden', 'gate', 'retailers', 'last', 'year', 'honestly', 'wasn', 't', 'easy']",honest study history mathematic biology golden gate retailer last year honest wasn t easy,honestly study history mathematic biology golden gate retailer last year honestly wasn t easy
43,The women's committee organized the fundraiser at the library. We'll follow up next week.,the women's committee organized the fundraiser at the library. we'll follow up next week.,the women s committee organized the fundraiser at the library we ll follow up next week,"['the', 'women', 's', 'committee', 'organized', 'the', 'fundraiser', 'at', 'the', 'library', 'we', 'll', 'follow', 'up', 'next', 'week']","['women', 's', 'committee', 'organized', 'fundraiser', 'library', 'll', 'follow', 'next', 'week']",woman s committee organiz fundrais library ll follow next week,woman s committee organiz fundraiser library ll follow next week
44,"Honestly, I've already sent the invoice; please confirm once you've reviewed it. It happened faster than planned.","honestly, i've already sent the invoice; please confirm once you've reviewed it. it happened faster than planned.",honestly i ve already sent the invoice please confirm once you ve reviewed it it happened faster than planned,"['honestly', 'i', 've', 'already', 'sent', 'the', 'invoice', 'please', 'confirm', 'once', 'you', 've', 'reviewed', 'it', 'it', 'happened', 'faster', 'than', 'planned']","['honestly', 've', 'already', 'sent', 'invoice', 'please', 'confirm', 've', 'reviewed', 'happened', 'faster', 'planned']",honest ve already sent invoice please confirm ve review happen fast plann,honestly ve already sent invoice please confirm ve review happen faster plann
45,The best runners in the marathon finished before the rain started. It happened faster than planned.,the best runners in the marathon finished before the rain started. it happened faster than planned.,the best runners in the marathon finished before the rain started it happened faster than planned,"['the', 'best', 'runners', 'in', 'the', 'marathon', 'finished', 'before', 'the', 'rain', 'started', 'it', 'happened', 'faster', 'than', 'planned']","['best', 'runners', 'marathon', 'finished', 'rain', 'started', 'happened', 'faster', 'planned']",good runner marathon finish rain start happen fast plann,good runner marathon finish rain start happen faster plann
46,We're studying   how children  learn languages  faster than adults. I still can't believe it.,we're studying   how children  learn languages  faster than adults. i still can't believe it.,we re studying how children learn languages faster than adults i still can t believe it,"['we', 're', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'than', 'adults', 'i', 'still', 'can', 't', 'believe', 'it']","['re', 'studying', 'how', 'children', 'learn', 'languages', 'faster', 'adults', 'still', 't', 'believe']",re study how child learn languag fast adult still t believe,re study how child learn languag faster adult still t believe
47,The best runners in the marathon finished before the rain started.,the best runners in the marathon finished before the rain started.,the best runners in the marathon finished before the rain started,"['the', 'best', 'runners', 'in', 'the', 'marathon', 'finished', 'before', 'the', 'rain', 'started']","['best', 'runners', 'marathon', 'finished', 'rain', 'started']",good runner marathon finish rain start,good runner marathon finish rain start
48,"By the way, The women's committee organized the fundraiser at the harbor. I still can't believe it.","by the way, the women's committee organized the fundraiser at the harbor. i still can't believe it.",by the way the women s committee organized the fundraiser at the harbor i still can t believe it,"['by', 'the', 'way', 'the', 'women', 's', 'committee', 'organized', 'the', 'fundraiser', 'at', 'the', 'harbor', 'i', 'still', 'can', 't', 'believe', 'it']","['way', 'women', 's', 'committee', 'organized', 'fundraiser', 'harbor', 'still', 't', 'believe']",way woman s committee organiz fundrais harbor still t believe,way woman s committee organiz fundraiser harbor still t believe
49,"Well, The largest cities in the region reported the highest levels of traffic. Everyone agreed it was worth it.","well, the largest cities in the region reported the highest levels of traffic. everyone agreed it was worth it.",well the largest cities in the region reported the highest levels of traffic everyone agreed it was worth it,"['well', 'the', 'largest', 'cities', 'in', 'the', 'region', 'reported', 'the', 'highest', 'levels', 'of', 'traffic', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['well', 'largest', 'cities', 'region', 'reported', 'highest', 'levels', 'traffic', 'everyone', 'agreed', 'worth']",well large city region report high level traffic everyone agre worth,well large city region report highest level traffic everyone agre worth
50,"Frankly, The children were playing happily in the park until it started raining. That's just how it goes sometimes.","frankly, the children were playing happily in the park until it started raining. that's just how it goes sometimes.",frankly the children were playing happily in the park until it started raining that s just how it goes sometimes,"['frankly', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'that', 's', 'just', 'how', 'it', 'goes', 'sometimes']","['frankly', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 's', 'how', 'goes', 'sometimes']",frank child play happi park until start rain s how go sometim,frankly child play happily park until start rain s how go sometim
