id,text,sentiment,sentiment_score,emotion,category
78,"The city tour turned out to be wonderful, and I would recommend it to anyone.",Positive,0.93,Excited,Travel Review
79,"Sadly, this rental agency turned out to be mediocre, and I wouldn't try it again.",Negative,-0.68,Fear,Service Review
80,"Sadly, this documentary turned out to be disappointing, and I wouldn't try it again.",Negative,-0.78,Angry,Movie Review
81,I was really let down by the new update — it was underwhelming compared to what was promised.,Negative,-0.62,Sad,Social Media
82,"The smartwatch turned out to be superb, and I would recommend it to anyone.",Positive,0.9,Happy,Product Review
83,This video left a lot to be desired; overall it felt unreliable.,Negative,-0.99,Fear,Social Media
84,"The new update was acceptable; nothing special, but nothing terrible either.",Neutral,0.1,Neutral,Social Media
85,"This post was acceptable overall, similar to most alternatives out there.",Neutral,0.14,Neutral,Social Media
86,We were thrilled with the training program — it felt wonderful and well worth the money.,Positive,0.97,Excited,Education
87,This textbook was a disappointment; the whole experience felt terrible.,Negative,-0.97,Disappointed,Education
88,I was really let down by this video — it was overpriced compared to what was promised.,Negative,-0.69,Fear,Social Media
89,"The mountain lodge turned out to be delightful, and I would recommend it to anyone.",Positive,0.78,Happy,Travel Review
90,"Honestly, this film was exceptional from start to finish, no complaints at all.",Positive,0.85,Satisfied,Movie Review
91,The livestream met the basic expectations and was generally okay.,Neutral,0.02,Neutral,Social Media
92,I was really let down by the resort — it was overpriced compared to what was promised.,Negative,-0.56,Sad,Travel Review
93,"Sadly, the moving company turned out to be unreliable, and I wouldn't try it again.",Negative,-0.78,Sad,Service Review
94,The office chair was a disappointment; the whole experience felt awful.,Negative,-0.97,Angry,Product Review
95,"Sadly, the app redesign turned out to be unreliable, and I wouldn't try it again.",Negative,-0.82,Fear,Social Media
96,"This hotel turned out to be impressive, and I would recommend it to anyone.",Positive,0.98,Satisfied,Travel Review
97,"This video turned out to be amazing, and I would recommend it to anyone.",Positive,0.8,Excited,Social Media
98,I'd describe the smartwatch as adequate — it did the job without standing out.,Neutral,-0.09,Neutral,Product Review
99,"Unfortunately, this hotel was unreliable, and I regret spending money on it.",Negative,-0.57,Sad,Travel Review
100,The latest trend was a disappointment; the whole experience felt mediocre.,Negative,-0.86,Fear,Social Media
101,"The study guide turned out to be outstanding, and I would recommend it to anyone.",Positive,0.7,Happy,Education
102,The beach destination met the basic expectations and was generally adequate.,Neutral,0.05,Neutral,Travel Review
103,"I have to say, the new update exceeded my expectations; it was truly wonderful.",Positive,0.63,Satisfied,Social Media
104,"I have to say, this tour package exceeded my expectations; it was truly amazing.",Positive,0.76,Happy,Travel Review
105,"Unfortunately, the training program was frustrating, and I regret spending money on it.",Negative,-0.61,Disappointed,Education
106,"The customer support team turned out to be fantastic, and I would recommend it to anyone.",Positive,0.69,Excited,Service Review
107,"The pasta dish turned out to be excellent, and I would recommend it to anyone.",Positive,0.8,Happy,Food Review
108,"This repair service turned out to be excellent, and I would recommend it to anyone.",Positive,0.83,Excited,Service Review
109,I'd describe the wireless headphones as typical — it did the job without standing out.,Neutral,-0.0,Neutral,Product Review
110,"The sushi platter turned out to be delightful, and I would recommend it to anyone.",Positive,0.81,Satisfied,Food Review
111,It's hard to say much about this hostel; it was simply reasonable.,Neutral,0.08,Neutral,Travel Review
112,"The action film turned out to be outstanding, and I would recommend it to anyone.",Positive,0.62,Happy,Movie Review
113,We were thrilled with the study guide — it felt wonderful and well worth the money.,Positive,0.98,Happy,Education
114,"Sadly, this cleaning company turned out to be frustrating, and I wouldn't try it again.",Negative,-0.81,Disappointed,Service Review
115,"This water bottle turned out to be wonderful, and I would recommend it to anyone.",Positive,0.74,Satisfied,Product Review
116,"Unfortunately, the customer support team was terrible, and I regret spending money on it.",Negative,-0.93,Disappointed,Service Review
117,I was really let down by the romantic comedy — it was overpriced compared to what was promised.,Negative,-0.89,Sad,Movie Review
118,"Honestly, the office chair was fantastic from start to finish, no complaints at all.",Positive,0.96,Satisfied,Product Review
119,"Unfortunately, the city tour was underwhelming, and I regret spending money on it.",Negative,-0.77,Angry,Travel Review
120,This workshop impressed everyone in our group; simply excellent.,Positive,0.73,Satisfied,Education
121,The sushi platter left a lot to be desired; overall it felt disappointing.,Negative,-0.65,Disappointed,Food Review
122,"This cruise was ordinary overall, similar to most alternatives out there.",Neutral,-0.07,Neutral,Travel Review
123,"Honestly, this hostel was delightful from start to finish, no complaints at all.",Positive,0.66,Happy,Travel Review
124,"The animated movie turned out to be superb, and I would recommend it to anyone.",Positive,0.79,Excited,Movie Review
125,"Honestly, the new cafe was amazing from start to finish, no complaints at all.",Positive,0.63,Excited,Food Review
126,"The moving company was acceptable overall, similar to most alternatives out there.",Neutral,0.14,Neutral,Service Review
127,I'd describe this restaurant as unremarkable — it did the job without standing out.,Neutral,0.01,Neutral,Food Review
128,I was really let down by this restaurant — it was frustrating compared to what was promised.,Negative,-0.7,Fear,Food Review
129,This backpack was a disappointment; the whole experience felt poorly made.,Negative,-0.96,Sad,Product Review
130,This backpack impressed everyone in our group; simply excellent.,Positive,0.86,Happy,Product Review
131,This water bottle was a disappointment; the whole experience felt poorly made.,Negative,-0.81,Disappointed,Product Review
132,"The smartwatch turned out to be impressive, and I would recommend it to anyone.",Positive,0.73,Happy,Product Review
133,The tutoring session left a lot to be desired; overall it felt underwhelming.,Negative,-0.59,Fear,Education
134,This cruise met the basic expectations and was generally adequate.,Neutral,-0.08,Neutral,Travel Review
135,The training program met the basic expectations and was generally average.,Neutral,-0.04,Neutral,Education
136,"I have to say, this film exceeded my expectations; it was truly excellent.",Positive,0.86,Happy,Movie Review
137,The action film was a disappointment; the whole experience felt overpriced.,Negative,-0.69,Sad,Movie Review
138,"Honestly, this laptop was amazing from start to finish, no complaints at all.",Positive,0.63,Excited,Product Review
139,I'd describe this cleaning company as reasonable — it did the job without standing out.,Neutral,-0.05,Neutral,Service Review
140,"Honestly, the moving company was amazing from start to finish, no complaints at all.",Positive,0.8,Satisfied,Service Review
141,"This certification was fine overall, similar to most alternatives out there.",Neutral,0.05,Neutral,Education
142,This hostel left a lot to be desired; overall it felt terrible.,Negative,-0.89,Sad,Travel Review
143,The moving company met the basic expectations and was generally ordinary.,Neutral,-0.05,Neutral,Service Review
144,I was really let down by this cleaning company — it was awful compared to what was promised.,Negative,-0.7,Sad,Service Review
145,I was really let down by this cleaning company — it was mediocre compared to what was promised.,Negative,-0.77,Angry,Service Review
146,We were thrilled with this laptop — it felt impressive and well worth the money.,Positive,0.98,Happy,Product Review
147,"I have to say, the sushi platter exceeded my expectations; it was truly top-notch.",Positive,0.64,Happy,Food Review
148,We were thrilled with this water bottle — it felt superb and well worth the money.,Positive,0.84,Happy,Product Review
149,The romantic comedy was a disappointment; the whole experience felt subpar.,Negative,-0.79,Sad,Movie Review
150,"I have to say, this textbook exceeded my expectations; it was truly delightful.",Positive,0.84,Happy,Education
151,"Honestly, this laptop was delightful from start to finish, no complaints at all.",Positive,0.98,Excited,Product Review
152,This backpack met the basic expectations and was generally standard.,Neutral,0.11,Neutral,Product Review
153,The study guide impressed everyone in our group; simply top-notch.,Positive,0.96,Excited,Education
154,We were thrilled with this backpack — it felt exceptional and well worth the money.,Positive,0.88,Satisfied,Product Review
155,"I have to say, the action film exceeded my expectations; it was truly delightful.",Positive,0.81,Satisfied,Movie Review
156,"Sadly, this video turned out to be frustrating, and I wouldn't try it again.",Negative,-0.59,Sad,Social Media
157,This food truck left a lot to be desired; overall it felt overpriced.,Negative,-0.75,Disappointed,Food Review
158,This course was a disappointment; the whole experience felt awful.,Negative,-0.99,Angry,Education
159,This repair service impressed everyone in our group; simply amazing.,Positive,0.71,Happy,Service Review
160,"The office chair was typical overall, similar to most alternatives out there.",Neutral,-0.02,Neutral,Product Review
161,It's hard to say much about the new sequel; it was simply unremarkable.,Neutral,-0.05,Neutral,Movie Review
162,"Honestly, this film was fantastic from start to finish, no complaints at all.",Positive,0.79,Excited,Movie Review
163,"I have to say, the online lecture exceeded my expectations; it was truly exceptional.",Positive,0.95,Excited,Education
164,It's hard to say much about this water bottle; it was simply standard.,Neutral,-0.06,Neutral,Product Review
165,"I have to say, this certification exceeded my expectations; it was truly delightful.",Positive,0.96,Happy,Education
166,"The customer support team was ordinary; nothing special, but nothing terrible either.",Neutral,0.12,Neutral,Service Review
167,"I have to say, the wireless headphones exceeded my expectations; it was truly amazing.",Positive,0.89,Satisfied,Product Review
168,I'd describe this hotel as ordinary — it did the job without standing out.,Neutral,-0.11,Neutral,Travel Review
169,This consulting firm met the basic expectations and was generally typical.,Neutral,0.1,Neutral,Service Review
170,"Honestly, this cruise was wonderful from start to finish, no complaints at all.",Positive,0.85,Excited,Travel Review
171,The pasta dish impressed everyone in our group; simply impressive.,Positive,0.67,Excited,Food Review
172,The online lecture impressed everyone in our group; simply impressive.,Positive,0.79,Happy,Education
173,The delivery service was a disappointment; the whole experience felt unreliable.,Negative,-0.93,Angry,Service Review
174,I was really let down by this hostel — it was disappointing compared to what was promised.,Negative,-0.76,Disappointed,Travel Review
175,I was really let down by the study guide — it was poorly made compared to what was promised.,Negative,-0.58,Sad,Education
176,"I have to say, this consulting firm exceeded my expectations; it was truly wonderful.",Positive,0.74,Happy,Service Review
177,The beach destination was a disappointment; the whole experience felt mediocre.,Negative,-0.81,Sad,Travel Review
178,This bakery was a disappointment; the whole experience felt awful.,Negative,-0.69,Fear,Food Review
179,I was really let down by the new update — it was subpar compared to what was promised.,Negative,-0.57,Angry,Social Media
180,"Sadly, the vacuum cleaner turned out to be mediocre, and I wouldn't try it again.",Negative,-0.66,Disappointed,Product Review
181,"This restaurant was typical; nothing special, but nothing terrible either.",Neutral,-0.02,Neutral,Food Review
182,The office chair impressed everyone in our group; simply amazing.,Positive,0.67,Happy,Product Review
183,"This water bottle turned out to be superb, and I would recommend it to anyone.",Positive,0.85,Satisfied,Product Review
184,We were thrilled with the moving company — it felt exceptional and well worth the money.,Positive,0.73,Excited,Service Review
185,"This course was average; nothing special, but nothing terrible either.",Neutral,0.05,Neutral,Education
186,"Sadly, this water bottle turned out to be mediocre, and I wouldn't try it again.",Negative,-0.95,Fear,Product Review
187,"I have to say, this rental agency exceeded my expectations; it was truly superb.",Positive,0.95,Happy,Service Review
188,"The training program turned out to be excellent, and I would recommend it to anyone.",Positive,0.87,Excited,Education
189,It's hard to say much about the new update; it was simply average.,Neutral,0.08,Neutral,Social Media
190,"The mountain lodge was unremarkable overall, similar to most alternatives out there.",Neutral,0.1,Neutral,Travel Review
191,"I have to say, the study guide exceeded my expectations; it was truly impressive.",Positive,0.73,Satisfied,Education
192,"This documentary turned out to be outstanding, and I would recommend it to anyone.",Positive,0.95,Satisfied,Movie Review
193,I was really let down by this hotel — it was poorly made compared to what was promised.,Negative,-0.87,Sad,Travel Review
194,"Unfortunately, the study guide was poorly made, and I regret spending money on it.",Negative,-0.79,Fear,Education
195,This blender left a lot to be desired; overall it felt subpar.,Negative,-0.6,Sad,Product Review
196,"The new cafe turned out to be fantastic, and I would recommend it to anyone.",Positive,0.92,Happy,Food Review
197,"The office chair was reasonable overall, similar to most alternatives out there.",Neutral,-0.12,Neutral,Product Review
198,The romantic comedy met the basic expectations and was generally reasonable.,Neutral,-0.02,Neutral,Movie Review
199,This bakery impressed everyone in our group; simply excellent.,Positive,0.8,Satisfied,Food Review
200,It's hard to say much about this certification; it was simply reasonable.,Neutral,-0.07,Neutral,Education
201,The tech support line impressed everyone in our group; simply excellent.,Positive,0.72,Happy,Service Review
202,The romantic comedy was a disappointment; the whole experience felt frustrating.,Negative,-0.65,Disappointed,Movie Review
203,The beach destination left a lot to be desired; overall it felt terrible.,Negative,-0.67,Fear,Travel Review
204,This certification was a disappointment; the whole experience felt disappointing.,Negative,-0.59,Disappointed,Education
205,"This laptop was average overall, similar to most alternatives out there.",Neutral,-0.13,Neutral,Product Review
206,I'd describe this food truck as fine — it did the job without standing out.,Neutral,-0.12,Neutral,Food Review
207,It's hard to say much about the tech support line; it was simply ordinary.,Neutral,0.11,Neutral,Service Review
208,This workshop impressed everyone in our group; simply outstanding.,Positive,0.78,Happy,Education
209,I'd describe this cruise as standard — it did the job without standing out.,Neutral,-0.07,Neutral,Travel Review
210,"I have to say, this bakery exceeded my expectations; it was truly delightful.",Positive,0.84,Satisfied,Food Review
211,"The new sequel was okay overall, similar to most alternatives out there.",Neutral,0.02,Neutral,Movie Review
212,"This cruise was average overall, similar to most alternatives out there.",Neutral,-0.14,Neutral,Travel Review
213,I'd describe this cleaning company as acceptable — it did the job without standing out.,Neutral,-0.08,Neutral,Service Review
214,It's hard to say much about this backpack; it was simply standard.,Neutral,0.12,Neutral,Product Review
215,"This repair service turned out to be delightful, and I would recommend it to anyone.",Positive,0.97,Happy,Service Review
216,This bakery left a lot to be desired; overall it felt unreliable.,Negative,-0.62,Sad,Food Review
217,"Unfortunately, the smartwatch was subpar, and I regret spending money on it.",Negative,-0.63,Fear,Product Review
218,This water bottle left a lot to be desired; overall it felt underwhelming.,Negative,-0.68,Disappointed,Product Review
219,It's hard to say much about the latest trend; it was simply ordinary.,Neutral,0.06,Neutral,Social Media
220,We were thrilled with the romantic comedy — it felt outstanding and well worth the money.,Positive,0.66,Happy,Movie Review
221,"Unfortunately, the action film was mediocre, and I regret spending money on it.",Negative,-0.8,Disappointed,Movie Review
222,"Sadly, this diner turned out to be frustrating, and I wouldn't try it again.",Negative,-0.75,Fear,Food Review
223,I'd describe this film as typical — it did the job without standing out.,Neutral,0.11,Neutral,Movie Review
224,I was really let down by the new sequel — it was poorly made compared to what was promised.,Negative,-0.61,Disappointed,Movie Review
225,"This hostel turned out to be fantastic, and I would recommend it to anyone.",Positive,0.81,Happy,Travel Review
226,We were thrilled with the office chair — it felt fantastic and well worth the money.,Positive,0.87,Satisfied,Product Review
227,We were thrilled with this blender — it felt excellent and well worth the money.,Positive,0.76,Excited,Product Review
228,"I have to say, the resort exceeded my expectations; it was truly amazing.",Positive,0.96,Happy,Travel Review
229,I was really let down by the office chair — it was disappointing compared to what was promised.,Negative,-0.98,Sad,Product Review
230,"The beach destination was standard overall, similar to most alternatives out there.",Neutral,-0.07,Neutral,Travel Review
231,This certification impressed everyone in our group; simply wonderful.,Positive,0.73,Satisfied,Education
232,It's hard to say much about the study guide; it was simply unremarkable.,Neutral,0.14,Neutral,Education
233,We were thrilled with the customer support team — it felt delightful and well worth the money.,Positive,0.77,Satisfied,Service Review
234,"Unfortunately, the wireless headphones was unreliable, and I regret spending money on it.",Negative,-0.59,Disappointed,Product Review
235,"I have to say, this rental agency exceeded my expectations; it was truly exceptional.",Positive,0.6,Excited,Service Review
236,I'd describe this certification as okay — it did the job without standing out.,Neutral,-0.11,Neutral,Education
237,The resort was a disappointment; the whole experience felt overpriced.,Negative,-0.85,Angry,Travel Review
238,This cruise impressed everyone in our group; simply delightful.,Positive,0.68,Happy,Travel Review
239,"This hostel turned out to be delightful, and I would recommend it to anyone.",Positive,0.85,Happy,Travel Review
240,"Honestly, this cruise was fantastic from start to finish, no complaints at all.",Positive,0.9,Satisfied,Travel Review
241,I was really let down by the sushi platter — it was overpriced compared to what was promised.,Negative,-0.84,Sad,Food Review
242,This restaurant left a lot to be desired; overall it felt underwhelming.,Negative,-0.98,Sad,Food Review
243,The new cafe met the basic expectations and was generally fine.,Neutral,0.07,Neutral,Food Review
244,This bakery met the basic expectations and was generally acceptable.,Neutral,-0.05,Neutral,Food Review
245,I was really let down by the smartwatch — it was subpar compared to what was promised.,Negative,-0.98,Angry,Product Review
246,The action film left a lot to be desired; overall it felt unreliable.,Negative,-0.79,Sad,Movie Review
247,This backpack was a disappointment; the whole experience felt disappointing.,Negative,-0.76,Disappointed,Product Review
248,It's hard to say much about this drama; it was simply unremarkable.,Neutral,-0.15,Neutral,Movie Review
249,"This blender turned out to be amazing, and I would recommend it to anyone.",Positive,0.86,Satisfied,Product Review
250,I'd describe this post as adequate — it did the job without standing out.,Neutral,-0.13,Neutral,Social Media
251,This rental agency was a disappointment; the whole experience felt overpriced.,Negative,-0.95,Disappointed,Service Review
252,We were thrilled with the tech support line — it felt excellent and well worth the money.,Positive,0.85,Excited,Service Review
253,"Sadly, this tour package turned out to be terrible, and I wouldn't try it again.",Negative,-0.81,Fear,Travel Review
254,"The smartwatch was acceptable overall, similar to most alternatives out there.",Neutral,-0.06,Neutral,Product Review
255,I'd describe the sushi platter as reasonable — it did the job without standing out.,Neutral,0.09,Neutral,Food Review
256,"This hotel was average overall, similar to most alternatives out there.",Neutral,0.0,Neutral,Travel Review
257,"Honestly, the training program was exceptional from start to finish, no complaints at all.",Positive,0.65,Happy,Education
258,"Honestly, this video was top-notch from start to finish, no complaints at all.",Positive,0.88,Satisfied,Social Media
259,This bakery was a disappointment; the whole experience felt subpar.,Negative,-0.79,Angry,Food Review
260,This film left a lot to be desired; overall it felt poorly made.,Negative,-0.96,Disappointed,Movie Review
261,"The pasta dish was okay overall, similar to most alternatives out there.",Neutral,-0.05,Neutral,Food Review
262,"Honestly, this backpack was delightful from start to finish, no complaints at all.",Positive,0.64,Happy,Product Review
263,I was really let down by this restaurant — it was mediocre compared to what was promised.,Negative,-0.8,Angry,Food Review
264,"I have to say, this restaurant exceeded my expectations; it was truly superb.",Positive,0.81,Satisfied,Food Review
265,It's hard to say much about this meme; it was simply standard.,Neutral,0.08,Neutral,Social Media
266,I'd describe this textbook as acceptable — it did the job without standing out.,Neutral,0.11,Neutral,Education
267,This food truck met the basic expectations and was generally acceptable.,Neutral,0.11,Neutral,Food Review
268,It's hard to say much about the vacuum cleaner; it was simply ordinary.,Neutral,0.05,Neutral,Product Review
269,This backpack impressed everyone in our group; simply fantastic.,Positive,0.82,Happy,Product Review
270,"I have to say, the office chair exceeded my expectations; it was truly delightful.",Positive,0.96,Satisfied,Product Review
271,I'd describe this textbook as fine — it did the job without standing out.,Neutral,0.09,Neutral,Education
272,"The online lecture was typical; nothing special, but nothing terrible either.",Neutral,-0.07,Neutral,Education
273,I'd describe the dessert menu as ordinary — it did the job without standing out.,Neutral,0.14,Neutral,Food Review
274,This certification was a disappointment; the whole experience felt underwhelming.,Negative,-0.77,Fear,Education
275,"Unfortunately, this hotel was overpriced, and I regret spending money on it.",Negative,-0.74,Disappointed,Travel Review
276,"Unfortunately, this diner was awful, and I regret spending money on it.",Negative,-0.65,Fear,Food Review
277,This cleaning company impressed everyone in our group; simply wonderful.,Positive,0.73,Satisfied,Service Review
278,"Honestly, the new cafe was superb from start to finish, no complaints at all.",Positive,0.69,Satisfied,Food Review
279,The online lecture left a lot to be desired; overall it felt mediocre.,Negative,-0.6,Fear,Education
280,I'd describe the livestream as unremarkable — it did the job without standing out.,Neutral,-0.06,Neutral,Social Media
281,"Sadly, the training program turned out to be poorly made, and I wouldn't try it again.",Negative,-0.62,Fear,Education
282,This certification met the basic expectations and was generally fine.,Neutral,0.03,Neutral,Education
283,We were thrilled with this hotel — it felt superb and well worth the money.,Positive,0.69,Excited,Travel Review
284,"I have to say, this documentary exceeded my expectations; it was truly amazing.",Positive,0.71,Excited,Movie Review
285,"Honestly, this video was amazing from start to finish, no complaints at all.",Positive,0.84,Excited,Social Media
286,I'd describe this repair service as average — it did the job without standing out.,Neutral,-0.03,Neutral,Service Review
287,"Unfortunately, this post was terrible, and I regret spending money on it.",Negative,-0.72,Angry,Social Media
288,This laptop left a lot to be desired; overall it felt awful.,Negative,-0.94,Disappointed,Product Review
289,"The dessert menu was unremarkable; nothing special, but nothing terrible either.",Neutral,-0.09,Neutral,Food Review
290,"The mountain lodge turned out to be superb, and I would recommend it to anyone.",Positive,0.79,Excited,Travel Review
291,The tech support line met the basic expectations and was generally unremarkable.,Neutral,0.13,Neutral,Service Review
292,"This workshop turned out to be wonderful, and I would recommend it to anyone.",Positive,0.62,Excited,Education
293,"Honestly, the new update was delightful from start to finish, no complaints at all.",Positive,0.7,Satisfied,Social Media
294,The tech support line was a disappointment; the whole experience felt mediocre.,Negative,-0.77,Sad,Service Review
295,The study guide left a lot to be desired; overall it felt mediocre.,Negative,-0.63,Fear,Education
296,I was really let down by the city tour — it was poorly made compared to what was promised.,Negative,-0.67,Disappointed,Travel Review
297,The latest trend was a disappointment; the whole experience felt subpar.,Negative,-0.6,Disappointed,Social Media
298,We were thrilled with this thread — it felt wonderful and well worth the money.,Positive,0.87,Excited,Social Media
299,"The new cafe was ordinary overall, similar to most alternatives out there.",Neutral,0.14,Neutral,Food Review
300,"Unfortunately, this diner was unreliable, and I regret spending money on it.",Negative,-0.56,Angry,Food Review
301,"I have to say, the sushi platter exceeded my expectations; it was truly impressive.",Positive,0.95,Excited,Food Review
