id,text,entities,entity_types,person,organization,location,date,money,product
32,Yuki Chen traveled from Santiago to Dublin to negotiate a deal worth $24.50 with Crescent Media Group.,Yuki Chen; Crescent Media Group; Dublin; Santiago; $24.50,PERSON; ORG; GPE; GPE; MONEY,Yuki Chen,Crescent Media Group,"Dublin, Santiago",,$24.50,
33,"On August 23, 2017, Vertex Analytics opened a new branch in Denver, Denmark, appointing Fatima Clark as director.","Fatima Clark; Vertex Analytics; Denmark; Denver; August 23, 2017",PERSON; ORG; GPE; GPE; DATE,Fatima Clark,Vertex Analytics,"Denmark, Denver","August 23, 2017",,
34,"NextGen Software Labs partnered with a university in Cairo to research the FreshAir purifier technology, Maria Scott reported.",Maria Scott; NextGen Software Labs; Cairo; the FreshAir purifier,PERSON; ORG; GPE; PRODUCT,Maria Scott,NextGen Software Labs,Cairo,,,FreshAir purifier
35,"During the conference in Warsaw, Noah Fernandez from BrightFuture Foundation unveiled a NovaBook Pro laptop priced at $45.50.",Noah Fernandez; BrightFuture Foundation; Warsaw; $45.50; a NovaBook Pro laptop,PERSON; ORG; GPE; MONEY; PRODUCT,Noah Fernandez,BrightFuture Foundation,Warsaw,,$45.50,NovaBook Pro laptop
36,"On November 1, 2023, Zenith Pharmaceuticals opened a new branch in Toronto, the Netherlands, appointing Samuel Chen as director.","Samuel Chen; Zenith Pharmaceuticals; Toronto; the Netherlands; November 1, 2023",PERSON; ORG; GPE; GPE; DATE,Samuel Chen,Zenith Pharmaceuticals,"Toronto, the Netherlands","November 1, 2023",,
37,"Quantum Innovations announced that Leila Walker will lead the new office in Jakarta starting September 25, 2022.","Leila Walker; Quantum Innovations; Jakarta; September 25, 2022",PERSON; ORG; GPE; DATE,Leila Walker,Quantum Innovations,Jakarta,"September 25, 2022",,
38,"On September 17, 2024, Silverline Motors opened a new branch in Buenos Aires, Australia, appointing Wei Dubois as director.","Wei Dubois; Silverline Motors; Australia; Buenos Aires; September 17, 2024",PERSON; ORG; GPE; GPE; DATE,Wei Dubois,Silverline Motors,"Australia, Buenos Aires","September 17, 2024",,
39,"Chen Osei, a spokesperson for Evergreen Energy Co., confirmed the release of the ChefMate blender for $9.99 on April 26, 2020.","Chen Osei; Evergreen Energy Co.; April 26, 2020; $9.99; the ChefMate blender",PERSON; ORG; DATE; MONEY; PRODUCT,Chen Osei,Evergreen Energy Co.,,"April 26, 2020",$9.99,ChefMate blender
40,"The board at Coastal Insurance Co. approved a $19.99 investment in Berlin after Chen Garcia's presentation on August 17, 2019.","Chen Garcia; Coastal Insurance Co.; Berlin; August 17, 2019; $19.99",PERSON; ORG; GPE; DATE; MONEY,Chen Garcia,Coastal Insurance Co.,Berlin,"August 17, 2019",$19.99,
41,"Sofia King, a spokesperson for BrightFuture Foundation, confirmed the release of the TravelLite suitcase for $120 on October 17, 2024.","Sofia King; BrightFuture Foundation; October 17, 2024; $120; the TravelLite suitcase",PERSON; ORG; DATE; MONEY; PRODUCT,Sofia King,BrightFuture Foundation,,"October 17, 2024",$120,TravelLite suitcase
42,Adaeze Scott traveled from Austin to Bangkok to negotiate a deal worth $30.75 with Crescent Media Group.,Adaeze Scott; Crescent Media Group; Austin; Bangkok; $30.75,PERSON; ORG; GPE; GPE; MONEY,Adaeze Scott,Crescent Media Group,"Austin, Bangkok",,$30.75,
43,"Lakeside Medical Center announced that Ravi Larsen will lead the new office in Prague starting September 17, 2023.","Ravi Larsen; Lakeside Medical Center; Prague; September 17, 2023",PERSON; ORG; GPE; DATE,Ravi Larsen,Lakeside Medical Center,Prague,"September 17, 2023",,
44,Carlos Garcia traveled from Santiago to Vancouver to negotiate a deal worth $30.75 with Falcon Logistics.,Carlos Garcia; Falcon Logistics; Santiago; Vancouver; $30.75,PERSON; ORG; GPE; GPE; MONEY,Carlos Garcia,Falcon Logistics,"Santiago, Vancouver",,$30.75,
45,Ethan Young traveled from Nairobi to Amsterdam to negotiate a deal worth $499.99 with Crescent Media Group.,Ethan Young; Crescent Media Group; Amsterdam; Nairobi; $499.99,PERSON; ORG; GPE; GPE; MONEY,Ethan Young,Crescent Media Group,"Amsterdam, Nairobi",,$499.99,
46,"The board at Coastal Insurance Co. approved a $49.99 investment in Marrakesh after Mei Walker's presentation on October 3, 2021.","Mei Walker; Coastal Insurance Co.; Marrakesh; October 3, 2021; $49.99",PERSON; ORG; GPE; DATE; MONEY,Mei Walker,Coastal Insurance Co.,Marrakesh,"October 3, 2021",$49.99,
47,Felix Novak traveled from Seoul to Helsinki to negotiate a deal worth $45.50 with Redstone Consulting.,Felix Novak; Redstone Consulting; Helsinki; Seoul; $45.50,PERSON; ORG; GPE; GPE; MONEY,Felix Novak,Redstone Consulting,"Helsinki, Seoul",,$45.50,
48,"Nadia Wilson joined Ironwood Steel Works in Edinburgh on May 22, 2015 to launch a SnapShot camera.","Nadia Wilson; Ironwood Steel Works; Edinburgh; May 22, 2015; a SnapShot camera",PERSON; ORG; GPE; DATE; PRODUCT,Nadia Wilson,Ironwood Steel Works,Edinburgh,"May 22, 2015",,SnapShot camera
49,Ravi Hall traveled from Amsterdam to Toronto to negotiate a deal worth $120 with NextGen Software Labs.,Ravi Hall; NextGen Software Labs; Amsterdam; Toronto; $120,PERSON; ORG; GPE; GPE; MONEY,Ravi Hall,NextGen Software Labs,"Amsterdam, Toronto",,$120,
50,"During the conference in Melbourne, Omar Walker from Riverside Bank unveiled the FlexFit yoga mat priced at $99.",Omar Walker; Riverside Bank; Melbourne; $99; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,Omar Walker,Riverside Bank,Melbourne,,$99,FlexFit yogmat
51,"On October 19, 2017, Maple Street School District opened a new branch in Prague, Egypt, appointing Adaeze Anderson as director.","Adaeze Anderson; Maple Street School District; Egypt; Prague; October 19, 2017",PERSON; ORG; GPE; GPE; DATE,Adaeze Anderson,Maple Street School District,"Egypt, Prague","October 19, 2017",,
52,"Emma Wilson joined BrightFuture Foundation in Nairobi on December 12, 2022 to launch a StreamCast speaker.","Emma Wilson; BrightFuture Foundation; Nairobi; December 12, 2022; a StreamCast speaker",PERSON; ORG; GPE; DATE; PRODUCT,Emma Wilson,BrightFuture Foundation,Nairobi,"December 12, 2022",,StreamCast speaker
53,"Vertex Analytics announced that Ibrahim Hall will lead the new office in Kuala Lumpur starting July 18, 2020.","Ibrahim Hall; Vertex Analytics; Kuala Lumpur; July 18, 2020",PERSON; ORG; GPE; DATE,Ibrahim Hall,Vertex Analytics,Kuala Lumpur,"July 18, 2020",,
54,"During the conference in Nairobi, Victor Silva from Delta Cloud Services unveiled a SoundWave headset priced at $9.99.",Victor Silva; Delta Cloud Services; Nairobi; $9.99; a SoundWave headset,PERSON; ORG; GPE; MONEY; PRODUCT,Victor Silva,Delta Cloud Services,Nairobi,,$9.99,SoundWave headset
55,"Vertex Analytics announced that James Baker will lead the new office in Mumbai starting December 19, 2021.","James Baker; Vertex Analytics; Mumbai; December 19, 2021",PERSON; ORG; GPE; DATE,James Baker,Vertex Analytics,Mumbai,"December 19, 2021",,
56,Kevin Smith traveled from Mumbai to Berlin to negotiate a deal worth $75 with Aurora Data Systems.,Kevin Smith; Aurora Data Systems; Berlin; Mumbai; $75,PERSON; ORG; GPE; GPE; MONEY,Kevin Smith,Aurora Data Systems,"Berlin, Mumbai",,$75,
57,"The board at Coastal Insurance Co. approved a $30.75 investment in Kuala Lumpur after James Clark's presentation on October 22, 2020.","James Clark; Coastal Insurance Co.; Kuala Lumpur; October 22, 2020; $30.75",PERSON; ORG; GPE; DATE; MONEY,James Clark,Coastal Insurance Co.,Kuala Lumpur,"October 22, 2020",$30.75,
58,"The board at Crescent Media Group approved a $199 investment in Amsterdam after Tom Novak's presentation on March 8, 2018.","Tom Novak; Crescent Media Group; Amsterdam; March 8, 2018; $199",PERSON; ORG; GPE; DATE; MONEY,Tom Novak,Crescent Media Group,Amsterdam,"March 8, 2018",$199,
59,"Oakwood Publishing House announced that Julia Nguyen will lead the new office in Berlin starting January 13, 2020.","Julia Nguyen; Oakwood Publishing House; Berlin; January 13, 2020",PERSON; ORG; GPE; DATE,Julia Nguyen,Oakwood Publishing House,Berlin,"January 13, 2020",,
60,"During the conference in Prague, Emma Smith from Vertex Analytics unveiled a SoundWave headset priced at $1,200.","Emma Smith; Vertex Analytics; Prague; $1,200; a SoundWave headset",PERSON; ORG; GPE; MONEY; PRODUCT,Emma Smith,Vertex Analytics,Prague,,"$1,200",SoundWave headset
61,Wei King traveled from Stockholm to Nairobi to negotiate a deal worth $89.99 with Coastal Insurance Co..,Wei King; Coastal Insurance Co.; Nairobi; Stockholm; $89.99,PERSON; ORG; GPE; GPE; MONEY,Wei King,Coastal Insurance Co.,"Nairobi, Stockholm",,$89.99,
62,"Brightline Technologies partnered with a university in Marrakesh to research a PureGlow skincare set technology, George Müller reported.",George Müller; Brightline Technologies; Marrakesh; a PureGlow skincare set,PERSON; ORG; GPE; PRODUCT,George Müller,Brightline Technologies,Marrakesh,,,PureGlow skincare set
63,"On June 19, 2021, Maple Street School District opened a new branch in Lisbon, Thailand, appointing Victor Green as director.","Victor Green; Maple Street School District; Lisbon; Thailand; June 19, 2021",PERSON; ORG; GPE; GPE; DATE,Victor Green,Maple Street School District,"Lisbon, Thailand","June 19, 2021",,
64,"Mark Kim joined Coastal Insurance Co. in Cairo on July 4, 2019 to launch a NightOwl reading lamp.","Mark Kim; Coastal Insurance Co.; Cairo; July 4, 2019; a NightOwl reading lamp",PERSON; ORG; GPE; DATE; PRODUCT,Mark Kim,Coastal Insurance Co.,Cairo,"July 4, 2019",,NightOwl reading lamp
65,"James Müller, a spokesperson for Blue Horizon Airlines, confirmed the release of the PixelView monitor for $9.99 on December 12, 2025.","James Müller; Blue Horizon Airlines; December 12, 2025; $9.99; the PixelView monitor",PERSON; ORG; DATE; MONEY; PRODUCT,James Müller,Blue Horizon Airlines,,"December 12, 2025",$9.99,PixelView monitor
66,"Silverline Motors announced that Olivia Costa will lead the new office in Osaka starting September 27, 2021.","Olivia Costa; Silverline Motors; Osaka; September 27, 2021",PERSON; ORG; GPE; DATE,Olivia Costa,Silverline Motors,Osaka,"September 27, 2021",,
67,Samuel Osei traveled from Zurich to Osaka to negotiate a deal worth $99 with Crescent Media Group.,Samuel Osei; Crescent Media Group; Osaka; Zurich; $99,PERSON; ORG; GPE; GPE; MONEY,Samuel Osei,Crescent Media Group,"Osaka, Zurich",,$99,
68,"On January 14, 2024, Delta Cloud Services opened a new branch in Santiago, Malaysia, appointing Mei Brown as director.","Mei Brown; Delta Cloud Services; Malaysia; Santiago; January 14, 2024",PERSON; ORG; GPE; GPE; DATE,Mei Brown,Delta Cloud Services,"Malaysia, Santiago","January 14, 2024",,
69,"George Scott, a spokesperson for Northfield University, confirmed the release of the SmartHome Hub for $75 on February 12, 2017.","George Scott; Northfield University; February 12, 2017; $75; the SmartHome Hub",PERSON; ORG; DATE; MONEY; PRODUCT,George Scott,Northfield University,,"February 12, 2017",$75,SmartHome Hub
70,"During the conference in Seoul, Aisha Suzuki from Delta Cloud Services unveiled the FlexFit yoga mat priced at $49.99.",Aisha Suzuki; Delta Cloud Services; Seoul; $49.99; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,Aisha Suzuki,Delta Cloud Services,Seoul,,$49.99,FlexFit yogmat
71,Aisha King traveled from Nairobi to Warsaw to negotiate a deal worth $9.99 with Northfield University.,Aisha King; Northfield University; Nairobi; Warsaw; $9.99,PERSON; ORG; GPE; GPE; MONEY,Aisha King,Northfield University,"Nairobi, Warsaw",,$9.99,
72,Nadia Haddad traveled from Austin to Melbourne to negotiate a deal worth $75 with Oakwood Publishing House.,Nadia Haddad; Oakwood Publishing House; Austin; Melbourne; $75,PERSON; ORG; GPE; GPE; MONEY,Nadia Haddad,Oakwood Publishing House,"Austin, Melbourne",,$75,
73,Peter Fernandez traveled from Toronto to Copenhagen to negotiate a deal worth $199 with Coastal Insurance Co..,Peter Fernandez; Coastal Insurance Co.; Copenhagen; Toronto; $199,PERSON; ORG; GPE; GPE; MONEY,Peter Fernandez,Coastal Insurance Co.,"Copenhagen, Toronto",,$199,
74,"Pioneer Research Institute partnered with a university in Austin to research the TravelLite suitcase technology, Noah Patel reported.",Noah Patel; Pioneer Research Institute; Austin; the TravelLite suitcase,PERSON; ORG; GPE; PRODUCT,Noah Patel,Pioneer Research Institute,Austin,,,TravelLite suitcase
75,"The board at BrightFuture Foundation approved a $120 investment in Helsinki after Amara Kim's presentation on November 22, 2018.","Amara Kim; BrightFuture Foundation; Helsinki; November 22, 2018; $120",PERSON; ORG; GPE; DATE; MONEY,Amara Kim,BrightFuture Foundation,Helsinki,"November 22, 2018",$120,
76,"During the conference in Wellington, Samuel Yamamoto from Harborview College unveiled the CloudDesk chair priced at $89.99.",Samuel Yamamoto; Harborview College; Wellington; $89.99; the CloudDesk chair,PERSON; ORG; GPE; MONEY; PRODUCT,Samuel Yamamoto,Harborview College,Wellington,,$89.99,CloudDesk chair
77,Maria Walker traveled from Manila to Denver to negotiate a deal worth $350 with Falcon Logistics.,Maria Walker; Falcon Logistics; Denver; Manila; $350,PERSON; ORG; GPE; GPE; MONEY,Maria Walker,Falcon Logistics,"Denver, Manila",,$350,
78,"During the conference in Bangkok, Wei Osei from Redstone Consulting unveiled a RoadMaster bicycle priced at $45.50.",Wei Osei; Redstone Consulting; Bangkok; $45.50; a RoadMaster bicycle,PERSON; ORG; GPE; MONEY; PRODUCT,Wei Osei,Redstone Consulting,Bangkok,,$45.50,RoadMaster bicycle
79,"Hassan Haddad joined NextGen Software Labs in Helsinki on December 24, 2017 to launch the FreshAir purifier.","Hassan Haddad; NextGen Software Labs; Helsinki; December 24, 2017; the FreshAir purifier",PERSON; ORG; GPE; DATE; PRODUCT,Hassan Haddad,NextGen Software Labs,Helsinki,"December 24, 2017",,FreshAir purifier
80,"Ethan Hall, a spokesperson for Pioneer Research Institute, confirmed the release of the SmartHome Hub for $1,200 on July 14, 2025.","Ethan Hall; Pioneer Research Institute; July 14, 2025; $1,200; the SmartHome Hub",PERSON; ORG; DATE; MONEY; PRODUCT,Ethan Hall,Pioneer Research Institute,,"July 14, 2025","$1,200",SmartHome Hub
81,"Quantum Innovations partnered with a university in Vancouver to research a SnapShot camera technology, Mateus Wright reported.",Mateus Wright; Quantum Innovations; Vancouver; a SnapShot camera,PERSON; ORG; GPE; PRODUCT,Mateus Wright,Quantum Innovations,Vancouver,,,SnapShot camera
82,"Summit Robotics Inc. partnered with a university in Kuala Lumpur to research a TrailRunner backpack technology, Olivia Smith reported.",Olivia Smith; Summit Robotics Inc.; Kuala Lumpur; a TrailRunner backpack,PERSON; ORG; GPE; PRODUCT,Olivia Smith,Summit Robotics Inc.,Kuala Lumpur,,,TrailRunner backpack
83,"The board at Meridian Financial Group approved a $30.75 investment in Osaka after Noah Larsen's presentation on December 16, 2016.","Noah Larsen; Meridian Financial Group; Osaka; December 16, 2016; $30.75",PERSON; ORG; GPE; DATE; MONEY,Noah Larsen,Meridian Financial Group,Osaka,"December 16, 2016",$30.75,
84,"NextGen Software Labs announced that Yuki Wright will lead the new office in Denver starting March 13, 2022.","Yuki Wright; NextGen Software Labs; Denver; March 13, 2022",PERSON; ORG; GPE; DATE,Yuki Wright,NextGen Software Labs,Denver,"March 13, 2022",,
85,"During the conference in Amsterdam, Isabella Lewis from Harborview College unveiled the FlexFit yoga mat priced at $30.75.",Isabella Lewis; Harborview College; Amsterdam; $30.75; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,Isabella Lewis,Harborview College,Amsterdam,,$30.75,FlexFit yogmat
86,"During the conference in Jakarta, Isabella Müller from Cedar Grove Hospital unveiled the GreenLeaf water bottle priced at $24.50.",Isabella Müller; Cedar Grove Hospital; Jakarta; $24.50; the GreenLeaf water bottle,PERSON; ORG; GPE; MONEY; PRODUCT,Isabella Müller,Cedar Grove Hospital,Jakarta,,$24.50,GreenLeaf water bottle
87,"Charlotte Kim joined Oakwood Publishing House in Austin on April 19, 2018 to launch a TrailRunner backpack.","Charlotte Kim; Oakwood Publishing House; Austin; April 19, 2018; a TrailRunner backpack",PERSON; ORG; GPE; DATE; PRODUCT,Charlotte Kim,Oakwood Publishing House,Austin,"April 19, 2018",,TrailRunner backpack
88,"Samuel Young, a spokesperson for Global Trade Partners, confirmed the release of a SnapShot camera for $30.75 on October 26, 2022.","Samuel Young; Global Trade Partners; October 26, 2022; $30.75; a SnapShot camera",PERSON; ORG; DATE; MONEY; PRODUCT,Samuel Young,Global Trade Partners,,"October 26, 2022",$30.75,SnapShot camera
89,"Brightline Technologies partnered with a university in Cairo to research the ChefMate blender technology, Adaeze Baker reported.",Adaeze Baker; Brightline Technologies; Cairo; the ChefMate blender,PERSON; ORG; GPE; PRODUCT,Adaeze Baker,Brightline Technologies,Cairo,,,ChefMate blender
90,"Meridian Financial Group partnered with a university in Copenhagen to research a NovaBook Pro laptop technology, Hassan Kim reported.",Hassan Kim; Meridian Financial Group; Copenhagen; a NovaBook Pro laptop,PERSON; ORG; GPE; PRODUCT,Hassan Kim,Meridian Financial Group,Copenhagen,,,NovaBook Pro laptop
91,"Riverside Bank announced that Ahmed Green will lead the new office in Edinburgh starting August 13, 2015.","Ahmed Green; Riverside Bank; Edinburgh; August 13, 2015",PERSON; ORG; GPE; DATE,Ahmed Green,Riverside Bank,Edinburgh,"August 13, 2015",,
92,"Kevin Kim, a spokesperson for Aurora Data Systems, confirmed the release of a NovaBook Pro laptop for $250 on September 15, 2025.","Kevin Kim; Aurora Data Systems; September 15, 2025; $250; a NovaBook Pro laptop",PERSON; ORG; DATE; MONEY; PRODUCT,Kevin Kim,Aurora Data Systems,,"September 15, 2025",$250,NovaBook Pro laptop
93,"On June 2, 2018, Maple Street School District opened a new branch in Santiago, the Czech Republic, appointing Elena Wilson as director.","Elena Wilson; Maple Street School District; Santiago; the Czech Republic; June 2, 2018",PERSON; ORG; GPE; GPE; DATE,Elena Wilson,Maple Street School District,"Santiago, the Czech Republic","June 2, 2018",,
94,"Zainab Smith joined Maple Street School District in Austin on January 21, 2016 to launch a SunBeam solar charger.","Zainab Smith; Maple Street School District; Austin; January 21, 2016; a SunBeam solar charger",PERSON; ORG; GPE; DATE; PRODUCT,Zainab Smith,Maple Street School District,Austin,"January 21, 2016",,SunBeam solar charger
