Bill_ID,Date,Time,Customer_Type,Item,Category,Quantity,Unit_Price,Total_Amount,Payment_Method
B087,2026-07-07,13:00,Visitor,Coffee,Beverage,1,220,220,Cash
B088,2026-07-16,13:45,Student,Fries,Snack,5,200,1000,JazzCash
B089,2026-07-12,14:00,Student,Fries,Snack,3,200,600,Cash
B090,2026-07-24,09:45,Student,Cake,Dessert,3,200,600,Cash
B091,2026-07-13,10:45,Trainer,Fries,Snack,4,200,800,Cash
B092,2026-07-21,08:45,Student,Burger,Fast Food,2,450,900,Cash
B093,2026-07-30,17:45,Student,Sandwich,Snack,1,250,250,Cash
B094,2026-07-10,09:00,Visitor,Fries,Snack,5,200,1000,Card
B095,2026-07-29,15:15,Student,Samosa,Snack,4,80,320,EasyPaisa
B096,2026-07-05,17:15,Visitor,Samosa,Snack,5,80,400,Cash
B097,2026-07-14,09:30,Visitor,Coffee,Beverage,3,220,660,JazzCash
B098,2026-07-30,08:15,Student,Samosa,Snack,2,80,160,EasyPaisa
B099,2026-07-17,08:15,Student,Cake,Dessert,2,200,400,EasyPaisa
B100,2026-07-23,14:15,Student,Samosa,Snack,4,80,320,Card
